 Noise_0.0 Noise_0.1 Noise_0.3 Noise_0.5 Noise_0.8 Noise_1.0
Train 0.009961022087483729 0.006929406669553884 0.009527934170636687 0.019922044174967568 0.054135989605889945 0.07275877003031617
Cross 0.048075956394847186 0.04894588369458386 0.05500611462483218 0.07709191444026797 0.12299173962952126 0.1446555177924329
std 0.0073833157022065166 0.016045450794150984 0.00911866873738626 0.005230442578796124 0.012073195435413853 0.009590582727497798
Test 0.04844290657439443 0.05190311418685123 0.04844290657439443 0.0743944636678201 0.09861591695501726 0.1487889273356401
Trees 5 5 5 5 5 5
Class_errors "{'BC': 0.01976284584980237, 'KI': 0.05600000000000005, 'LU': 0.08108108108108103, 'GBM': 0.0714285714285714, 'OV': 0.018867924528301883, 'U': 0.5}" "{'BC': 0.015810276679841917, 'KI': 0.05600000000000005, 'LU': 0.06306306306306309, 'GBM': 0.1428571428571429, 'OV': 0.09433962264150941, 'U': 0.375}" "{'BC': 0.007905138339920903, 'KI': 0.08799999999999997, 'LU': 0.036036036036036, 'GBM': 0.0357142857142857, 'OV': 0.09433962264150941, 'U': 0.625}" "{'BC': 0.015810276679841917, 'KI': 0.10399999999999998, 'LU': 0.11711711711711714, 'GBM': 0.1071428571428571, 'OV': 0.1132075471698113, 'U': 0.5}" "{'BC': 0.011857707509881465, 'KI': 0.19199999999999995, 'LU': 0.14414414414414412, 'GBM': 0.1785714285714286, 'OV': 0.09433962264150941, 'U': 0.5}" "{'BC': 0.007905138339920903, 'KI': 0.21599999999999997, 'LU': 0.2792792792792793, 'GBM': 0.1071428571428571, 'OV': 0.3207547169811321, 'U': 0.75}"
Important_labels "['V3', 'V11', 'V18', 'V29', 'V35', 'V42', 'V64', 'V76', 'V83', 'V139', 'V175', 'V194', 'V200', 'V244', 'V265', 'V310', 'V317', 'V339', 'V346', 'V355', 'V383', 'V385', 'V397', 'V413', 'V418', 'V432', 'V443', 'V475', 'V479', 'V514', 'V518', 'V543', 'V549', 'V560', 'V568', 'V579', 'V613', 'V660', 'V685', 'V690', 'V710', 'V715', 'V788', 'V826', 'V838', 'V843', 'V845', 'V850', 'V879', 'V882', 'V907', 'V912', 'V934', 'V947', 'V972', 'V1003', 'V1008', 'V1069', 'V1101', 'V1126', 'V1138', 'V1208', 'V1238', 'V1263', 'V1271', 'V1275', 'V1286', 'V1299', 'V1331', 'V1351', 'V1359', 'V1375', 'V1411', 'V1414', 'V1464', 'V1498', 'V1517', 'V1545', 'V1589', 'V1595', 'V1654', 'V1662', 'V1713', 'V1744', 'V1770', 'V1788', 'V1815', 'V1829', 'V1846', 'V1871', 'V1874', 'V1884', 'V1915', 'V1936', 'V1960', 'V1965', 'V1966', 'V1971', 'V1993']" "['V2', 'V3', 'V13', 'V18', 'V29', 'V32', 'V35', 'V42', 'V57', 'V64', 'V77', 'V83', 'V85', 'V96', 'V139', 'V143', 'V145', 'V194', 'V200', 'V262', 'V265', 'V301', 'V303', 'V317', 'V362', 'V413', 'V418', 'V423', 'V459', 'V472', 'V481', 'V543', 'V568', 'V591', 'V618', 'V649', 'V710', 'V715', 'V815', 'V822', 'V843', 'V850', 'V852', 'V878', 'V879', 'V919', 'V930', 'V937', 'V970', 'V972', 'V1007', 'V1058', 'V1061', 'V1089', 'V1126', 'V1137', 'V1138', 'V1143', 'V1166', 'V1183', 'V1206', 'V1216', 'V1238', 'V1239', 'V1263', 'V1267', 'V1271', 'V1286', 'V1306', 'V1319', 'V1328', 'V1336', 'V1378', 'V1406', 'V1429', 'V1445', 'V1476', 'V1517', 'V1527', 'V1530', 'V1533', 'V1544', 'V1554', 'V1598', 'V1603', 'V1627', 'V1654', 'V1662', 'V1667', 'V1694', 'V1698', 'V1712', 'V1713', 'V1744', 'V1779', 'V1783', 'V1791', 'V1812', 'V1822', 'V1846', 'V1871', 'V1881', 'V1936', 'V1945', 'V1960', 'V1970', 'V1971']" "['V3', 'V18', 'V23', 'V29', 'V30', 'V42', 'V43', 'V60', 'V68', 'V80', 'V120', 'V136', 'V139', 'V143', 'V194', 'V200', 'V217', 'V238', 'V262', 'V280', 'V307', 'V308', 'V317', 'V354', 'V356', 'V357', 'V380', 'V392', 'V457', 'V462', 'V470', 'V471', 'V510', 'V513', 'V529', 'V551', 'V568', 'V578', 'V608', 'V621', 'V657', 'V658', 'V660', 'V662', 'V715', 'V822', 'V849', 'V882', 'V905', 'V906', 'V923', 'V940', 'V958', 'V972', 'V1014', 'V1042', 'V1097', 'V1098', 'V1101', 'V1103', 'V1126', 'V1129', 'V1133', 'V1138', 'V1162', 'V1218', 'V1263', 'V1286', 'V1299', 'V1304', 'V1333', 'V1375', 'V1379', 'V1393', 'V1409', 'V1423', 'V1471', 'V1488', 'V1510', 'V1517', 'V1530', 'V1531', 'V1545', 'V1564', 'V1569', 'V1580', 'V1581', 'V1613', 'V1624', 'V1625', 'V1635', 'V1644', 'V1646', 'V1650', 'V1654', 'V1657', 'V1662', 'V1669', 'V1680', 'V1695', 'V1713', 'V1715', 'V1744', 'V1760', 'V1769', 'V1772', 'V1829', 'V1871', 'V1882', 'V1891', 'V1936', 'V1966', 'V1971']" "['V3', 'V18', 'V29', 'V30', 'V35', 'V42', 'V44', 'V64', 'V72', 'V77', 'V83', 'V86', 'V122', 'V151', 'V183', 'V188', 'V194', 'V217', 'V251', 'V264', 'V274', 'V317', 'V330', 'V341', 'V350', 'V439', 'V449', 'V454', 'V456', 'V494', 'V568', 'V589', 'V615', 'V657', 'V750', 'V795', 'V802', 'V803', 'V836', 'V850', 'V851', 'V852', 'V886', 'V908', 'V922', 'V972', 'V984', 'V1000', 'V1079', 'V1089', 'V1097', 'V1101', 'V1126', 'V1138', 'V1144', 'V1152', 'V1189', 'V1193', 'V1223', 'V1224', 'V1232', 'V1243', 'V1256', 'V1302', 'V1370', 'V1378', 'V1381', 'V1383', 'V1397', 'V1399', 'V1400', 'V1406', 'V1411', 'V1412', 'V1490', 'V1510', 'V1517', 'V1530', 'V1549', 'V1571', 'V1604', 'V1611', 'V1645', 'V1654', 'V1659', 'V1662', 'V1687', 'V1694', 'V1713', 'V1733', 'V1744', 'V1760', 'V1772', 'V1778', 'V1799', 'V1800', 'V1803', 'V1815', 'V1836', 'V1849', 'V1871', 'V1881', 'V1884', 'V1885', 'V1936', 'V1942', 'V1955', 'V1971', 'V1980']" "['V3', 'V16', 'V28', 'V29', 'V30', 'V64', 'V68', 'V87', 'V120', 'V128', 'V143', 'V150', 'V193', 'V194', 'V206', 'V217', 'V232', 'V294', 'V307', 'V310', 'V317', 'V333', 'V375', 'V394', 'V395', 'V429', 'V433', 'V440', 'V454', 'V493', 'V494', 'V537', 'V539', 'V560', 'V568', 'V589', 'V627', 'V657', 'V658', 'V692', 'V704', 'V718', 'V728', 'V754', 'V803', 'V845', 'V850', 'V855', 'V908', 'V913', 'V919', 'V930', 'V958', 'V981', 'V1005', 'V1027', 'V1044', 'V1073', 'V1084', 'V1089', 'V1101', 'V1152', 'V1173', 'V1186', 'V1193', 'V1194', 'V1231', 'V1238', 'V1255', 'V1333', 'V1375', 'V1378', 'V1381', 'V1406', 'V1432', 'V1490', 'V1503', 'V1517', 'V1530', 'V1533', 'V1580', 'V1587', 'V1647', 'V1654', 'V1658', 'V1662', 'V1713', 'V1731', 'V1733', 'V1744', 'V1760', 'V1797', 'V1809', 'V1812', 'V1813', 'V1832', 'V1848', 'V1863', 'V1871', 'V1877', 'V1884', 'V1911', 'V1936', 'V1971', 'V1981', 'V1999']" "['V3', 'V11', 'V13', 'V19', 'V21', 'V29', 'V30', 'V35', 'V64', 'V77', 'V81', 'V87', 'V90', 'V109', 'V129', 'V131', 'V151', 'V177', 'V194', 'V201', 'V217', 'V232', 'V264', 'V284', 'V289', 'V307', 'V317', 'V394', 'V494', 'V504', 'V517', 'V528', 'V539', 'V568', 'V589', 'V616', 'V618', 'V620', 'V627', 'V629', 'V657', 'V664', 'V666', 'V698', 'V714', 'V715', 'V730', 'V759', 'V785', 'V818', 'V838', 'V847', 'V850', 'V904', 'V908', 'V911', 'V927', 'V961', 'V991', 'V995', 'V1005', 'V1015', 'V1089', 'V1101', 'V1126', 'V1160', 'V1168', 'V1173', 'V1183', 'V1193', 'V1240', 'V1256', 'V1299', 'V1333', 'V1359', 'V1375', 'V1406', 'V1451', 'V1517', 'V1533', 'V1540', 'V1580', 'V1628', 'V1646', 'V1654', 'V1658', 'V1662', 'V1664', 'V1673', 'V1702', 'V1727', 'V1744', 'V1764', 'V1783', 'V1799', 'V1812', 'V1829', 'V1832', 'V1846', 'V1871', 'V1877', 'V1882', 'V1936', 'V1971']"
Importance_value "[0.23713558468793497, 0.00036686375824262736, 0.042821348332994016, 0.011770809575593935, 8.331560653315877e-05, 0.0011811603485371435, 0.001073990035286124, 0.00013774415762078941, 0.00018199478630082734, 0.0007062357153701643, 2.4961710732004703e-07, 0.0012255095311739122, 0.0031287093081713954, 0.00044927785503790635, 0.00030933856210221464, 0.0003228506127409341, 0.0057828611996438945, 0.00019057154224287937, 0.0002015014239636368, 7.156938818261477e-07, 1.5549685003481066e-08, 0.00019615143713298575, 8.205581875672221e-05, 6.799784429195995e-05, 0.07323270857390994, 4.3251103597148675e-07, 0.00031409053767544664, 0.00011863853956301551, 0.00027573106807120794, 0.004467382216798984, 3.2919833197317584e-07, 0.00134826818388812, 0.00016815136080242037, 0.00010717634039551881, 0.00046657442502008074, 0.00014197657198524732, 0.00023544231913545012, 0.0012215914404903494, 2.916038801134846e-06, 0.00021321963307354634, 1.646388083994562e-06, 0.001267237603371624, 0.00014701350405244725, 0.0002013068526500474, 3.0574315144850197e-07, 0.0034662998882305737, 0.0016856413279444512, 0.0028542018539078006, 0.00022742037275561656, 8.723175524713219e-05, 0.0003075464586842995, 1.8975260992567892e-06, 0.0008443963370330887, 1.0400416205976253e-08, 0.0009994946472625433, 0.0001135022311542587, 0.00011508003881620045, 0.0004786415011858232, 0.0007964372383244514, 0.002476303214542248, 0.007346301109325417, 0.0003013408699831506, 0.0014127032008548783, 0.00376523027343155, 0.0001466622833003241, 0.00024209679429763702, 0.013545838702549834, 0.002865617873065132, 2.902416753002735e-07, 0.00036220921493348307, 0.00040688163664731906, 0.00036590683244341893, 1.3100767730719625e-06, 2.271729328833739e-18, 0.00044495901872598694, 0.0001788139403878905, 0.005036286854998322, 0.0002014902281956692, 1.6584354519766004e-08, 0.00017713177318267532, 0.009254682188514008, 0.0013074558435345722, 0.00023763114885349138, 0.2071694047715114, 1.925214919053973e-06, 6.77027055161719e-05, 0.001190889542349538, 0.0014250757022610816, 0.007381601421846578, 0.10611206012700755, 0.000529565217768322, 0.00013924710011243278, 0.00033757559550671095, 0.212342344722279, 0.0017781484343738834, 0.0003684855377137855, 3.867679105182593e-09, 0.007570413037222745, 0.00018160346966661524]" "[1.2682617880946297e-07, 0.23431746175460152, 0.00024011854137288792, 0.04164391350990758, 0.01089181173742759, 1.804662306626064e-08, 0.0003245332272353566, 0.00030225438429156305, 0.00014721758282562034, 0.00018703287124245118, 0.0002268575362361638, 6.555369114628792e-05, 0.0002275947006039463, 0.0002025250953309172, 0.0003415088338434491, 0.0002501557174948406, 0.0002464134537385634, 0.0016454381664554316, 0.003504773072880886, 8.302654106456375e-08, 0.0005938435299724351, 0.00041028508153561326, 0.000192464153614028, 0.006018610825821365, 9.402045427041316e-08, 0.00031940739022385514, 0.07475884937710336, 0.00020164947521513423, 0.00020216767671046339, 1.376001699828528e-07, 0.00012632465106249927, 0.0012626080835024989, 0.0007987939433575225, 0.00014688057460291866, 0.00014352774218761365, 0.00011336960895053066, 7.387698014196796e-05, 0.00036115052531977734, 0.0002021313635298219, 1.2613087260072834e-08, 0.0068344286958928165, 0.0024813969365862923, 1.1909981348489865e-07, 4.0205098138018815e-05, 0.00011107689239509256, 0.00014441864459090016, 0.0006965026194708134, 1.6941713818940564e-18, 1.6016601064958302e-07, 0.0002824350898854773, 5.5929138813974204e-05, 0.00017785320954411145, 0.0013177209827301942, 0.002143937030060185, 0.00316765028058202, 8.270524281000049e-05, 0.008296102137799499, 7.19107153164442e-05, 9.28918225169185e-05, 0.00011567080252579377, 0.0002419116967967703, 0.00019451418609213138, 0.0008037054087611597, 4.7253473610618326e-09, 0.006847993725826641, 2.7428330165190183e-06, 0.00011299846244807149, 0.012619317482294811, 0.00016799658578903187, 0.00020050266228877636, 0.00014004558142354512, 0.00019070018244330395, 0.0005749903277880309, 0.001496116038004413, 0.0003157342984107189, 3.0471219911299423e-06, 0.00018571310953490223, 0.004487659923750379, 0.0005643022089023947, 0.001092413598601777, 0.0005845471554734894, 0.0002946778222980363, 8.64399997551548e-05, 1.0207970396037512e-07, 6.449415505928332e-05, 0.00022628718606678943, 0.01001964423089955, 0.0003306971413949146, 0.0014868639855793381, 0.0003371636436291945, 0.0004052378876919417, 0.00010068555432175492, 0.0037138682868120315, 0.2095023396477487, 8.627842377514376e-05, 0.00019932626756890995, 0.00018573403185880635, 8.414297251348934e-05, 0.00014970690894098405, 0.005188722145811487, 0.10726193498648481, 0.002386447582015922, 0.2144141110055691, 0.00019711820866660679, 0.001535023493704762, 0.0001350792958973043, 0.003976224143223249]" "[0.23667320700696268, 0.016746861541723817, 0.00019977082332359232, 0.01501072871228198, 0.004269679475223631, 0.0006894548666417296, 9.967575605097267e-05, 0.00018249665426837928, 1.0848596533431407e-06, 0.0011911147717578714, 0.000146610164232488, 0.00045929256201869735, 0.0003278022262668668, 0.0015030715586739748, 0.0010169713637856403, 0.0038185631810313337, 0.0015886677853529762, 0.00011563465233067697, 0.0016669052007507546, 1.5622172902367e-08, 1.3401690918884716e-12, 0.00042895985881693464, 0.004872148032414421, 0.000636006056145648, 6.097625923821017e-10, 9.136832612998937e-05, 0.00010818399377581676, 0.00013577961320483534, 0.0006844593546330161, 0.00029281805075462953, 0.00042873140950581984, 0.0011568987463362378, 0.00011060800766045869, 3.67664395725099e-07, 5.814310640847435e-07, 2.2907817835087785e-17, 0.002495996377356054, 5.6269817006037896e-05, 5.434111452966766e-07, 1.689064724497531e-08, 0.07223681190298639, 6.446214625787049e-05, 0.0002695155493379708, 0.0001428753963225088, 0.0017244255431711176, 8.373473455470208e-05, 0.00011592283910661728, 0.00011095394253386043, 0.0004562416356704155, 0.0005604969787508424, 6.061712387994751e-07, 0.00284588972526489, 0.00019323175157808027, 0.000418273325844496, 0.0007824544051747611, 0.001256226740914215, 0.0008363254019819624, 0.0013005752656701304, 0.010759709478244868, 0.0002350333957531702, 0.005094092842434046, 0.00039502456927959157, 3.9853264117953933e-07, 0.008764702173485808, 3.680570218731827e-05, 0.0006662699626589321, 0.004061410379843, 0.019257998344597144, 0.0008413399109290831, 0.00014923137456997318, 0.00019578496693141984, 0.0008859210997626046, 0.00019770470879052575, 0.0006877319035401776, 0.00017407394262928616, 1.1043423330237774e-08, 3.4582582397368503e-07, 0.0001434738050133377, 0.00038400991895588083, 0.007968854786905878, 0.0014393462348656525, 0.00026453295849169817, 0.00034628086992864076, 0.00019450301310159975, 0.0002149948348021873, 0.00018988063447743017, 0.00010328358561469077, 0.000992716994115276, 0.0005378101972888498, 0.0002494269691824982, 0.0004216883229852864, 3.706147876913137e-09, 0.0028923023795804715, 0.0001607916079559326, 0.008202140229678736, 0.003953694155255898, 0.0008791433809250927, 0.0003299447202367677, 0.0003406859002580977, 2.0936775158715432e-05, 0.0014168983974785618, 8.17848313264884e-05, 0.20782662712126088, 0.0005916401232800818, 8.539779758511195e-05, 0.00020476833687286386, 0.00027070184845015403, 0.10336368230317114, 9.791138252997087e-05, 0.00014017043209454743, 0.2114504022252132, 0.0008913659550674265, 0.010338243214258773]" "[0.19325194928590386, 0.007145242806659144, 0.007797605399950917, 0.006892603925302759, 0.0006319750916223845, 0.00019089527554453303, 0.00021424196920487965, 0.0001976762975071223, 0.0004068975157787833, 0.002841204520106107, 8.898399986725659e-05, 6.592026722259729e-05, 0.0010208295362288803, 6.666826188990585e-05, 0.0013664367836740022, 0.0004008145450471388, 0.0007035934176635482, 0.014917002271457315, 3.546287516167796e-07, 0.00031448700141261055, 0.00013886478764444038, 0.0029526355665741044, 0.0010725144187944075, 1.261086838639332e-06, 0.0003201225640271419, 8.506352934393117e-07, 1.0803454192082662e-18, 0.00025076519246097247, 0.00018132086561656292, 0.00582460474923155, 0.006362820812546453, 0.00018679115236573264, 0.0006405737842217326, 0.07323784326664307, 0.009709604426952324, 0.0017815650266856447, 0.0003177013740754787, 0.001554636579500449, 3.1517300880608355e-05, 0.01367145026687467, 0.0020804769704759096, 0.00013206258170627504, 0.0012161215070593202, 0.0005309578381038176, 0.0014166314874073307, 0.000685344539677181, 0.00018171456936925408, 0.00010936932829551805, 8.559466941665409e-05, 0.013398060116038129, 0.0011731676363349083, 0.031091955053660084, 0.004405726511599778, 0.0036915593788010453, 0.00027288642173822433, 0.0016011464729535707, 6.129785965507771e-18, 0.017786240297215563, 4.4751645546494007e-07, 3.2414496658909204e-13, 0.0020645297097154395, 4.224593464209469e-07, 0.00016881239405516337, 0.007019126181463406, 0.0006460047897381977, 0.0005511646363305119, 3.779272752332763e-07, 0.0006165695668880107, 0.0005076893533972341, 0.00042103775300848686, 0.0001998942705952922, 0.00019403023203860674, 1.8872090921033965e-05, 3.8072879989845397e-07, 0.001392382818165796, 0.0015372923506755515, 0.003832224836832804, 0.0025060665460974016, 0.006453327762102019, 0.0006297761632347189, 0.002421180296524108, 0.0012554485355819056, 0.00017598104615599436, 0.005172856185482578, 0.0015512962448123561, 0.0005782251747570871, 0.00014755979891151451, 0.0004850148093197575, 0.0028742997170808277, 0.0008255011841156459, 0.19622196857456284, 0.00032612767500934036, 0.00047499672604841897, 0.0006175188725647155, 0.006476443500879815, 0.0003230870600700472, 7.549011772147795e-06, 0.0007567815055637553, 0.00011503072917087677, 0.00036667108380238306, 0.09763308622013837, 0.0015723224554696396, 0.00015264612483568713, 0.00034856544824255826, 0.20763730261019417, 0.000255190050171661, 0.0003909309521126769, 0.005464007251697636, 1.3902961523068492e-07]" "[0.161939179415595, 9.544190113088166e-05, 0.0006281536438414849, 0.022922483255739992, 0.01614431239546805, 0.004773819917023145, 0.0014196157849060813, 0.0032469525825307415, 0.002100625474643042, 0.0013771455779538156, 0.0004082494183984634, 0.0015967653751333946, 0.0011267839243560345, 0.00038606111172583994, 0.0002747742770949282, 0.004271051848188784, 0.00037741727048637094, 0.0001224163441682819, 0.01036545066418203, 0.00012124789657141023, 0.0026519940882322153, 0.0009086598626808849, 0.0006491468847649706, 0.0017610225022808646, 0.00023554637433776323, 0.004959377705288628, 0.001100806837222146, 0.001171289728603407, 0.0005322551250444652, 0.0017142418928818768, 0.010250192853645571, 3.216172431018593e-05, 0.025137338633129662, 0.00017028938630263933, 0.03128122348510572, 0.00024367901917590962, 0.005225221050104559, 0.07524399072082105, 0.001599245440642437, 0.001381896062790863, 0.0005166998828125856, 0.0001416348555467201, 0.0008998044758115517, 0.0003247886976692556, 0.0024233980237797835, 0.005761486510731636, 0.0014945522432529717, 0.0019642772957410484, 0.0021944710382964475, 0.0013090599021364218, 0.0007764873001980485, 0.0008497406382282631, 0.0005229949512317208, 0.0005983068478061252, 0.003427571805632603, 0.0007765128137830294, 7.483398986478008e-05, 0.0004540348075015993, 0.0005181399358451591, 0.020794702919833978, 0.02966344045483706, 0.003861662650720157, 0.0002916623403062069, 1.2825880647362552e-05, 0.003219646803082695, 2.8355356317212295e-06, 0.0020395070197236974, 0.0021173261183070305, 7.433860086887232e-05, 0.0026649033933398027, 0.002949552396392741, 2.857698283248484e-17, 0.00024199590227667926, 0.002262819476234501, 0.0004943331076733007, 0.00022801415524484935, 0.0008279524167357204, 0.0077525665916768705, 0.0028758474676779753, 0.0011928430321311808, 0.0016733613478094335, 0.0005237662241603186, 0.00021829823888896117, 0.012244339402258832, 0.0035934078496651623, 0.0020438423164032527, 0.004267299324230542, 0.013403089080908167, 0.00036867052005042013, 0.1467932681831464, 0.0030678963073338264, 0.00018815529490490645, 0.0011995832889524474, 0.002151132598876252, 0.0004812355224678473, 0.004722602794950538, 1.6045726819785576e-07, 0.0006874757292991301, 0.04489502873309983, 0.039204404746615136, 0.0007350039229703225, 0.0030430446715891575, 0.18484231083064637, 0.018980078716818678, 0.001230508075256888, 0.0008969360857131979]" "[0.13949594947380878, 0.00046271502738552304, 0.00023610522685183692, 0.0009353131806017225, 3.287749472567718e-09, 0.01090039019798088, 0.0011280587175253511, 0.00359014807422604, 0.0022741855645356693, 0.01102388642366509, 2.878967138257584e-07, 0.023637472878467968, 0.0013553583571057708, 0.0001075167421695394, 9.073682337493185e-06, 0.00017494812060262708, 0.0016350227914140826, 0.008319702084272247, 0.0013130346779621199, 0.0015566599536969896, 0.0072893465734772235, 0.0008794628802140335, 0.00029430195728631593, 0.0008307406129968228, 0.000640698312341501, 0.00289598986250394, 0.00028586897002557147, 0.001968502640815596, 0.004998091206436376, 0.0020816227976184864, 0.0006401669285140395, 0.0009124120831442887, 0.08136581456786979, 0.02674950188560331, 0.0002514414580879132, 0.0010969000470030569, 0.002918744083942679, 2.0515518392425209e-07, 0.001573395728934094, 0.00022656562172656023, 0.07245348228073706, 0.001121499827546822, 9.762337173789457e-06, 0.0013952826304966808, 0.002657682158885726, 0.0006245854829271409, 0.0016981540972461173, 0.0012219452897092628, 0.0009569211587659175, 0.004472965208345807, 0.004147657279757686, 0.004352860385875793, 0.02984680485229326, 0.002584811255133758, 0.004408862624935038, 0.0003104982184442749, 1.643504993723095e-07, 0.00025177960174282656, 0.0002864949742253414, 0.0004928192694993342, 0.002815297554959065, 0.001782517661256929, 0.0019111687177769288, 0.008146771071626225, 0.010078513819293637, 0.0005646868176283475, 0.0005084479048520945, 0.000615650306236078, 0.0009254465143333998, 0.007904634318774367, 0.001507222457984504, 0.0012430765258346045, 0.011324958094891577, 0.0028870642852510636, 0.0001284795258696842, 0.0030661493831901977, 0.002091327779874711, 0.0009181869933124352, 0.006508145326391879, 0.003730942108774875, 0.0004902731486541291, 0.009238990819062107, 0.00029136274385862116, 0.007099801667798975, 0.015106269196784525, 0.0014629261138390305, 0.0013144240274314744, 0.00024524952540683106, 0.023652556179703976, 0.009708687762933398, 0.00030819197127606763, 0.13677387211550582, 0.0009600074224752472, 0.0016680374510385802, 0.002196015145013262, 0.010857447046975662, 0.0019989480970911597, 0.009508360101805202, 0.017849083951250844, 0.07587541726245274, 0.006501358248383289, 0.004176467488067204, 0.11362336018673667, 0.001083566141303107]"
