 Noise_0.0 Noise_0.1 Noise_0.5 Noise_1.0 Noise_3.0
Train 0.19748809008228674 0.18103074924209617 0.23126894759636207 0.3598960588999567 0.5820701602425292
Cross 0.14593815439802404 0.14203735526945938 0.2013785202505376 0.31398428036172077 0.5599900461071827
std 0.025575435798663938 0.03430145507308767 0.015459973607834633 0.023252776485327083 0.012090485386650555
Test 0.16089965397923878 0.1557093425605537 0.19204152249134943 0.342560553633218 0.5674740484429066
Class_errors "{'BC': 0.0, 'LU': 0.027272727272727226, 'KI': 0.022900763358778664, 'U': 1.0, 'OV': 1.0, 'GBM': 1.0}" "{'BC': 0.0, 'LU': 0.045454545454545414, 'KI': 0.022900763358778664, 'U': 1.0, 'OV': 0.8888888888888888, 'GBM': 1.0}" "{'BC': 0.0, 'LU': 0.19090909090909092, 'KI': 0.03816793893129766, 'U': 1.0, 'OV': 1.0, 'GBM': 0.9230769230769231}" "{'BC': 0.0, 'LU': 0.8545454545454545, 'KI': 0.1297709923664122, 'U': 1.0, 'OV': 1.0, 'GBM': 1.0}" "{'BC': 0.0, 'LU': 1.0, 'KI': 1.0, 'U': 1.0, 'OV': 1.0, 'GBM': 1.0}"
Important_labels "['V16', 'V18', 'V29', 'V30', 'V51', 'V68', 'V77', 'V87', 'V141', 'V200', 'V201', 'V289', 'V302', 'V307', 'V350', 'V362', 'V372', 'V382', 'V394', 'V401', 'V424', 'V426', 'V434', 'V441', 'V448', 'V450', 'V462', 'V464', 'V465', 'V482', 'V494', 'V539', 'V555', 'V568', 'V570', 'V578', 'V596', 'V627', 'V658', 'V663', 'V673', 'V750', 'V795', 'V818', 'V826', 'V843', 'V845', 'V847', 'V869', 'V964', 'V972', 'V973', 'V982', 'V1017', 'V1024', 'V1033', 'V1059', 'V1066', 'V1089', 'V1097', 'V1101', 'V1126', 'V1128', 'V1147', 'V1152', 'V1173', 'V1193', 'V1217', 'V1249', 'V1256', 'V1263', 'V1290', 'V1293', 'V1295', 'V1300', 'V1315', 'V1351', 'V1354', 'V1367', 'V1370', 'V1380', 'V1414', 'V1478', 'V1494', 'V1517', 'V1530', 'V1533', 'V1544', 'V1549', 'V1551', 'V1575', 'V1599', 'V1601', 'V1616', 'V1644', 'V1646', 'V1654', 'V1658', 'V1667', 'V1673', 'V1698', 'V1702', 'V1731', 'V1744', 'V1753', 'V1772', 'V1784', 'V1787', 'V1788', 'V1799', 'V1813', 'V1827', 'V1846', 'V1849', 'V1854', 'V1897', 'V1931', 'V1936', 'V1938', 'V1944']" "['V3', 'V18', 'V30', 'V35', 'V61', 'V66', 'V68', 'V87', 'V91', 'V99', 'V182', 'V193', 'V200', 'V217', 'V239', 'V274', 'V282', 'V307', 'V308', 'V329', 'V330', 'V337', 'V362', 'V372', 'V394', 'V450', 'V462', 'V464', 'V470', 'V482', 'V494', 'V499', 'V507', 'V528', 'V539', 'V544', 'V568', 'V578', 'V582', 'V600', 'V616', 'V627', 'V667', 'V687', 'V795', 'V843', 'V845', 'V854', 'V867', 'V872', 'V914', 'V934', 'V959', 'V968', 'V982', 'V992', 'V1033', 'V1040', 'V1045', 'V1059', 'V1066', 'V1078', 'V1089', 'V1098', 'V1101', 'V1102', 'V1126', 'V1128', 'V1147', 'V1157', 'V1183', 'V1193', 'V1198', 'V1217', 'V1218', 'V1222', 'V1231', 'V1249', 'V1256', 'V1263', 'V1295', 'V1296', 'V1315', 'V1351', 'V1380', 'V1471', 'V1494', 'V1498', 'V1517', 'V1533', 'V1544', 'V1549', 'V1572', 'V1575', 'V1644', 'V1646', 'V1654', 'V1658', 'V1660', 'V1667', 'V1673', 'V1719', 'V1731', 'V1744', 'V1767', 'V1772', 'V1799', 'V1811', 'V1815', 'V1827', 'V1829', 'V1845', 'V1846', 'V1849', 'V1862', 'V1871', 'V1877', 'V1882', 'V1886', 'V1896', 'V1919', 'V1936', 'V1966', 'V1971']" "['V3', 'V18', 'V29', 'V30', 'V61', 'V63', 'V64', 'V77', 'V87', 'V99', 'V110', 'V177', 'V200', 'V201', 'V239', 'V289', 'V302', 'V308', 'V330', 'V350', 'V362', 'V372', 'V394', 'V399', 'V401', 'V424', 'V450', 'V459', 'V462', 'V475', 'V486', 'V494', 'V507', 'V539', 'V541', 'V568', 'V578', 'V588', 'V600', 'V605', 'V614', 'V627', 'V657', 'V663', 'V666', 'V676', 'V687', 'V716', 'V718', 'V730', 'V745', 'V795', 'V816', 'V822', 'V826', 'V831', 'V843', 'V845', 'V855', 'V856', 'V871', 'V915', 'V982', 'V1017', 'V1059', 'V1066', 'V1098', 'V1101', 'V1110', 'V1147', 'V1173', 'V1175', 'V1193', 'V1217', 'V1222', 'V1231', 'V1234', 'V1249', 'V1256', 'V1263', 'V1300', 'V1314', 'V1366', 'V1399', 'V1501', 'V1517', 'V1519', 'V1530', 'V1533', 'V1568', 'V1575', 'V1598', 'V1612', 'V1615', 'V1644', 'V1654', 'V1657', 'V1658', 'V1667', 'V1673', 'V1697', 'V1719', 'V1744', 'V1760', 'V1762', 'V1772', 'V1787', 'V1812', 'V1827', 'V1841', 'V1846', 'V1862', 'V1869', 'V1882', 'V1896', 'V1911', 'V1936', 'V1971']" "['V3', 'V18', 'V19', 'V20', 'V29', 'V30', 'V33', 'V56', 'V63', 'V68', 'V87', 'V128', 'V181', 'V193', 'V200', 'V201', 'V217', 'V237', 'V279', 'V282', 'V289', 'V307', 'V308', 'V330', 'V350', 'V357', 'V359', 'V383', 'V392', 'V394', 'V464', 'V475', 'V494', 'V520', 'V539', 'V544', 'V567', 'V568', 'V600', 'V614', 'V627', 'V663', 'V667', 'V691', 'V699', 'V728', 'V759', 'V795', 'V803', 'V822', 'V850', 'V863', 'V871', 'V913', 'V936', 'V940', 'V982', 'V1017', 'V1024', 'V1045', 'V1066', 'V1097', 'V1101', 'V1102', 'V1147', 'V1173', 'V1193', 'V1203', 'V1217', 'V1222', 'V1256', 'V1263', 'V1286', 'V1300', 'V1311', 'V1378', 'V1399', 'V1478', 'V1517', 'V1530', 'V1533', 'V1544', 'V1549', 'V1568', 'V1572', 'V1575', 'V1635', 'V1644', 'V1646', 'V1654', 'V1657', 'V1673', 'V1695', 'V1697', 'V1744', 'V1772', 'V1787', 'V1799', 'V1827', 'V1829', 'V1846', 'V1862', 'V1868', 'V1871', 'V1877', 'V1882', 'V1911', 'V1936', 'V1971']" "['V3', 'V18', 'V30', 'V68', 'V71', 'V77', 'V87', 'V91', 'V95', 'V111', 'V138', 'V147', 'V178', 'V217', 'V250', 'V278', 'V289', 'V297', 'V307', 'V314', 'V316', 'V330', 'V350', 'V359', 'V372', 'V394', 'V406', 'V464', 'V507', 'V514', 'V568', 'V578', 'V613', 'V627', 'V687', 'V721', 'V722', 'V725', 'V728', 'V759', 'V764', 'V795', 'V826', 'V832', 'V845', 'V855', 'V856', 'V871', 'V915', 'V939', 'V959', 'V972', 'V974', 'V982', 'V991', 'V1006', 'V1015', 'V1038', 'V1039', 'V1045', 'V1049', 'V1059', 'V1062', 'V1066', 'V1075', 'V1085', 'V1089', 'V1097', 'V1101', 'V1123', 'V1147', 'V1150', 'V1152', 'V1198', 'V1225', 'V1230', 'V1246', 'V1249', 'V1256', 'V1262', 'V1263', 'V1286', 'V1295', 'V1296', 'V1299', 'V1331', 'V1332', 'V1333', 'V1360', 'V1397', 'V1408', 'V1471', 'V1478', 'V1517', 'V1533', 'V1535', 'V1575', 'V1614', 'V1624', 'V1644', 'V1654', 'V1658', 'V1664', 'V1667', 'V1673', 'V1679', 'V1702', 'V1744', 'V1752', 'V1770', 'V1772', 'V1773', 'V1786', 'V1787', 'V1799', 'V1815', 'V1827', 'V1832', 'V1836', 'V1841', 'V1843', 'V1846', 'V1882', 'V1911', 'V1913', 'V1923', 'V1924', 'V1936', 'V1971', 'V1980', 'V1993']"
Importance_value "[0.0038433013207752023, 0.02068088048341783, 0.003186026900085339, 0.0035236886094850563, 0.004556110026700202, 0.017109733940225615, 0.0047165733501323024, 0.03170289035064688, 0.004137464150105984, 0.014434973117501502, 0.006267723726178986, 0.0084948485934278, 0.004310608370584747, 0.0024119300679058676, 0.01541663075507153, 0.00666394486583398, 0.012655842350245474, 0.000942710269756464, 0.0004370040221262241, 0.007612541099293604, 0.006928098153803305, 0.0037311821717283815, 0.0045805524320668796, 0.0011231786988263684, 0.0010602811527315192, 0.004899826145283244, 0.00515586014091063, 0.019436958107020456, 0.0005521933743514505, 0.008818890931811187, 0.008425742156983752, 0.039531480268978916, 0.0014697140965239906, 0.012517087739684322, 0.004388546496772377, 0.0030934198199771817, 0.004854371766052756, 0.010193791717761826, 0.004993657048836086, 0.003235364731162679, 0.008278825830595377, 0.005247450195024244, 0.014610627031900985, 0.004985238334489591, 0.008873603379684396, 0.014266705980473561, 0.016621346982852468, 0.005384613062916349, 0.00038190532972100553, 0.0003280019451403309, 0.001524756381759129, 0.003561432881428773, 0.015211661543606366, 0.006756132506001005, 0.006081052388373561, 0.007709577769470944, 0.005088202686410851, 0.00718604094418804, 0.017314534524626626, 0.017496470741212654, 0.020722011688699467, 0.02435927460981863, 0.003424442453587379, 0.013770490738734813, 0.007814523740260067, 0.00450315012525677, 0.00840550337770954, 0.005078461552721761, 0.007962212155050852, 0.02926671585790643, 0.00907689103635923, 0.00843224639884053, 0.004870966393900178, 0.005423849641018789, 0.003093944722062296, 0.006445301847543242, 0.007893041836451774, 0.0037291090373294073, 0.00197064687380883, 0.0010609482527282514, 0.0028093401982486194, 6.725487292545157e-05, 0.010409765268768625, 0.006628059806832687, 0.0060062252486949574, 0.006197914234522686, 0.009088222378201389, 0.006532816379798123, 0.00956528877036667, 0.005003896688226637, 0.007667893896321799, 0.0029528524352201335, 0.004057335415785585, 0.00013955588363030285, 0.007007656400499265, 0.008262691516575065, 0.031202804919680367, 0.012962267258622448, 0.010840276214279963, 0.017410512282254174, 0.0011936087604507018, 0.00020950662980981854, 0.00790641832268581, 0.020148303884413837, 0.00440097887049552, 0.012675587126344335, 0.0023456197987581574, 0.01292965646090812, 0.0007335252810982352, 0.02017027684640125, 0.0028625739202174944, 0.012448672456419578, 0.014054295893449205, 0.004562723395412287, 0.0041607814213414735, 0.004950725129371816, 0.013625974208850792, 0.027987174118688358, 0.0007006051274651716, 0.0008128259775307096]" "[0.02113076355927448, 0.04316453319552293, 0.010000442938844405, 0.004274668810218316, 0.00511322566181008, 0.002638840050644346, 0.014948980768196719, 0.02362556717574155, 0.00604549334635451, 0.005384640381975384, 0.007065962801759256, 0.007634433458651327, 0.006569822012753275, 0.006699056636501295, 0.004958677838363331, 0.007902964744045182, 0.0023931134352540625, 0.012758830557542443, 0.000685991894491294, 0.003687770326386756, 0.008406179625005868, 0.0009059785194150763, 0.002206902510717669, 0.005218737798364502, 0.0025863431319982297, 0.0017757566444834352, 0.005636606145829409, 0.006685562264208366, 0.003974214194459989, 0.005662312501495617, 0.03617515790439944, 0.002752223616091488, 0.002154745628885721, 0.00024044132324132966, 0.02194954791916276, 0.0047834511416317395, 0.011895983060826022, 0.013180602103359878, 0.00446479574621521, 0.014107466602874453, 0.004079880595824033, 0.007670352900070357, 0.0005995145345417515, 0.0021146081923098387, 0.016516689442982502, 0.008171031754846464, 0.018293869024647167, 0.002801922600354784, 0.005209906847939019, 0.004926450705674418, 0.0031686919366428526, 0.005863546769464831, 0.007324008850477026, 0.003930526796794596, 0.006699269240705118, 0.011182472025311538, 0.006726903455754637, 0.0006690038468571098, 0.0009204663826947382, 0.007260140771973022, 0.009932232183819901, 0.004970164073328822, 0.006673034835226991, 0.015344453242573435, 0.0076718021292454235, 0.005757294146789981, 0.009276166228116728, 0.0006496535762880808, 0.006703363456590994, 0.0012027684443643067, 0.006681340637996196, 0.01113983079580835, 0.003972401234369987, 0.011970710963031641, 0.03475735361065616, 0.005070104289418316, 0.006290739098151339, 0.009620169744013857, 0.011254245682458901, 0.01790579314076539, 0.0031538590223999675, 0.004525117000121026, 0.0003197735460919936, 0.006812707649099202, 0.0019397040083417446, 0.0038165806189648095, 0.007766001766532261, 0.006848480248815924, 0.010763912841929719, 0.016244972885054096, 0.00512181420857305, 0.0015902204426371986, 0.006682367798896021, 0.0036555051650854877, 0.015397025320498173, 0.012347162233461125, 0.020503388071026564, 0.013130361655296125, 0.0003859741881341508, 0.010465364085812846, 0.011651611605566162, 0.0048691307795803215, 0.0037148606262725234, 0.0069627827708237085, 0.004961851314515657, 0.0052008477261389074, 0.013065611272202479, 0.0028165379595967775, 0.014047258976713658, 0.006158344546061077, 0.014615191268109133, 0.003127055561812828, 0.017509745817187675, 0.007297068323030825, 0.007056609758254565, 0.005923115574516567, 0.004762366604093798, 0.01722719471208632, 0.0035438988646556064, 0.0006777369897846693, 0.00042468906233475754, 0.004536315439536611, 0.004695451921747584, 0.02126476360272856]" "[0.025921357210960047, 0.019014602312314093, 0.005130443691002508, 0.014358323619448447, 0.012853142010136931, 0.0032179158233217767, 0.006592048671779908, 0.009035019617814433, 0.006632795121166259, 0.0024269439365140716, 0.004044449476657163, 0.010976405455382542, 0.005655694992074611, 0.007294008592736675, 0.00026914918289020645, 0.0049327760764107074, 0.0025474677624500526, 0.00625214900444894, 0.006838794567721121, 0.008335022439141268, 0.00729088130634089, 0.00448384763550505, 0.005139654513536232, 0.0037205626128258905, 0.0015655690697144555, 0.007400226834441448, 0.007281787062860877, 0.001086443517481821, 0.003669361650869762, 0.014117140501260315, 0.0027218667091223805, 0.008738970415415022, 0.007592217889797272, 0.019393299894278227, 0.002673885853136804, 0.005592391151399587, 0.0056796433480813275, 0.0028420002750539773, 0.016246719266564593, 0.01345205443329253, 0.0029062565382933898, 0.01780648055876936, 0.003538681299507948, 0.005731192895780791, 0.0011771633778956433, 0.0005330916710070121, 0.00639207124202184, 0.0006459091883907689, 0.003358999104371179, 0.003439481439748856, 0.0026680709485532544, 0.01780156344410131, 0.0024729566214395965, 0.004809611594568463, 0.008841339965727533, 0.003953462995811372, 0.012986895182680692, 0.012095612532940135, 0.007334946825345397, 0.0007780061346891663, 0.007506216751549331, 0.006663273750325027, 0.006314425134652223, 0.006500954815805465, 0.006685055261665376, 0.009346425784319686, 0.0016292091097609128, 0.04424861987334159, 0.003636174606012899, 0.019576306724213895, 0.0046811260908236575, 0.007781265428601954, 0.021151060503339605, 0.0077661507716068135, 0.000602573824327492, 0.003479890287813925, 0.003051953310802358, 0.0035807382976864055, 0.009030287933237733, 0.0057651316388998754, 0.0021752385370844, 0.007317707312406959, 0.00036284067600743527, 0.004373611167867888, 0.00479594712558554, 0.005740206758337621, 0.004465941260005546, 0.009119190377750963, 0.015145997679946196, 0.004033985658072644, 0.012659140777180531, 0.01570275226921636, 0.00913962946495422, 0.00407578964349625, 0.013053299594777143, 0.014264563144294758, 0.0021847978167366666, 0.019893443698171552, 0.003389617356658402, 0.03924105619952415, 0.007549839073857897, 0.004377149214527467, 0.018753002921056673, 0.003582234045715564, 0.004383610100804427, 0.027109729246707976, 0.017530240537383404, 0.010383017538719206, 0.007187860257193323, 0.007033287073635662, 0.015844619776405677, 0.015977780268873164, 0.0013061904964960923, 0.01739067030536721, 0.009663669223054231, 0.0006569268985915803, 0.031401801509007246, 0.007447948028747825]" "[0.02271849827556556, 0.018924040540688174, 0.0048261466825424105, 0.002875576568531493, 0.005782015822228399, 0.015490773131988036, 0.0011992220091208829, 0.0034164023860724017, 0.0045879222884442124, 0.010915031265142792, 0.005857011798359049, 0.0016421372262909314, 0.0031340091279331477, 0.014933918092333581, 0.006709784945999959, 0.00782398345162443, 0.005421005006106145, 0.002529109313683151, 0.003134137395131678, 0.008672333549185349, 0.007224040218131255, 0.008942860062734535, 0.0034625882998337854, 0.007618232021785187, 0.016513134303590107, 0.0023334648413042033, 0.007184099597383327, 0.005529518605136472, 0.00401037447063719, 0.004394853035139958, 0.005534508874384682, 0.039239930495859915, 0.004289927173694413, 0.0021669415913315613, 0.023177642294530905, 0.0038661398539025305, 0.0010587438598014336, 0.014981889523947559, 0.003513925770496798, 0.0210575381004818, 0.029500857733387603, 0.0013456783435390628, 0.024028302382151707, 0.004786078214047449, 0.003332479065876399, 0.0029690518852108906, 0.0072229730891627, 0.008099490358262424, 0.00560210324962824, 0.0022418842759376815, 0.0049848043651544395, 0.0016997404980080423, 0.006481339622702569, 0.0010149692977013901, 0.008768632073110471, 0.0053983648685194665, 0.001562490800195833, 0.005356996867231825, 0.006816906683723262, 0.001284106263735139, 0.00948153982834702, 0.0031133945800219383, 0.03204276104024699, 0.003978659957836214, 0.015348524041093181, 0.014196572717542584, 0.0018003556973890356, 0.0028899944302126887, 0.012044463629893332, 0.007536326989576155, 0.014356432658905705, 0.0047032220641257585, 0.0054001035698232665, 0.012254300614146913, 0.0069292353766957394, 0.002297217474444955, 0.006112607616261758, 0.014432625919819135, 0.008351034658635036, 0.012359104437424252, 0.044380602172760374, 0.00434875861175998, 0.008454017798261432, 0.003769307960385938, 0.0012325861424180176, 0.011326208960536426, 0.0071494977725596615, 0.0059761629973648055, 0.005470404233619494, 0.03249662041243351, 0.016665122129615427, 0.00766787621767167, 0.0028604589487408543, 0.005328234949666231, 0.028077428095796494, 0.023889642494173722, 0.01840972249559784, 0.0055742702822184536, 0.004915255123713356, 0.0040161710884540295, 0.016577538802814824, 0.006965030803809422, 0.003564112018117056, 0.004120976497670359, 0.0029286991936319606, 0.02549402837709396, 0.0022921993393261093, 0.008234618837842171, 0.028995308131138767]" "[0.00789109742508064, 0.00427658372970396, 0.0053982155590402625, 0.012955371950245551, 0.0053428011325130816, 0.007445489405703353, 0.007025125290573747, 0.004035437525777288, 0.006529023684141511, 0.007761790324630716, 0.003487487443857554, 0.00406052035013518, 0.006927999610692636, 0.020256574792048225, 0.007146560305142187, 0.004662681783958442, 0.008622768895102757, 0.0033208378379662993, 0.012818673407311604, 0.009434863592422467, 0.005851750351293354, 0.004469749524993642, 0.0053618862173514465, 0.006656655409358465, 0.004844355991900772, 0.003295155825974051, 0.0038860439973385764, 0.006215427056974528, 0.002839019315802912, 0.0070252777162533, 0.019769275665559322, 0.014020670661347932, 0.005912566122110914, 0.016595911307367987, 0.022107116719147394, 0.005582634078401857, 0.004561661688310611, 0.005892042505133203, 0.02106087256434778, 0.01207247937775401, 0.010377528250230196, 0.01355123930059841, 0.014892791764100025, 0.00616679453962554, 0.0039939287956922585, 0.013445228745934457, 0.0063473585652632225, 0.0036420438152237064, 0.021632966770845953, 0.0026205701915171476, 0.0043415049347159595, 0.004261079607714189, 0.002811368171368285, 0.019072263498020374, 0.0030670338387659792, 0.002316973456053872, 0.007934865446320266, 0.005480413415611977, 0.006029736108257891, 0.006027444420597924, 0.005198457940525355, 0.0217724081836998, 0.007229364887377491, 0.004166920372853917, 0.005972551836598384, 0.002611416372429657, 0.012163885936939466, 0.00923003495929632, 0.03344760804105902, 0.004334689543877096, 0.006613527937752395, 0.006777407765892797, 0.010943372529815577, 0.004241386968358138, 0.010754339910782272, 0.015514858418608956, 0.0038508031323712657, 0.007755923466659935, 0.01503433585495325, 0.005286915677914122, 0.0060771846432104825, 0.007987916258987727, 0.006807118057306389, 0.003517253279338244, 0.004973727974237629, 0.0030927948835419413, 0.0013169015782074822, 0.0047786298863916905, 0.006185447296060602, 0.004559745915198294, 0.0038716978462843507, 0.004265799333776962, 0.0046079525171351145, 0.004490414251988263, 0.023946132050332972, 0.004142381607437111, 0.0056582549239123005, 0.003572581051131279, 0.0038416321884316563, 0.006799388418689506, 0.015374353529045214, 0.0031425164278056756, 0.004416991007783532, 0.005446638516416028, 0.0048686055312902815, 0.004974720914988485, 0.007757003343820946, 0.011141204251087859, 0.003661504019125772, 0.010422992079969913, 0.003645025856043735, 0.004735464030212061, 0.00466778722828167, 0.017641719623740133, 0.009677865299448621, 0.004595367578958267, 0.015417924903742445, 0.0071815810072685575, 0.003022744661101691, 0.004302790682871615, 0.0036110880769637727, 0.007219160185617684, 0.005416212339521768, 0.004566845703061051, 0.002600623672272834, 0.0027661842855680255, 0.006618644289311676, 0.006192459657819502, 0.014187762848952734, 0.00248888780149172, 0.005410577167824365]"
