 KNN_PCA_30_70 KNN_Feat_30_70 SVC_PCA_30_70 SVC_Feat_30_70 LR_PCA_30_70 LR_Feat_30_70 KNN_PCA_20_80 KNN_Feat_20_80 SVC_PCA_20_80 SVC_Feat_20_80 LR_PCA_20_80 LR_Feat_20_80 KNN_PCA_10_90 KNN_Feat_10_90 SVC_PCA_10_90 SVC_Feat_10_90 LR_PCA_10_90 LR_Feat_10_90
Train 0.006930693069306937 0.00544554455445545 0.001980198019801982 0.0014851485148514865 0.0 0.0 0.005630142919012537 0.005197055002165385 0.002165439584235651 0.0012992637505413462 0.0 0.0 0.004618937644341847 0.00500384911470364 0.0015396458814472824 0.00038491147036179285 0.0 0.0
Cross 0.007425742574257432 0.006435643564356441 0.006930693069307048 0.006435643564356441 0.00544554455445545 0.005445544554455339 0.007793146838700027 0.007794085885192148 0.007792207792207906 0.003896103896103731 0.0043290043290042934 0.0034632034632033903 0.010005187490736644 0.006159033644582812 0.006543649029198129 0.00500518749073664 0.004619089965910761 0.0034652438120647
Test 0.012687427912341454 0.009227220299884653 0.008073817762399127 0.005767012687427964 0.0046136101499423265 0.00692041522491349 0.00692041522491349 0.00519031141868509 0.00519031141868509 0.00519031141868509 0.00519031141868509 0.0034602076124568004 0.01730103806228378 0.00692041522491349 0.01384083044982698 0.0034602076124568004 0.01038062283737029 0.01038062283737029
Opt_Feat_or_PCA 20.0 92.0 16.0 46.0 23.0 66.0 30.0 87.0 18.0 69.0 21.0 91.0 25.0 89.0 25.0 87.0 27.0 100.0
