 Noise_0.0 Noise_0.1 Noise_0.5 Noise_1.0 Noise_3.0
Train 0.0 0.0 0.0 0.0 0.0
Cross 0.006926406926406892 0.008226047271600478 0.006061545107098332 0.014724248997567857 0.1004648280136351
Test 0.00865051903114189 0.00519031141868509 0.00692041522491349 0.01211072664359858 0.09861591695501726
Trees 100 75 125 150 150
Learn_rate 0.2 0.2 0.1 0.2 0.3
Class_errors "{'LU': 0.017699115044247815, 'BC': 0.004132231404958664, 'KI': 0.0, 'GBM': 0.02857142857142858, 'OV': 0.0, 'U': 0.06666666666666665}" "{'LU': 0.008849557522123908, 'BC': 0.0, 'KI': 0.0, 'GBM': 0.0, 'OV': 0.0, 'U': 0.1333333333333333}" "{'LU': 0.0, 'BC': 0.0, 'KI': 0.0, 'GBM': 0.05714285714285716, 'OV': 0.0, 'U': 0.1333333333333333}" "{'LU': 0.017699115044247815, 'BC': 0.0, 'KI': 0.0, 'GBM': 0.05714285714285716, 'OV': 0.0, 'U': 0.19999999999999996}" "{'LU': 0.19469026548672563, 'BC': 0.008264462809917328, 'KI': 0.04201680672268904, 'GBM': 0.08571428571428574, 'OV': 0.2222222222222222, 'U': 0.8666666666666667}"
