 Noise_0.0 Noise_0.1 Noise_0.5 Noise_1.0 Noise_3.0
Train 0.0 0.0 0.0 0.0 0.0
Cross 0.29032258064516125 0.29032258064516125 0.29032258064516125 0.29032258064516125 0.29032258064516125
Test 0.22499999999999998 0.22499999999999998 0.22499999999999998 0.22499999999999998 0.22499999999999998
Trees 50 50 50 50 50
Learn_rate 0.2 0.2 0.2 0.2 0.2
Class_errors "{1: 0.09999999999999998, 0: 0.35}" "{1: 0.09999999999999998, 0: 0.35}" "{1: 0.09999999999999998, 0: 0.35}" "{1: 0.09999999999999998, 0: 0.35}" "{1: 0.09999999999999998, 0: 0.35}"
Important_labels "['V26', 'V40', 'V55', 'V80', 'V145', 'V195', 'V290', 'V316', 'V583', 'V586', 'V591', 'V606', 'V658', 'V679', 'V778', 'V855', 'V919', 'V920', 'V1001', 'V1032', 'V1064', 'V1107', 'V1204', 'V1234', 'V1273', 'V1290', 'V1379', 'V1425', 'V1470', 'V1508', 'V1533', 'V1535', 'V1543', 'V1555', 'V1570', 'V1572', 'V1573', 'V1588', 'V1624', 'V1636', 'V1641', 'V1671', 'V1681', 'V1694', 'V1703', 'V1746', 'V1752', 'V1753', 'V1781', 'V1782', 'V1824', 'V1843', 'V1870', 'V1877', 'V1878', 'V1879', 'V1890', 'V1891', 'V1896', 'V1908', 'V1911', 'V1934', 'V1953', 'V1972', 'V2000', 'V2013', 'V2017', 'V2055', 'V2095', 'V2097', 'V2100', 'V2110', 'V2120', 'V2136', 'V2159', 'V2160', 'V2169', 'V2200', 'V2305', 'V2311', 'V2323', 'V2328', 'V2386', 'V2388', 'V2390', 'V2391', 'V2392', 'V2415', 'V2416', 'V2420', 'V2453', 'V2454', 'V2532', 'V2584', 'V2589', 'V2596', 'V2612', 'V2632', 'V2659', 'V2695', 'V2729', 'V2738', 'V2827', 'V2852', 'V2853', 'V2870', 'V2881', 'V2958', 'V2964', 'V3052', 'V3062', 'V3109', 'V3122', 'V3123', 'V3172', 'V3183', 'V3188', 'V3191', 'V3247', 'V3268', 'V3272', 'V3381', 'V3423', 'V3435', 'V3643', 'V3699', 'V3755', 'V3874', 'V3890', 'V3967', 'V4030']" "['V26', 'V40', 'V55', 'V80', 'V145', 'V195', 'V290', 'V316', 'V583', 'V586', 'V591', 'V606', 'V658', 'V679', 'V778', 'V855', 'V919', 'V920', 'V1001', 'V1032', 'V1064', 'V1107', 'V1204', 'V1234', 'V1273', 'V1290', 'V1379', 'V1425', 'V1470', 'V1508', 'V1533', 'V1535', 'V1543', 'V1555', 'V1570', 'V1572', 'V1573', 'V1588', 'V1624', 'V1636', 'V1641', 'V1671', 'V1681', 'V1694', 'V1703', 'V1746', 'V1752', 'V1753', 'V1781', 'V1782', 'V1824', 'V1843', 'V1870', 'V1877', 'V1878', 'V1879', 'V1890', 'V1891', 'V1896', 'V1908', 'V1911', 'V1934', 'V1953', 'V1972', 'V2000', 'V2013', 'V2017', 'V2055', 'V2095', 'V2097', 'V2100', 'V2110', 'V2120', 'V2136', 'V2159', 'V2160', 'V2169', 'V2200', 'V2305', 'V2311', 'V2323', 'V2328', 'V2386', 'V2388', 'V2390', 'V2391', 'V2392', 'V2415', 'V2416', 'V2420', 'V2453', 'V2454', 'V2532', 'V2584', 'V2589', 'V2596', 'V2612', 'V2632', 'V2659', 'V2695', 'V2729', 'V2738', 'V2827', 'V2852', 'V2853', 'V2870', 'V2881', 'V2958', 'V2964', 'V3052', 'V3062', 'V3109', 'V3122', 'V3123', 'V3172', 'V3183', 'V3188', 'V3191', 'V3247', 'V3268', 'V3272', 'V3381', 'V3423', 'V3435', 'V3643', 'V3699', 'V3755', 'V3874', 'V3890', 'V3967', 'V4030']" "['V26', 'V40', 'V55', 'V80', 'V145', 'V195', 'V290', 'V316', 'V583', 'V586', 'V591', 'V606', 'V658', 'V679', 'V778', 'V855', 'V919', 'V920', 'V1001', 'V1032', 'V1064', 'V1107', 'V1204', 'V1234', 'V1273', 'V1290', 'V1379', 'V1425', 'V1470', 'V1508', 'V1533', 'V1535', 'V1543', 'V1555', 'V1570', 'V1572', 'V1573', 'V1588', 'V1624', 'V1636', 'V1641', 'V1671', 'V1681', 'V1694', 'V1703', 'V1746', 'V1752', 'V1753', 'V1781', 'V1782', 'V1824', 'V1843', 'V1870', 'V1877', 'V1878', 'V1879', 'V1890', 'V1891', 'V1896', 'V1908', 'V1911', 'V1934', 'V1953', 'V1972', 'V2000', 'V2013', 'V2017', 'V2055', 'V2095', 'V2097', 'V2100', 'V2110', 'V2120', 'V2136', 'V2159', 'V2160', 'V2169', 'V2200', 'V2305', 'V2311', 'V2323', 'V2328', 'V2386', 'V2388', 'V2390', 'V2391', 'V2392', 'V2415', 'V2416', 'V2420', 'V2453', 'V2454', 'V2532', 'V2584', 'V2589', 'V2596', 'V2612', 'V2632', 'V2659', 'V2695', 'V2729', 'V2738', 'V2827', 'V2852', 'V2853', 'V2870', 'V2881', 'V2958', 'V2964', 'V3052', 'V3062', 'V3109', 'V3122', 'V3123', 'V3172', 'V3183', 'V3188', 'V3191', 'V3247', 'V3268', 'V3272', 'V3381', 'V3423', 'V3435', 'V3643', 'V3699', 'V3755', 'V3874', 'V3890', 'V3967', 'V4030']" "['V26', 'V40', 'V55', 'V80', 'V145', 'V195', 'V290', 'V316', 'V583', 'V586', 'V591', 'V606', 'V658', 'V679', 'V778', 'V855', 'V919', 'V920', 'V1001', 'V1032', 'V1064', 'V1107', 'V1204', 'V1234', 'V1273', 'V1290', 'V1379', 'V1425', 'V1470', 'V1508', 'V1533', 'V1535', 'V1543', 'V1555', 'V1570', 'V1572', 'V1573', 'V1588', 'V1624', 'V1636', 'V1641', 'V1671', 'V1681', 'V1694', 'V1703', 'V1746', 'V1752', 'V1753', 'V1781', 'V1782', 'V1824', 'V1843', 'V1870', 'V1877', 'V1878', 'V1879', 'V1890', 'V1891', 'V1896', 'V1908', 'V1911', 'V1934', 'V1953', 'V1972', 'V2000', 'V2013', 'V2017', 'V2055', 'V2095', 'V2097', 'V2100', 'V2110', 'V2120', 'V2136', 'V2159', 'V2160', 'V2169', 'V2200', 'V2305', 'V2311', 'V2323', 'V2328', 'V2386', 'V2388', 'V2390', 'V2391', 'V2392', 'V2415', 'V2416', 'V2420', 'V2453', 'V2454', 'V2532', 'V2584', 'V2589', 'V2596', 'V2612', 'V2632', 'V2659', 'V2695', 'V2729', 'V2738', 'V2827', 'V2852', 'V2853', 'V2870', 'V2881', 'V2958', 'V2964', 'V3052', 'V3062', 'V3109', 'V3122', 'V3123', 'V3172', 'V3183', 'V3188', 'V3191', 'V3247', 'V3268', 'V3272', 'V3381', 'V3423', 'V3435', 'V3643', 'V3699', 'V3755', 'V3874', 'V3890', 'V3967', 'V4030']" "['V26', 'V40', 'V55', 'V80', 'V145', 'V195', 'V290', 'V316', 'V583', 'V586', 'V591', 'V606', 'V658', 'V679', 'V778', 'V855', 'V919', 'V920', 'V1001', 'V1032', 'V1064', 'V1107', 'V1204', 'V1234', 'V1273', 'V1290', 'V1379', 'V1425', 'V1470', 'V1508', 'V1533', 'V1535', 'V1543', 'V1555', 'V1570', 'V1572', 'V1573', 'V1588', 'V1624', 'V1636', 'V1641', 'V1671', 'V1681', 'V1694', 'V1703', 'V1746', 'V1752', 'V1753', 'V1781', 'V1782', 'V1824', 'V1843', 'V1870', 'V1877', 'V1878', 'V1879', 'V1890', 'V1891', 'V1896', 'V1908', 'V1911', 'V1934', 'V1953', 'V1972', 'V2000', 'V2013', 'V2017', 'V2055', 'V2095', 'V2097', 'V2100', 'V2110', 'V2120', 'V2136', 'V2159', 'V2160', 'V2169', 'V2200', 'V2305', 'V2311', 'V2323', 'V2328', 'V2386', 'V2388', 'V2390', 'V2391', 'V2392', 'V2415', 'V2416', 'V2420', 'V2453', 'V2454', 'V2532', 'V2584', 'V2589', 'V2596', 'V2612', 'V2632', 'V2659', 'V2695', 'V2729', 'V2738', 'V2827', 'V2852', 'V2853', 'V2870', 'V2881', 'V2958', 'V2964', 'V3052', 'V3062', 'V3109', 'V3122', 'V3123', 'V3172', 'V3183', 'V3188', 'V3191', 'V3247', 'V3268', 'V3272', 'V3381', 'V3423', 'V3435', 'V3643', 'V3699', 'V3755', 'V3874', 'V3890', 'V3967', 'V4030']"
Importance_value "[0.0029412159, 0.0037644575, 0.010886515, 0.000804257, 0.0063564363, 0.0037742555, 0.0002051324, 0.0068618483, 0.012325064, 0.006016194, 0.0011386895, 0.010731151, 0.0006164075, 0.017499892, 0.00020767652, 0.0027002597, 0.011710553, 0.0019282422, 0.01592819, 0.0024613184, 0.0021911531, 0.0031298178, 0.0035757106, 0.0015782696, 0.008720017, 0.000107502645, 0.025910413, 0.0063918447, 0.00072152814, 0.00506622, 0.0015262021, 0.0016383562, 0.030213438, 0.004714347, 0.013626511, 0.0009943054, 0.0018953539, 0.00913747, 0.0056555164, 0.02018819, 0.0038840044, 0.0011490816, 0.0014782248, 0.0032170836, 0.00052178686, 0.0047850255, 0.0014675407, 0.0011862888, 0.009441299, 0.0052764, 0.00072245277, 0.009323872, 0.001335498, 0.017231168, 0.0068601584, 0.0008592068, 0.017191779, 0.0038670325, 0.0072012916, 0.0010104312, 0.0014808301, 0.0007516102, 0.013607131, 0.009825165, 0.0022279755, 0.0009918201, 0.0025672573, 0.002223787, 0.002220792, 0.0027111697, 0.009347467, 0.00026066418, 0.011223768, 0.0015169252, 0.034200527, 0.019888574, 0.015653579, 0.0028277563, 0.0017983646, 0.029112697, 0.042681817, 0.0026929672, 0.054542493, 0.019339405, 0.0031030073, 0.0030681521, 0.005182438, 0.0019394812, 0.0005603184, 0.006806644, 0.043033194, 0.0010174372, 0.0008574867, 0.014268029, 0.0011675307, 0.0010444114, 0.002803376, 0.00047513077, 0.0027641498, 0.0018965902, 0.0016689313, 0.002190859, 0.0036331837, 0.0028229014, 0.025580944, 0.03555099, 0.0079074055, 0.008600193, 0.00082181935, 0.00956075, 0.005432195, 0.0067010946, 0.00067649386, 0.001234156, 0.022522477, 0.0054748105, 0.03196931, 0.004087862, 0.01210887, 0.0006026108, 0.012172535, 0.014358043, 0.0025795912, 0.003989978, 0.011861714, 0.00078802183, 0.00021764949, 0.024738492, 0.00052233733, 0.0007995963, 0.0012926736]" "[0.0029412159, 0.0037644575, 0.010886515, 0.000804257, 0.0063564363, 0.0037742555, 0.0002051324, 0.0068618483, 0.012325064, 0.006016194, 0.0011386895, 0.010731151, 0.0006164075, 0.017499892, 0.00020767652, 0.0027002597, 0.011710553, 0.0019282422, 0.01592819, 0.0024613184, 0.0021911531, 0.0031298178, 0.0035757106, 0.0015782696, 0.008720017, 0.000107502645, 0.025910413, 0.0063918447, 0.00072152814, 0.00506622, 0.0015262021, 0.0016383562, 0.030213438, 0.004714347, 0.013626511, 0.0009943054, 0.0018953539, 0.00913747, 0.0056555164, 0.02018819, 0.0038840044, 0.0011490816, 0.0014782248, 0.0032170836, 0.00052178686, 0.0047850255, 0.0014675407, 0.0011862888, 0.009441299, 0.0052764, 0.00072245277, 0.009323872, 0.001335498, 0.017231168, 0.0068601584, 0.0008592068, 0.017191779, 0.0038670325, 0.0072012916, 0.0010104312, 0.0014808301, 0.0007516102, 0.013607131, 0.009825165, 0.0022279755, 0.0009918201, 0.0025672573, 0.002223787, 0.002220792, 0.0027111697, 0.009347467, 0.00026066418, 0.011223768, 0.0015169252, 0.034200527, 0.019888574, 0.015653579, 0.0028277563, 0.0017983646, 0.029112697, 0.042681817, 0.0026929672, 0.054542493, 0.019339405, 0.0031030073, 0.0030681521, 0.005182438, 0.0019394812, 0.0005603184, 0.006806644, 0.043033194, 0.0010174372, 0.0008574867, 0.014268029, 0.0011675307, 0.0010444114, 0.002803376, 0.00047513077, 0.0027641498, 0.0018965902, 0.0016689313, 0.002190859, 0.0036331837, 0.0028229014, 0.025580944, 0.03555099, 0.0079074055, 0.008600193, 0.00082181935, 0.00956075, 0.005432195, 0.0067010946, 0.00067649386, 0.001234156, 0.022522477, 0.0054748105, 0.03196931, 0.004087862, 0.01210887, 0.0006026108, 0.012172535, 0.014358043, 0.0025795912, 0.003989978, 0.011861714, 0.00078802183, 0.00021764949, 0.024738492, 0.00052233733, 0.0007995963, 0.0012926736]" "[0.0029412159, 0.0037644575, 0.010886515, 0.000804257, 0.0063564363, 0.0037742555, 0.0002051324, 0.0068618483, 0.012325064, 0.006016194, 0.0011386895, 0.010731151, 0.0006164075, 0.017499892, 0.00020767652, 0.0027002597, 0.011710553, 0.0019282422, 0.01592819, 0.0024613184, 0.0021911531, 0.0031298178, 0.0035757106, 0.0015782696, 0.008720017, 0.000107502645, 0.025910413, 0.0063918447, 0.00072152814, 0.00506622, 0.0015262021, 0.0016383562, 0.030213438, 0.004714347, 0.013626511, 0.0009943054, 0.0018953539, 0.00913747, 0.0056555164, 0.02018819, 0.0038840044, 0.0011490816, 0.0014782248, 0.0032170836, 0.00052178686, 0.0047850255, 0.0014675407, 0.0011862888, 0.009441299, 0.0052764, 0.00072245277, 0.009323872, 0.001335498, 0.017231168, 0.0068601584, 0.0008592068, 0.017191779, 0.0038670325, 0.0072012916, 0.0010104312, 0.0014808301, 0.0007516102, 0.013607131, 0.009825165, 0.0022279755, 0.0009918201, 0.0025672573, 0.002223787, 0.002220792, 0.0027111697, 0.009347467, 0.00026066418, 0.011223768, 0.0015169252, 0.034200527, 0.019888574, 0.015653579, 0.0028277563, 0.0017983646, 0.029112697, 0.042681817, 0.0026929672, 0.054542493, 0.019339405, 0.0031030073, 0.0030681521, 0.005182438, 0.0019394812, 0.0005603184, 0.006806644, 0.043033194, 0.0010174372, 0.0008574867, 0.014268029, 0.0011675307, 0.0010444114, 0.002803376, 0.00047513077, 0.0027641498, 0.0018965902, 0.0016689313, 0.002190859, 0.0036331837, 0.0028229014, 0.025580944, 0.03555099, 0.0079074055, 0.008600193, 0.00082181935, 0.00956075, 0.005432195, 0.0067010946, 0.00067649386, 0.001234156, 0.022522477, 0.0054748105, 0.03196931, 0.004087862, 0.01210887, 0.0006026108, 0.012172535, 0.014358043, 0.0025795912, 0.003989978, 0.011861714, 0.00078802183, 0.00021764949, 0.024738492, 0.00052233733, 0.0007995963, 0.0012926736]" "[0.0029412159, 0.0037644575, 0.010886515, 0.000804257, 0.0063564363, 0.0037742555, 0.0002051324, 0.0068618483, 0.012325064, 0.006016194, 0.0011386895, 0.010731151, 0.0006164075, 0.017499892, 0.00020767652, 0.0027002597, 0.011710553, 0.0019282422, 0.01592819, 0.0024613184, 0.0021911531, 0.0031298178, 0.0035757106, 0.0015782696, 0.008720017, 0.000107502645, 0.025910413, 0.0063918447, 0.00072152814, 0.00506622, 0.0015262021, 0.0016383562, 0.030213438, 0.004714347, 0.013626511, 0.0009943054, 0.0018953539, 0.00913747, 0.0056555164, 0.02018819, 0.0038840044, 0.0011490816, 0.0014782248, 0.0032170836, 0.00052178686, 0.0047850255, 0.0014675407, 0.0011862888, 0.009441299, 0.0052764, 0.00072245277, 0.009323872, 0.001335498, 0.017231168, 0.0068601584, 0.0008592068, 0.017191779, 0.0038670325, 0.0072012916, 0.0010104312, 0.0014808301, 0.0007516102, 0.013607131, 0.009825165, 0.0022279755, 0.0009918201, 0.0025672573, 0.002223787, 0.002220792, 0.0027111697, 0.009347467, 0.00026066418, 0.011223768, 0.0015169252, 0.034200527, 0.019888574, 0.015653579, 0.0028277563, 0.0017983646, 0.029112697, 0.042681817, 0.0026929672, 0.054542493, 0.019339405, 0.0031030073, 0.0030681521, 0.005182438, 0.0019394812, 0.0005603184, 0.006806644, 0.043033194, 0.0010174372, 0.0008574867, 0.014268029, 0.0011675307, 0.0010444114, 0.002803376, 0.00047513077, 0.0027641498, 0.0018965902, 0.0016689313, 0.002190859, 0.0036331837, 0.0028229014, 0.025580944, 0.03555099, 0.0079074055, 0.008600193, 0.00082181935, 0.00956075, 0.005432195, 0.0067010946, 0.00067649386, 0.001234156, 0.022522477, 0.0054748105, 0.03196931, 0.004087862, 0.01210887, 0.0006026108, 0.012172535, 0.014358043, 0.0025795912, 0.003989978, 0.011861714, 0.00078802183, 0.00021764949, 0.024738492, 0.00052233733, 0.0007995963, 0.0012926736]" "[0.0029412159, 0.0037644575, 0.010886515, 0.000804257, 0.0063564363, 0.0037742555, 0.0002051324, 0.0068618483, 0.012325064, 0.006016194, 0.0011386895, 0.010731151, 0.0006164075, 0.017499892, 0.00020767652, 0.0027002597, 0.011710553, 0.0019282422, 0.01592819, 0.0024613184, 0.0021911531, 0.0031298178, 0.0035757106, 0.0015782696, 0.008720017, 0.000107502645, 0.025910413, 0.0063918447, 0.00072152814, 0.00506622, 0.0015262021, 0.0016383562, 0.030213438, 0.004714347, 0.013626511, 0.0009943054, 0.0018953539, 0.00913747, 0.0056555164, 0.02018819, 0.0038840044, 0.0011490816, 0.0014782248, 0.0032170836, 0.00052178686, 0.0047850255, 0.0014675407, 0.0011862888, 0.009441299, 0.0052764, 0.00072245277, 0.009323872, 0.001335498, 0.017231168, 0.0068601584, 0.0008592068, 0.017191779, 0.0038670325, 0.0072012916, 0.0010104312, 0.0014808301, 0.0007516102, 0.013607131, 0.009825165, 0.0022279755, 0.0009918201, 0.0025672573, 0.002223787, 0.002220792, 0.0027111697, 0.009347467, 0.00026066418, 0.011223768, 0.0015169252, 0.034200527, 0.019888574, 0.015653579, 0.0028277563, 0.0017983646, 0.029112697, 0.042681817, 0.0026929672, 0.054542493, 0.019339405, 0.0031030073, 0.0030681521, 0.005182438, 0.0019394812, 0.0005603184, 0.006806644, 0.043033194, 0.0010174372, 0.0008574867, 0.014268029, 0.0011675307, 0.0010444114, 0.002803376, 0.00047513077, 0.0027641498, 0.0018965902, 0.0016689313, 0.002190859, 0.0036331837, 0.0028229014, 0.025580944, 0.03555099, 0.0079074055, 0.008600193, 0.00082181935, 0.00956075, 0.005432195, 0.0067010946, 0.00067649386, 0.001234156, 0.022522477, 0.0054748105, 0.03196931, 0.004087862, 0.01210887, 0.0006026108, 0.012172535, 0.014358043, 0.0025795912, 0.003989978, 0.011861714, 0.00078802183, 0.00021764949, 0.024738492, 0.00052233733, 0.0007995963, 0.0012926736]"
