 Noise_0.0 Noise_0.1 Noise_0.5 Noise_1.0 Noise_3.0
Train 0.0 0.0 0.0 0.0 0.0
Cross 0.28991935483870956 0.28991935483870956 0.28991935483870956 0.28991935483870956 0.28991935483870956
Test 0.25 0.25 0.25 0.25 0.25
Trees 100 100 100 100 100
Learn_rate 0.3 0.3 0.3 0.3 0.3
Class_errors "{1: 0.25, 0: 0.25}" "{1: 0.25, 0: 0.25}" "{1: 0.25, 0: 0.25}" "{1: 0.25, 0: 0.25}" "{1: 0.25, 0: 0.25}"
Important_labels "['V17', 'V45', 'V78', 'V81', 'V198', 'V211', 'V361', 'V362', 'V479', 'V525', 'V529', 'V538', 'V587', 'V593', 'V647', 'V658', 'V707', 'V724', 'V737', 'V774', 'V857', 'V858', 'V859', 'V981', 'V1006', 'V1029', 'V1064', 'V1070', 'V1086', 'V1101', 'V1119', 'V1166', 'V1190', 'V1257', 'V1307', 'V1313', 'V1323', 'V1335', 'V1340', 'V1357', 'V1361', 'V1362', 'V1432', 'V1452', 'V1506', 'V1570', 'V1574', 'V1575', 'V1635', 'V1636', 'V1640', 'V1642', 'V1652', 'V1653', 'V1656', 'V1671', 'V1689', 'V1695', 'V1717', 'V1719', 'V1742', 'V1768', 'V1781', 'V1782', 'V1793', 'V1814', 'V1844', 'V1845', 'V1877', 'V1878', 'V1907', 'V2002', 'V2013', 'V2054', 'V2062', 'V2063', 'V2096', 'V2122', 'V2144', 'V2160', 'V2167', 'V2231', 'V2260', 'V2281', 'V2328', 'V2342', 'V2369', 'V2385', 'V2386', 'V2388', 'V2390', 'V2392', 'V2393', 'V2425', 'V2456', 'V2483', 'V2485', 'V2521', 'V2522', 'V2547', 'V2601', 'V2612', 'V2613', 'V2726', 'V2892', 'V2897', 'V2905', 'V2926', 'V2936', 'V2988', 'V3043', 'V3060', 'V3062', 'V3067', 'V3125', 'V3127', 'V3130', 'V3141', 'V3177', 'V3192', 'V3238', 'V3255', 'V3287', 'V3331', 'V3333', 'V3346', 'V3397', 'V3398', 'V3470', 'V3523', 'V3535', 'V3550', 'V3638', 'V3686', 'V3717', 'V3802', 'V3847', 'V3848', 'V3849', 'V3892', 'V3906', 'V3912', 'V3930', 'V3932', 'V3986', 'V3987', 'V3993', 'V4050', 'V4051', 'V4078', 'V4085']" "['V17', 'V45', 'V78', 'V81', 'V198', 'V211', 'V361', 'V362', 'V479', 'V525', 'V529', 'V538', 'V587', 'V593', 'V647', 'V658', 'V707', 'V724', 'V737', 'V774', 'V857', 'V858', 'V859', 'V981', 'V1006', 'V1029', 'V1064', 'V1070', 'V1086', 'V1101', 'V1119', 'V1166', 'V1190', 'V1257', 'V1307', 'V1313', 'V1323', 'V1335', 'V1340', 'V1357', 'V1361', 'V1362', 'V1432', 'V1452', 'V1506', 'V1570', 'V1574', 'V1575', 'V1635', 'V1636', 'V1640', 'V1642', 'V1652', 'V1653', 'V1656', 'V1671', 'V1689', 'V1695', 'V1717', 'V1719', 'V1742', 'V1768', 'V1781', 'V1782', 'V1793', 'V1814', 'V1844', 'V1845', 'V1877', 'V1878', 'V1907', 'V2002', 'V2013', 'V2054', 'V2062', 'V2063', 'V2096', 'V2122', 'V2144', 'V2160', 'V2167', 'V2231', 'V2260', 'V2281', 'V2328', 'V2342', 'V2369', 'V2385', 'V2386', 'V2388', 'V2390', 'V2392', 'V2393', 'V2425', 'V2456', 'V2483', 'V2485', 'V2521', 'V2522', 'V2547', 'V2601', 'V2612', 'V2613', 'V2726', 'V2892', 'V2897', 'V2905', 'V2926', 'V2936', 'V2988', 'V3043', 'V3060', 'V3062', 'V3067', 'V3125', 'V3127', 'V3130', 'V3141', 'V3177', 'V3192', 'V3238', 'V3255', 'V3287', 'V3331', 'V3333', 'V3346', 'V3397', 'V3398', 'V3470', 'V3523', 'V3535', 'V3550', 'V3638', 'V3686', 'V3717', 'V3802', 'V3847', 'V3848', 'V3849', 'V3892', 'V3906', 'V3912', 'V3930', 'V3932', 'V3986', 'V3987', 'V3993', 'V4050', 'V4051', 'V4078', 'V4085']" "['V17', 'V45', 'V78', 'V81', 'V198', 'V211', 'V361', 'V362', 'V479', 'V525', 'V529', 'V538', 'V587', 'V593', 'V647', 'V658', 'V707', 'V724', 'V737', 'V774', 'V857', 'V858', 'V859', 'V981', 'V1006', 'V1029', 'V1064', 'V1070', 'V1086', 'V1101', 'V1119', 'V1166', 'V1190', 'V1257', 'V1307', 'V1313', 'V1323', 'V1335', 'V1340', 'V1357', 'V1361', 'V1362', 'V1432', 'V1452', 'V1506', 'V1570', 'V1574', 'V1575', 'V1635', 'V1636', 'V1640', 'V1642', 'V1652', 'V1653', 'V1656', 'V1671', 'V1689', 'V1695', 'V1717', 'V1719', 'V1742', 'V1768', 'V1781', 'V1782', 'V1793', 'V1814', 'V1844', 'V1845', 'V1877', 'V1878', 'V1907', 'V2002', 'V2013', 'V2054', 'V2062', 'V2063', 'V2096', 'V2122', 'V2144', 'V2160', 'V2167', 'V2231', 'V2260', 'V2281', 'V2328', 'V2342', 'V2369', 'V2385', 'V2386', 'V2388', 'V2390', 'V2392', 'V2393', 'V2425', 'V2456', 'V2483', 'V2485', 'V2521', 'V2522', 'V2547', 'V2601', 'V2612', 'V2613', 'V2726', 'V2892', 'V2897', 'V2905', 'V2926', 'V2936', 'V2988', 'V3043', 'V3060', 'V3062', 'V3067', 'V3125', 'V3127', 'V3130', 'V3141', 'V3177', 'V3192', 'V3238', 'V3255', 'V3287', 'V3331', 'V3333', 'V3346', 'V3397', 'V3398', 'V3470', 'V3523', 'V3535', 'V3550', 'V3638', 'V3686', 'V3717', 'V3802', 'V3847', 'V3848', 'V3849', 'V3892', 'V3906', 'V3912', 'V3930', 'V3932', 'V3986', 'V3987', 'V3993', 'V4050', 'V4051', 'V4078', 'V4085']" "['V17', 'V45', 'V78', 'V81', 'V198', 'V211', 'V361', 'V362', 'V479', 'V525', 'V529', 'V538', 'V587', 'V593', 'V647', 'V658', 'V707', 'V724', 'V737', 'V774', 'V857', 'V858', 'V859', 'V981', 'V1006', 'V1029', 'V1064', 'V1070', 'V1086', 'V1101', 'V1119', 'V1166', 'V1190', 'V1257', 'V1307', 'V1313', 'V1323', 'V1335', 'V1340', 'V1357', 'V1361', 'V1362', 'V1432', 'V1452', 'V1506', 'V1570', 'V1574', 'V1575', 'V1635', 'V1636', 'V1640', 'V1642', 'V1652', 'V1653', 'V1656', 'V1671', 'V1689', 'V1695', 'V1717', 'V1719', 'V1742', 'V1768', 'V1781', 'V1782', 'V1793', 'V1814', 'V1844', 'V1845', 'V1877', 'V1878', 'V1907', 'V2002', 'V2013', 'V2054', 'V2062', 'V2063', 'V2096', 'V2122', 'V2144', 'V2160', 'V2167', 'V2231', 'V2260', 'V2281', 'V2328', 'V2342', 'V2369', 'V2385', 'V2386', 'V2388', 'V2390', 'V2392', 'V2393', 'V2425', 'V2456', 'V2483', 'V2485', 'V2521', 'V2522', 'V2547', 'V2601', 'V2612', 'V2613', 'V2726', 'V2892', 'V2897', 'V2905', 'V2926', 'V2936', 'V2988', 'V3043', 'V3060', 'V3062', 'V3067', 'V3125', 'V3127', 'V3130', 'V3141', 'V3177', 'V3192', 'V3238', 'V3255', 'V3287', 'V3331', 'V3333', 'V3346', 'V3397', 'V3398', 'V3470', 'V3523', 'V3535', 'V3550', 'V3638', 'V3686', 'V3717', 'V3802', 'V3847', 'V3848', 'V3849', 'V3892', 'V3906', 'V3912', 'V3930', 'V3932', 'V3986', 'V3987', 'V3993', 'V4050', 'V4051', 'V4078', 'V4085']" "['V17', 'V45', 'V78', 'V81', 'V198', 'V211', 'V361', 'V362', 'V479', 'V525', 'V529', 'V538', 'V587', 'V593', 'V647', 'V658', 'V707', 'V724', 'V737', 'V774', 'V857', 'V858', 'V859', 'V981', 'V1006', 'V1029', 'V1064', 'V1070', 'V1086', 'V1101', 'V1119', 'V1166', 'V1190', 'V1257', 'V1307', 'V1313', 'V1323', 'V1335', 'V1340', 'V1357', 'V1361', 'V1362', 'V1432', 'V1452', 'V1506', 'V1570', 'V1574', 'V1575', 'V1635', 'V1636', 'V1640', 'V1642', 'V1652', 'V1653', 'V1656', 'V1671', 'V1689', 'V1695', 'V1717', 'V1719', 'V1742', 'V1768', 'V1781', 'V1782', 'V1793', 'V1814', 'V1844', 'V1845', 'V1877', 'V1878', 'V1907', 'V2002', 'V2013', 'V2054', 'V2062', 'V2063', 'V2096', 'V2122', 'V2144', 'V2160', 'V2167', 'V2231', 'V2260', 'V2281', 'V2328', 'V2342', 'V2369', 'V2385', 'V2386', 'V2388', 'V2390', 'V2392', 'V2393', 'V2425', 'V2456', 'V2483', 'V2485', 'V2521', 'V2522', 'V2547', 'V2601', 'V2612', 'V2613', 'V2726', 'V2892', 'V2897', 'V2905', 'V2926', 'V2936', 'V2988', 'V3043', 'V3060', 'V3062', 'V3067', 'V3125', 'V3127', 'V3130', 'V3141', 'V3177', 'V3192', 'V3238', 'V3255', 'V3287', 'V3331', 'V3333', 'V3346', 'V3397', 'V3398', 'V3470', 'V3523', 'V3535', 'V3550', 'V3638', 'V3686', 'V3717', 'V3802', 'V3847', 'V3848', 'V3849', 'V3892', 'V3906', 'V3912', 'V3930', 'V3932', 'V3986', 'V3987', 'V3993', 'V4050', 'V4051', 'V4078', 'V4085']"
Importance_value "[0.00073453615, 0.0034241134, 0.0007104705, 0.0003292495, 0.0007083232, 0.003069132, 0.000370959, 0.0041632988, 0.005998606, 0.0021095215, 0.00091829814, 0.008128559, 0.014240532, 0.00019530483, 0.020245584, 0.00033317553, 0.007944024, 0.0025751723, 0.021912478, 0.011481217, 0.0014794378, 0.004037442, 0.00040406725, 0.0063844053, 0.001817751, 0.0063087367, 0.0013596413, 0.034496944, 0.0001512281, 0.0044391397, 0.0008295473, 0.00025950535, 0.00094464276, 0.00028591504, 0.0026545287, 0.006565239, 0.0020313275, 0.00016347053, 0.026218642, 0.00021166785, 0.031614743, 0.0016191002, 0.0045670606, 0.006750099, 0.0030545073, 0.027233675, 0.004845106, 0.0019667118, 0.0010396249, 0.04105743, 0.00021148831, 0.00034364118, 0.0071014217, 0.00037058382, 0.021136055, 0.0025212045, 0.01849092, 0.00838027, 0.0012964272, 0.0001764745, 0.0072464114, 0.017739594, 0.0031545702, 0.023064855, 0.0019000567, 0.0027105473, 0.011437324, 0.020793289, 0.01996336, 0.00290822, 0.0007333705, 0.07527268, 0.003625029, 0.0011174345, 0.0005573469, 0.0013195991, 0.0023331486, 0.00086795364, 0.0013165575, 0.00050811085, 0.0014465713, 0.0009521852, 0.08966899, 0.005972159, 0.0015527094, 0.033167012, 0.01388171, 0.003909008, 0.010749093, 0.00050943246, 0.00026789604, 0.0037196113, 0.004527854, 0.0001999596, 0.00089456094, 0.004133145, 0.022551544, 0.007875011, 0.01812083, 0.02529632, 0.0099810455, 0.005682194, 9.126091e-05, 0.00863933, 0.00062276446, 0.000282833, 0.0026345789, 0.00090199185, 0.0030470695, 0.00050795544, 0.00031094524, 0.00012811944, 0.017181545, 0.0024979333, 0.010103304, 0.0039800806, 0.0012179769, 0.0011779874, 0.0049958196, 0.0017989791, 0.00070821797, 0.0003996964, 0.00025471993, 0.0003830735, 0.0003158186, 0.009774148, 0.00050288753, 0.0023806028, 0.0005066507, 0.00018291832, 0.0014478983, 0.0010529344, 0.00017696993, 0.00071384694, 0.00084024906, 0.00025953876, 0.011015613, 0.00031237208, 0.0013501549, 0.00020871537, 0.001153264, 0.00054923404, 0.00029937708, 0.0024037508, 0.016256006, 0.0042089503, 0.0010602572, 0.0006710032, 0.0022900358, 0.003517008, 0.016642919]" "[0.00073453615, 0.0034241134, 0.0007104705, 0.0003292495, 0.0007083232, 0.003069132, 0.000370959, 0.0041632988, 0.005998606, 0.0021095215, 0.00091829814, 0.008128559, 0.014240532, 0.00019530483, 0.020245584, 0.00033317553, 0.007944024, 0.0025751723, 0.021912478, 0.011481217, 0.0014794378, 0.004037442, 0.00040406725, 0.0063844053, 0.001817751, 0.0063087367, 0.0013596413, 0.034496944, 0.0001512281, 0.0044391397, 0.0008295473, 0.00025950535, 0.00094464276, 0.00028591504, 0.0026545287, 0.006565239, 0.0020313275, 0.00016347053, 0.026218642, 0.00021166785, 0.031614743, 0.0016191002, 0.0045670606, 0.006750099, 0.0030545073, 0.027233675, 0.004845106, 0.0019667118, 0.0010396249, 0.04105743, 0.00021148831, 0.00034364118, 0.0071014217, 0.00037058382, 0.021136055, 0.0025212045, 0.01849092, 0.00838027, 0.0012964272, 0.0001764745, 0.0072464114, 0.017739594, 0.0031545702, 0.023064855, 0.0019000567, 0.0027105473, 0.011437324, 0.020793289, 0.01996336, 0.00290822, 0.0007333705, 0.07527268, 0.003625029, 0.0011174345, 0.0005573469, 0.0013195991, 0.0023331486, 0.00086795364, 0.0013165575, 0.00050811085, 0.0014465713, 0.0009521852, 0.08966899, 0.005972159, 0.0015527094, 0.033167012, 0.01388171, 0.003909008, 0.010749093, 0.00050943246, 0.00026789604, 0.0037196113, 0.004527854, 0.0001999596, 0.00089456094, 0.004133145, 0.022551544, 0.007875011, 0.01812083, 0.02529632, 0.0099810455, 0.005682194, 9.126091e-05, 0.00863933, 0.00062276446, 0.000282833, 0.0026345789, 0.00090199185, 0.0030470695, 0.00050795544, 0.00031094524, 0.00012811944, 0.017181545, 0.0024979333, 0.010103304, 0.0039800806, 0.0012179769, 0.0011779874, 0.0049958196, 0.0017989791, 0.00070821797, 0.0003996964, 0.00025471993, 0.0003830735, 0.0003158186, 0.009774148, 0.00050288753, 0.0023806028, 0.0005066507, 0.00018291832, 0.0014478983, 0.0010529344, 0.00017696993, 0.00071384694, 0.00084024906, 0.00025953876, 0.011015613, 0.00031237208, 0.0013501549, 0.00020871537, 0.001153264, 0.00054923404, 0.00029937708, 0.0024037508, 0.016256006, 0.0042089503, 0.0010602572, 0.0006710032, 0.0022900358, 0.003517008, 0.016642919]" "[0.00073453615, 0.0034241134, 0.0007104705, 0.0003292495, 0.0007083232, 0.003069132, 0.000370959, 0.0041632988, 0.005998606, 0.0021095215, 0.00091829814, 0.008128559, 0.014240532, 0.00019530483, 0.020245584, 0.00033317553, 0.007944024, 0.0025751723, 0.021912478, 0.011481217, 0.0014794378, 0.004037442, 0.00040406725, 0.0063844053, 0.001817751, 0.0063087367, 0.0013596413, 0.034496944, 0.0001512281, 0.0044391397, 0.0008295473, 0.00025950535, 0.00094464276, 0.00028591504, 0.0026545287, 0.006565239, 0.0020313275, 0.00016347053, 0.026218642, 0.00021166785, 0.031614743, 0.0016191002, 0.0045670606, 0.006750099, 0.0030545073, 0.027233675, 0.004845106, 0.0019667118, 0.0010396249, 0.04105743, 0.00021148831, 0.00034364118, 0.0071014217, 0.00037058382, 0.021136055, 0.0025212045, 0.01849092, 0.00838027, 0.0012964272, 0.0001764745, 0.0072464114, 0.017739594, 0.0031545702, 0.023064855, 0.0019000567, 0.0027105473, 0.011437324, 0.020793289, 0.01996336, 0.00290822, 0.0007333705, 0.07527268, 0.003625029, 0.0011174345, 0.0005573469, 0.0013195991, 0.0023331486, 0.00086795364, 0.0013165575, 0.00050811085, 0.0014465713, 0.0009521852, 0.08966899, 0.005972159, 0.0015527094, 0.033167012, 0.01388171, 0.003909008, 0.010749093, 0.00050943246, 0.00026789604, 0.0037196113, 0.004527854, 0.0001999596, 0.00089456094, 0.004133145, 0.022551544, 0.007875011, 0.01812083, 0.02529632, 0.0099810455, 0.005682194, 9.126091e-05, 0.00863933, 0.00062276446, 0.000282833, 0.0026345789, 0.00090199185, 0.0030470695, 0.00050795544, 0.00031094524, 0.00012811944, 0.017181545, 0.0024979333, 0.010103304, 0.0039800806, 0.0012179769, 0.0011779874, 0.0049958196, 0.0017989791, 0.00070821797, 0.0003996964, 0.00025471993, 0.0003830735, 0.0003158186, 0.009774148, 0.00050288753, 0.0023806028, 0.0005066507, 0.00018291832, 0.0014478983, 0.0010529344, 0.00017696993, 0.00071384694, 0.00084024906, 0.00025953876, 0.011015613, 0.00031237208, 0.0013501549, 0.00020871537, 0.001153264, 0.00054923404, 0.00029937708, 0.0024037508, 0.016256006, 0.0042089503, 0.0010602572, 0.0006710032, 0.0022900358, 0.003517008, 0.016642919]" "[0.00073453615, 0.0034241134, 0.0007104705, 0.0003292495, 0.0007083232, 0.003069132, 0.000370959, 0.0041632988, 0.005998606, 0.0021095215, 0.00091829814, 0.008128559, 0.014240532, 0.00019530483, 0.020245584, 0.00033317553, 0.007944024, 0.0025751723, 0.021912478, 0.011481217, 0.0014794378, 0.004037442, 0.00040406725, 0.0063844053, 0.001817751, 0.0063087367, 0.0013596413, 0.034496944, 0.0001512281, 0.0044391397, 0.0008295473, 0.00025950535, 0.00094464276, 0.00028591504, 0.0026545287, 0.006565239, 0.0020313275, 0.00016347053, 0.026218642, 0.00021166785, 0.031614743, 0.0016191002, 0.0045670606, 0.006750099, 0.0030545073, 0.027233675, 0.004845106, 0.0019667118, 0.0010396249, 0.04105743, 0.00021148831, 0.00034364118, 0.0071014217, 0.00037058382, 0.021136055, 0.0025212045, 0.01849092, 0.00838027, 0.0012964272, 0.0001764745, 0.0072464114, 0.017739594, 0.0031545702, 0.023064855, 0.0019000567, 0.0027105473, 0.011437324, 0.020793289, 0.01996336, 0.00290822, 0.0007333705, 0.07527268, 0.003625029, 0.0011174345, 0.0005573469, 0.0013195991, 0.0023331486, 0.00086795364, 0.0013165575, 0.00050811085, 0.0014465713, 0.0009521852, 0.08966899, 0.005972159, 0.0015527094, 0.033167012, 0.01388171, 0.003909008, 0.010749093, 0.00050943246, 0.00026789604, 0.0037196113, 0.004527854, 0.0001999596, 0.00089456094, 0.004133145, 0.022551544, 0.007875011, 0.01812083, 0.02529632, 0.0099810455, 0.005682194, 9.126091e-05, 0.00863933, 0.00062276446, 0.000282833, 0.0026345789, 0.00090199185, 0.0030470695, 0.00050795544, 0.00031094524, 0.00012811944, 0.017181545, 0.0024979333, 0.010103304, 0.0039800806, 0.0012179769, 0.0011779874, 0.0049958196, 0.0017989791, 0.00070821797, 0.0003996964, 0.00025471993, 0.0003830735, 0.0003158186, 0.009774148, 0.00050288753, 0.0023806028, 0.0005066507, 0.00018291832, 0.0014478983, 0.0010529344, 0.00017696993, 0.00071384694, 0.00084024906, 0.00025953876, 0.011015613, 0.00031237208, 0.0013501549, 0.00020871537, 0.001153264, 0.00054923404, 0.00029937708, 0.0024037508, 0.016256006, 0.0042089503, 0.0010602572, 0.0006710032, 0.0022900358, 0.003517008, 0.016642919]" "[0.00073453615, 0.0034241134, 0.0007104705, 0.0003292495, 0.0007083232, 0.003069132, 0.000370959, 0.0041632988, 0.005998606, 0.0021095215, 0.00091829814, 0.008128559, 0.014240532, 0.00019530483, 0.020245584, 0.00033317553, 0.007944024, 0.0025751723, 0.021912478, 0.011481217, 0.0014794378, 0.004037442, 0.00040406725, 0.0063844053, 0.001817751, 0.0063087367, 0.0013596413, 0.034496944, 0.0001512281, 0.0044391397, 0.0008295473, 0.00025950535, 0.00094464276, 0.00028591504, 0.0026545287, 0.006565239, 0.0020313275, 0.00016347053, 0.026218642, 0.00021166785, 0.031614743, 0.0016191002, 0.0045670606, 0.006750099, 0.0030545073, 0.027233675, 0.004845106, 0.0019667118, 0.0010396249, 0.04105743, 0.00021148831, 0.00034364118, 0.0071014217, 0.00037058382, 0.021136055, 0.0025212045, 0.01849092, 0.00838027, 0.0012964272, 0.0001764745, 0.0072464114, 0.017739594, 0.0031545702, 0.023064855, 0.0019000567, 0.0027105473, 0.011437324, 0.020793289, 0.01996336, 0.00290822, 0.0007333705, 0.07527268, 0.003625029, 0.0011174345, 0.0005573469, 0.0013195991, 0.0023331486, 0.00086795364, 0.0013165575, 0.00050811085, 0.0014465713, 0.0009521852, 0.08966899, 0.005972159, 0.0015527094, 0.033167012, 0.01388171, 0.003909008, 0.010749093, 0.00050943246, 0.00026789604, 0.0037196113, 0.004527854, 0.0001999596, 0.00089456094, 0.004133145, 0.022551544, 0.007875011, 0.01812083, 0.02529632, 0.0099810455, 0.005682194, 9.126091e-05, 0.00863933, 0.00062276446, 0.000282833, 0.0026345789, 0.00090199185, 0.0030470695, 0.00050795544, 0.00031094524, 0.00012811944, 0.017181545, 0.0024979333, 0.010103304, 0.0039800806, 0.0012179769, 0.0011779874, 0.0049958196, 0.0017989791, 0.00070821797, 0.0003996964, 0.00025471993, 0.0003830735, 0.0003158186, 0.009774148, 0.00050288753, 0.0023806028, 0.0005066507, 0.00018291832, 0.0014478983, 0.0010529344, 0.00017696993, 0.00071384694, 0.00084024906, 0.00025953876, 0.011015613, 0.00031237208, 0.0013501549, 0.00020871537, 0.001153264, 0.00054923404, 0.00029937708, 0.0024037508, 0.016256006, 0.0042089503, 0.0010602572, 0.0006710032, 0.0022900358, 0.003517008, 0.016642919]"
