 Noise_0.0 Noise_0.1 Noise_0.5 Noise_1.0 Noise_3.0
Train 0.0 0.0 0.0 0.0 0.0
Cross 0.18931451612903216 0.189516129032258 0.18346774193548376 0.19596774193548383 0.20201612903225796
Test 0.25 0.22499999999999998 0.22499999999999998 0.22499999999999998 0.22499999999999998
Trees 125 50 50 150 100
Depth 90 25 25 90 75
Class_errors "{0: 0.23809523809523814, 1: 0.26315789473684215}" "{0: 0.23809523809523814, 1: 0.21052631578947367}" "{0: 0.23809523809523814, 1: 0.21052631578947367}" "{0: 0.2857142857142857, 1: 0.1578947368421053}" "{0: 0.2857142857142857, 1: 0.1578947368421053}"
