 Noise_0.0 Noise_0.1 Noise_0.5 Noise_1.0 Noise_3.0
Train 0.0 0.0 0.0 0.0 0.0
Cross 0.2534274193548387 0.2534274193548387 0.2534274193548387 0.2534274193548387 0.2534274193548387
Test 0.35 0.35 0.35 0.35 0.35
Trees 125 125 125 125 125
Learn_rate 0.2 0.2 0.2 0.2 0.2
Class_errors "{0: 0.4545454545454546, 1: 0.2222222222222222}" "{0: 0.4545454545454546, 1: 0.2222222222222222}" "{0: 0.4545454545454546, 1: 0.2222222222222222}" "{0: 0.4545454545454546, 1: 0.2222222222222222}" "{0: 0.4545454545454546, 1: 0.2222222222222222}"
Important_labels "['V16', 'V17', 'V98', 'V144', 'V161', 'V266', 'V267', 'V361', 'V410', 'V411', 'V476', 'V480', 'V526', 'V560', 'V584', 'V646', 'V658', 'V678', 'V694', 'V742', 'V788', 'V855', 'V857', 'V867', 'V884', 'V906', 'V919', 'V922', 'V959', 'V1000', 'V1064', 'V1065', 'V1066', 'V1085', 'V1166', 'V1190', 'V1204', 'V1222', 'V1229', 'V1231', 'V1234', 'V1297', 'V1357', 'V1382', 'V1484', 'V1489', 'V1493', 'V1532', 'V1550', 'V1570', 'V1573', 'V1576', 'V1618', 'V1630', 'V1657', 'V1679', 'V1695', 'V1697', 'V1706', 'V1707', 'V1714', 'V1715', 'V1716', 'V1717', 'V1723', 'V1738', 'V1752', 'V1758', 'V1780', 'V1781', 'V1782', 'V1845', 'V1877', 'V1887', 'V1888', 'V1890', 'V1937', 'V1953', 'V1971', 'V1997', 'V1998', 'V2001', 'V2002', 'V2012', 'V2034', 'V2045', 'V2058', 'V2066', 'V2068', 'V2074', 'V2075', 'V2096', 'V2097', 'V2120', 'V2130', 'V2160', 'V2162', 'V2187', 'V2191', 'V2199', 'V2201', 'V2260', 'V2265', 'V2273', 'V2318', 'V2326', 'V2348', 'V2357', 'V2369', 'V2385', 'V2386', 'V2390', 'V2392', 'V2453', 'V2457', 'V2482', 'V2547', 'V2549', 'V2571', 'V2592', 'V2597', 'V2611', 'V2620', 'V2636', 'V2657', 'V2658', 'V2662', 'V2664', 'V2726', 'V2756', 'V2788', 'V2827', 'V2898', 'V2911', 'V2936', 'V2938', 'V2957', 'V3000', 'V3018', 'V3064', 'V3102', 'V3285', 'V3286', 'V3302', 'V3318', 'V3319', 'V3346', 'V3348', 'V3349', 'V3362', 'V3380', 'V3412', 'V3413', 'V3421', 'V3427', 'V3436', 'V3457', 'V3464', 'V3478', 'V3523', 'V3587', 'V3635', 'V3636', 'V3650', 'V3685', 'V3700', 'V3764', 'V3810', 'V3920', 'V3932', 'V3987', 'V4083', 'V4086']" "['V16', 'V17', 'V98', 'V144', 'V161', 'V266', 'V267', 'V361', 'V410', 'V411', 'V476', 'V480', 'V526', 'V560', 'V584', 'V646', 'V658', 'V678', 'V694', 'V742', 'V788', 'V855', 'V857', 'V867', 'V884', 'V906', 'V919', 'V922', 'V959', 'V1000', 'V1064', 'V1065', 'V1066', 'V1085', 'V1166', 'V1190', 'V1204', 'V1222', 'V1229', 'V1231', 'V1234', 'V1297', 'V1357', 'V1382', 'V1484', 'V1489', 'V1493', 'V1532', 'V1550', 'V1570', 'V1573', 'V1576', 'V1618', 'V1630', 'V1657', 'V1679', 'V1695', 'V1697', 'V1706', 'V1707', 'V1714', 'V1715', 'V1716', 'V1717', 'V1723', 'V1738', 'V1752', 'V1758', 'V1780', 'V1781', 'V1782', 'V1845', 'V1877', 'V1887', 'V1888', 'V1890', 'V1937', 'V1953', 'V1971', 'V1997', 'V1998', 'V2001', 'V2002', 'V2012', 'V2034', 'V2045', 'V2058', 'V2066', 'V2068', 'V2074', 'V2075', 'V2096', 'V2097', 'V2120', 'V2130', 'V2160', 'V2162', 'V2187', 'V2191', 'V2199', 'V2201', 'V2260', 'V2265', 'V2273', 'V2318', 'V2326', 'V2348', 'V2357', 'V2369', 'V2385', 'V2386', 'V2390', 'V2392', 'V2453', 'V2457', 'V2482', 'V2547', 'V2549', 'V2571', 'V2592', 'V2597', 'V2611', 'V2620', 'V2636', 'V2657', 'V2658', 'V2662', 'V2664', 'V2726', 'V2756', 'V2788', 'V2827', 'V2898', 'V2911', 'V2936', 'V2938', 'V2957', 'V3000', 'V3018', 'V3064', 'V3102', 'V3285', 'V3286', 'V3302', 'V3318', 'V3319', 'V3346', 'V3348', 'V3349', 'V3362', 'V3380', 'V3412', 'V3413', 'V3421', 'V3427', 'V3436', 'V3457', 'V3464', 'V3478', 'V3523', 'V3587', 'V3635', 'V3636', 'V3650', 'V3685', 'V3700', 'V3764', 'V3810', 'V3920', 'V3932', 'V3987', 'V4083', 'V4086']" "['V16', 'V17', 'V98', 'V144', 'V161', 'V266', 'V267', 'V361', 'V410', 'V411', 'V476', 'V480', 'V526', 'V560', 'V584', 'V646', 'V658', 'V678', 'V694', 'V742', 'V788', 'V855', 'V857', 'V867', 'V884', 'V906', 'V919', 'V922', 'V959', 'V1000', 'V1064', 'V1065', 'V1066', 'V1085', 'V1166', 'V1190', 'V1204', 'V1222', 'V1229', 'V1231', 'V1234', 'V1297', 'V1357', 'V1382', 'V1484', 'V1489', 'V1493', 'V1532', 'V1550', 'V1570', 'V1573', 'V1576', 'V1618', 'V1630', 'V1657', 'V1679', 'V1695', 'V1697', 'V1706', 'V1707', 'V1714', 'V1715', 'V1716', 'V1717', 'V1723', 'V1738', 'V1752', 'V1758', 'V1780', 'V1781', 'V1782', 'V1845', 'V1877', 'V1887', 'V1888', 'V1890', 'V1937', 'V1953', 'V1971', 'V1997', 'V1998', 'V2001', 'V2002', 'V2012', 'V2034', 'V2045', 'V2058', 'V2066', 'V2068', 'V2074', 'V2075', 'V2096', 'V2097', 'V2120', 'V2130', 'V2160', 'V2162', 'V2187', 'V2191', 'V2199', 'V2201', 'V2260', 'V2265', 'V2273', 'V2318', 'V2326', 'V2348', 'V2357', 'V2369', 'V2385', 'V2386', 'V2390', 'V2392', 'V2453', 'V2457', 'V2482', 'V2547', 'V2549', 'V2571', 'V2592', 'V2597', 'V2611', 'V2620', 'V2636', 'V2657', 'V2658', 'V2662', 'V2664', 'V2726', 'V2756', 'V2788', 'V2827', 'V2898', 'V2911', 'V2936', 'V2938', 'V2957', 'V3000', 'V3018', 'V3064', 'V3102', 'V3285', 'V3286', 'V3302', 'V3318', 'V3319', 'V3346', 'V3348', 'V3349', 'V3362', 'V3380', 'V3412', 'V3413', 'V3421', 'V3427', 'V3436', 'V3457', 'V3464', 'V3478', 'V3523', 'V3587', 'V3635', 'V3636', 'V3650', 'V3685', 'V3700', 'V3764', 'V3810', 'V3920', 'V3932', 'V3987', 'V4083', 'V4086']" "['V16', 'V17', 'V98', 'V144', 'V161', 'V266', 'V267', 'V361', 'V410', 'V411', 'V476', 'V480', 'V526', 'V560', 'V584', 'V646', 'V658', 'V678', 'V694', 'V742', 'V788', 'V855', 'V857', 'V867', 'V884', 'V906', 'V919', 'V922', 'V959', 'V1000', 'V1064', 'V1065', 'V1066', 'V1085', 'V1166', 'V1190', 'V1204', 'V1222', 'V1229', 'V1231', 'V1234', 'V1297', 'V1357', 'V1382', 'V1484', 'V1489', 'V1493', 'V1532', 'V1550', 'V1570', 'V1573', 'V1576', 'V1618', 'V1630', 'V1657', 'V1679', 'V1695', 'V1697', 'V1706', 'V1707', 'V1714', 'V1715', 'V1716', 'V1717', 'V1723', 'V1738', 'V1752', 'V1758', 'V1780', 'V1781', 'V1782', 'V1845', 'V1877', 'V1887', 'V1888', 'V1890', 'V1937', 'V1953', 'V1971', 'V1997', 'V1998', 'V2001', 'V2002', 'V2012', 'V2034', 'V2045', 'V2058', 'V2066', 'V2068', 'V2074', 'V2075', 'V2096', 'V2097', 'V2120', 'V2130', 'V2160', 'V2162', 'V2187', 'V2191', 'V2199', 'V2201', 'V2260', 'V2265', 'V2273', 'V2318', 'V2326', 'V2348', 'V2357', 'V2369', 'V2385', 'V2386', 'V2390', 'V2392', 'V2453', 'V2457', 'V2482', 'V2547', 'V2549', 'V2571', 'V2592', 'V2597', 'V2611', 'V2620', 'V2636', 'V2657', 'V2658', 'V2662', 'V2664', 'V2726', 'V2756', 'V2788', 'V2827', 'V2898', 'V2911', 'V2936', 'V2938', 'V2957', 'V3000', 'V3018', 'V3064', 'V3102', 'V3285', 'V3286', 'V3302', 'V3318', 'V3319', 'V3346', 'V3348', 'V3349', 'V3362', 'V3380', 'V3412', 'V3413', 'V3421', 'V3427', 'V3436', 'V3457', 'V3464', 'V3478', 'V3523', 'V3587', 'V3635', 'V3636', 'V3650', 'V3685', 'V3700', 'V3764', 'V3810', 'V3920', 'V3932', 'V3987', 'V4083', 'V4086']" "['V16', 'V17', 'V98', 'V144', 'V161', 'V266', 'V267', 'V361', 'V410', 'V411', 'V476', 'V480', 'V526', 'V560', 'V584', 'V646', 'V658', 'V678', 'V694', 'V742', 'V788', 'V855', 'V857', 'V867', 'V884', 'V906', 'V919', 'V922', 'V959', 'V1000', 'V1064', 'V1065', 'V1066', 'V1085', 'V1166', 'V1190', 'V1204', 'V1222', 'V1229', 'V1231', 'V1234', 'V1297', 'V1357', 'V1382', 'V1484', 'V1489', 'V1493', 'V1532', 'V1550', 'V1570', 'V1573', 'V1576', 'V1618', 'V1630', 'V1657', 'V1679', 'V1695', 'V1697', 'V1706', 'V1707', 'V1714', 'V1715', 'V1716', 'V1717', 'V1723', 'V1738', 'V1752', 'V1758', 'V1780', 'V1781', 'V1782', 'V1845', 'V1877', 'V1887', 'V1888', 'V1890', 'V1937', 'V1953', 'V1971', 'V1997', 'V1998', 'V2001', 'V2002', 'V2012', 'V2034', 'V2045', 'V2058', 'V2066', 'V2068', 'V2074', 'V2075', 'V2096', 'V2097', 'V2120', 'V2130', 'V2160', 'V2162', 'V2187', 'V2191', 'V2199', 'V2201', 'V2260', 'V2265', 'V2273', 'V2318', 'V2326', 'V2348', 'V2357', 'V2369', 'V2385', 'V2386', 'V2390', 'V2392', 'V2453', 'V2457', 'V2482', 'V2547', 'V2549', 'V2571', 'V2592', 'V2597', 'V2611', 'V2620', 'V2636', 'V2657', 'V2658', 'V2662', 'V2664', 'V2726', 'V2756', 'V2788', 'V2827', 'V2898', 'V2911', 'V2936', 'V2938', 'V2957', 'V3000', 'V3018', 'V3064', 'V3102', 'V3285', 'V3286', 'V3302', 'V3318', 'V3319', 'V3346', 'V3348', 'V3349', 'V3362', 'V3380', 'V3412', 'V3413', 'V3421', 'V3427', 'V3436', 'V3457', 'V3464', 'V3478', 'V3523', 'V3587', 'V3635', 'V3636', 'V3650', 'V3685', 'V3700', 'V3764', 'V3810', 'V3920', 'V3932', 'V3987', 'V4083', 'V4086']"
Importance_value "[0.000278007, 0.0017524052, 0.00020638428, 0.016475389, 0.001213377, 0.0007311311, 0.0004792694, 0.0003735692, 0.009369628, 0.002189646, 0.00556605, 0.015998898, 0.0010024746, 0.00309901, 0.0010096243, 0.0063409675, 0.00033210282, 0.0046831584, 0.0008315815, 0.0016840871, 0.00020010676, 0.00031792503, 0.0061116796, 0.0038103533, 0.028661411, 0.0001977425, 0.011410595, 0.0009181271, 0.00065638387, 0.00675815, 0.0014931142, 0.0056067007, 0.0077597457, 0.0003746654, 0.00053165044, 0.0009832566, 0.0050587794, 0.0004649305, 0.0012631385, 0.0006737503, 0.0028140168, 0.0002977727, 0.00018789496, 0.0008609097, 0.01075101, 0.0024754687, 0.0044846167, 0.021734262, 0.0006569291, 0.018525397, 0.0017834185, 0.0007162507, 0.0024716333, 0.0016070335, 0.0035324825, 0.0012337259, 0.0011590588, 0.0055212723, 0.00024472075, 0.021838417, 0.0015517424, 0.021063922, 0.0029248917, 0.008822342, 0.0033617166, 0.010401313, 0.0006528311, 0.030420858, 0.033938847, 0.0029186627, 0.0033061076, 0.0033527415, 0.0087378975, 0.00039229717, 0.0005788646, 0.0065818634, 0.012752835, 0.0010943759, 0.0041163154, 0.010529569, 0.0008504318, 0.00096120185, 0.00036961344, 0.00015010945, 0.0046607433, 0.0075312452, 0.013382692, 0.07207572, 0.016096227, 0.0017918447, 0.0010281181, 0.0024777332, 0.0006201789, 0.003172106, 0.031474285, 0.0027704213, 0.00017593092, 0.0051746634, 0.0004980318, 0.0017944956, 0.0038400558, 0.011244915, 0.0003891696, 0.0023412264, 0.0012513155, 0.009658653, 0.005793911, 0.008548712, 0.0031521933, 0.001297342, 0.0318813, 0.0015845814, 0.003347038, 0.011510194, 0.0015310093, 0.00018493016, 0.00027276043, 0.008383452, 0.010523828, 0.010915998, 0.00047777462, 0.0009257257, 0.0014269729, 0.0009781158, 2.4070268e-05, 0.0006203575, 0.0009637442, 0.011639481, 0.01448997, 0.0022283895, 0.0030045367, 0.0018426001, 0.00053617556, 2.5893665e-05, 0.00079781655, 0.001636144, 0.0012133009, 0.022012234, 0.0002159058, 0.0022789058, 0.012637502, 0.00038258088, 0.00044544006, 0.008751545, 0.025086092, 0.0010525964, 0.018122623, 0.0025153486, 0.00034870525, 0.009315131, 0.014566987, 0.00073222694, 0.0008558599, 0.0049514724, 0.007805023, 0.0006612107, 0.00023989518, 0.0008055712, 0.00043936266, 0.00051602424, 0.0018349843, 0.0007157094, 0.0065858066, 0.0007218686, 0.000928335, 0.0064173765, 0.00052629755, 0.021031132, 0.0015978124, 0.000412346, 0.000530626, 0.05109749, 0.008057284]" "[0.000278007, 0.0017524052, 0.00020638428, 0.016475389, 0.001213377, 0.0007311311, 0.0004792694, 0.0003735692, 0.009369628, 0.002189646, 0.00556605, 0.015998898, 0.0010024746, 0.00309901, 0.0010096243, 0.0063409675, 0.00033210282, 0.0046831584, 0.0008315815, 0.0016840871, 0.00020010676, 0.00031792503, 0.0061116796, 0.0038103533, 0.028661411, 0.0001977425, 0.011410595, 0.0009181271, 0.00065638387, 0.00675815, 0.0014931142, 0.0056067007, 0.0077597457, 0.0003746654, 0.00053165044, 0.0009832566, 0.0050587794, 0.0004649305, 0.0012631385, 0.0006737503, 0.0028140168, 0.0002977727, 0.00018789496, 0.0008609097, 0.01075101, 0.0024754687, 0.0044846167, 0.021734262, 0.0006569291, 0.018525397, 0.0017834185, 0.0007162507, 0.0024716333, 0.0016070335, 0.0035324825, 0.0012337259, 0.0011590588, 0.0055212723, 0.00024472075, 0.021838417, 0.0015517424, 0.021063922, 0.0029248917, 0.008822342, 0.0033617166, 0.010401313, 0.0006528311, 0.030420858, 0.033938847, 0.0029186627, 0.0033061076, 0.0033527415, 0.0087378975, 0.00039229717, 0.0005788646, 0.0065818634, 0.012752835, 0.0010943759, 0.0041163154, 0.010529569, 0.0008504318, 0.00096120185, 0.00036961344, 0.00015010945, 0.0046607433, 0.0075312452, 0.013382692, 0.07207572, 0.016096227, 0.0017918447, 0.0010281181, 0.0024777332, 0.0006201789, 0.003172106, 0.031474285, 0.0027704213, 0.00017593092, 0.0051746634, 0.0004980318, 0.0017944956, 0.0038400558, 0.011244915, 0.0003891696, 0.0023412264, 0.0012513155, 0.009658653, 0.005793911, 0.008548712, 0.0031521933, 0.001297342, 0.0318813, 0.0015845814, 0.003347038, 0.011510194, 0.0015310093, 0.00018493016, 0.00027276043, 0.008383452, 0.010523828, 0.010915998, 0.00047777462, 0.0009257257, 0.0014269729, 0.0009781158, 2.4070268e-05, 0.0006203575, 0.0009637442, 0.011639481, 0.01448997, 0.0022283895, 0.0030045367, 0.0018426001, 0.00053617556, 2.5893665e-05, 0.00079781655, 0.001636144, 0.0012133009, 0.022012234, 0.0002159058, 0.0022789058, 0.012637502, 0.00038258088, 0.00044544006, 0.008751545, 0.025086092, 0.0010525964, 0.018122623, 0.0025153486, 0.00034870525, 0.009315131, 0.014566987, 0.00073222694, 0.0008558599, 0.0049514724, 0.007805023, 0.0006612107, 0.00023989518, 0.0008055712, 0.00043936266, 0.00051602424, 0.0018349843, 0.0007157094, 0.0065858066, 0.0007218686, 0.000928335, 0.0064173765, 0.00052629755, 0.021031132, 0.0015978124, 0.000412346, 0.000530626, 0.05109749, 0.008057284]" "[0.000278007, 0.0017524052, 0.00020638428, 0.016475389, 0.001213377, 0.0007311311, 0.0004792694, 0.0003735692, 0.009369628, 0.002189646, 0.00556605, 0.015998898, 0.0010024746, 0.00309901, 0.0010096243, 0.0063409675, 0.00033210282, 0.0046831584, 0.0008315815, 0.0016840871, 0.00020010676, 0.00031792503, 0.0061116796, 0.0038103533, 0.028661411, 0.0001977425, 0.011410595, 0.0009181271, 0.00065638387, 0.00675815, 0.0014931142, 0.0056067007, 0.0077597457, 0.0003746654, 0.00053165044, 0.0009832566, 0.0050587794, 0.0004649305, 0.0012631385, 0.0006737503, 0.0028140168, 0.0002977727, 0.00018789496, 0.0008609097, 0.01075101, 0.0024754687, 0.0044846167, 0.021734262, 0.0006569291, 0.018525397, 0.0017834185, 0.0007162507, 0.0024716333, 0.0016070335, 0.0035324825, 0.0012337259, 0.0011590588, 0.0055212723, 0.00024472075, 0.021838417, 0.0015517424, 0.021063922, 0.0029248917, 0.008822342, 0.0033617166, 0.010401313, 0.0006528311, 0.030420858, 0.033938847, 0.0029186627, 0.0033061076, 0.0033527415, 0.0087378975, 0.00039229717, 0.0005788646, 0.0065818634, 0.012752835, 0.0010943759, 0.0041163154, 0.010529569, 0.0008504318, 0.00096120185, 0.00036961344, 0.00015010945, 0.0046607433, 0.0075312452, 0.013382692, 0.07207572, 0.016096227, 0.0017918447, 0.0010281181, 0.0024777332, 0.0006201789, 0.003172106, 0.031474285, 0.0027704213, 0.00017593092, 0.0051746634, 0.0004980318, 0.0017944956, 0.0038400558, 0.011244915, 0.0003891696, 0.0023412264, 0.0012513155, 0.009658653, 0.005793911, 0.008548712, 0.0031521933, 0.001297342, 0.0318813, 0.0015845814, 0.003347038, 0.011510194, 0.0015310093, 0.00018493016, 0.00027276043, 0.008383452, 0.010523828, 0.010915998, 0.00047777462, 0.0009257257, 0.0014269729, 0.0009781158, 2.4070268e-05, 0.0006203575, 0.0009637442, 0.011639481, 0.01448997, 0.0022283895, 0.0030045367, 0.0018426001, 0.00053617556, 2.5893665e-05, 0.00079781655, 0.001636144, 0.0012133009, 0.022012234, 0.0002159058, 0.0022789058, 0.012637502, 0.00038258088, 0.00044544006, 0.008751545, 0.025086092, 0.0010525964, 0.018122623, 0.0025153486, 0.00034870525, 0.009315131, 0.014566987, 0.00073222694, 0.0008558599, 0.0049514724, 0.007805023, 0.0006612107, 0.00023989518, 0.0008055712, 0.00043936266, 0.00051602424, 0.0018349843, 0.0007157094, 0.0065858066, 0.0007218686, 0.000928335, 0.0064173765, 0.00052629755, 0.021031132, 0.0015978124, 0.000412346, 0.000530626, 0.05109749, 0.008057284]" "[0.000278007, 0.0017524052, 0.00020638428, 0.016475389, 0.001213377, 0.0007311311, 0.0004792694, 0.0003735692, 0.009369628, 0.002189646, 0.00556605, 0.015998898, 0.0010024746, 0.00309901, 0.0010096243, 0.0063409675, 0.00033210282, 0.0046831584, 0.0008315815, 0.0016840871, 0.00020010676, 0.00031792503, 0.0061116796, 0.0038103533, 0.028661411, 0.0001977425, 0.011410595, 0.0009181271, 0.00065638387, 0.00675815, 0.0014931142, 0.0056067007, 0.0077597457, 0.0003746654, 0.00053165044, 0.0009832566, 0.0050587794, 0.0004649305, 0.0012631385, 0.0006737503, 0.0028140168, 0.0002977727, 0.00018789496, 0.0008609097, 0.01075101, 0.0024754687, 0.0044846167, 0.021734262, 0.0006569291, 0.018525397, 0.0017834185, 0.0007162507, 0.0024716333, 0.0016070335, 0.0035324825, 0.0012337259, 0.0011590588, 0.0055212723, 0.00024472075, 0.021838417, 0.0015517424, 0.021063922, 0.0029248917, 0.008822342, 0.0033617166, 0.010401313, 0.0006528311, 0.030420858, 0.033938847, 0.0029186627, 0.0033061076, 0.0033527415, 0.0087378975, 0.00039229717, 0.0005788646, 0.0065818634, 0.012752835, 0.0010943759, 0.0041163154, 0.010529569, 0.0008504318, 0.00096120185, 0.00036961344, 0.00015010945, 0.0046607433, 0.0075312452, 0.013382692, 0.07207572, 0.016096227, 0.0017918447, 0.0010281181, 0.0024777332, 0.0006201789, 0.003172106, 0.031474285, 0.0027704213, 0.00017593092, 0.0051746634, 0.0004980318, 0.0017944956, 0.0038400558, 0.011244915, 0.0003891696, 0.0023412264, 0.0012513155, 0.009658653, 0.005793911, 0.008548712, 0.0031521933, 0.001297342, 0.0318813, 0.0015845814, 0.003347038, 0.011510194, 0.0015310093, 0.00018493016, 0.00027276043, 0.008383452, 0.010523828, 0.010915998, 0.00047777462, 0.0009257257, 0.0014269729, 0.0009781158, 2.4070268e-05, 0.0006203575, 0.0009637442, 0.011639481, 0.01448997, 0.0022283895, 0.0030045367, 0.0018426001, 0.00053617556, 2.5893665e-05, 0.00079781655, 0.001636144, 0.0012133009, 0.022012234, 0.0002159058, 0.0022789058, 0.012637502, 0.00038258088, 0.00044544006, 0.008751545, 0.025086092, 0.0010525964, 0.018122623, 0.0025153486, 0.00034870525, 0.009315131, 0.014566987, 0.00073222694, 0.0008558599, 0.0049514724, 0.007805023, 0.0006612107, 0.00023989518, 0.0008055712, 0.00043936266, 0.00051602424, 0.0018349843, 0.0007157094, 0.0065858066, 0.0007218686, 0.000928335, 0.0064173765, 0.00052629755, 0.021031132, 0.0015978124, 0.000412346, 0.000530626, 0.05109749, 0.008057284]" "[0.000278007, 0.0017524052, 0.00020638428, 0.016475389, 0.001213377, 0.0007311311, 0.0004792694, 0.0003735692, 0.009369628, 0.002189646, 0.00556605, 0.015998898, 0.0010024746, 0.00309901, 0.0010096243, 0.0063409675, 0.00033210282, 0.0046831584, 0.0008315815, 0.0016840871, 0.00020010676, 0.00031792503, 0.0061116796, 0.0038103533, 0.028661411, 0.0001977425, 0.011410595, 0.0009181271, 0.00065638387, 0.00675815, 0.0014931142, 0.0056067007, 0.0077597457, 0.0003746654, 0.00053165044, 0.0009832566, 0.0050587794, 0.0004649305, 0.0012631385, 0.0006737503, 0.0028140168, 0.0002977727, 0.00018789496, 0.0008609097, 0.01075101, 0.0024754687, 0.0044846167, 0.021734262, 0.0006569291, 0.018525397, 0.0017834185, 0.0007162507, 0.0024716333, 0.0016070335, 0.0035324825, 0.0012337259, 0.0011590588, 0.0055212723, 0.00024472075, 0.021838417, 0.0015517424, 0.021063922, 0.0029248917, 0.008822342, 0.0033617166, 0.010401313, 0.0006528311, 0.030420858, 0.033938847, 0.0029186627, 0.0033061076, 0.0033527415, 0.0087378975, 0.00039229717, 0.0005788646, 0.0065818634, 0.012752835, 0.0010943759, 0.0041163154, 0.010529569, 0.0008504318, 0.00096120185, 0.00036961344, 0.00015010945, 0.0046607433, 0.0075312452, 0.013382692, 0.07207572, 0.016096227, 0.0017918447, 0.0010281181, 0.0024777332, 0.0006201789, 0.003172106, 0.031474285, 0.0027704213, 0.00017593092, 0.0051746634, 0.0004980318, 0.0017944956, 0.0038400558, 0.011244915, 0.0003891696, 0.0023412264, 0.0012513155, 0.009658653, 0.005793911, 0.008548712, 0.0031521933, 0.001297342, 0.0318813, 0.0015845814, 0.003347038, 0.011510194, 0.0015310093, 0.00018493016, 0.00027276043, 0.008383452, 0.010523828, 0.010915998, 0.00047777462, 0.0009257257, 0.0014269729, 0.0009781158, 2.4070268e-05, 0.0006203575, 0.0009637442, 0.011639481, 0.01448997, 0.0022283895, 0.0030045367, 0.0018426001, 0.00053617556, 2.5893665e-05, 0.00079781655, 0.001636144, 0.0012133009, 0.022012234, 0.0002159058, 0.0022789058, 0.012637502, 0.00038258088, 0.00044544006, 0.008751545, 0.025086092, 0.0010525964, 0.018122623, 0.0025153486, 0.00034870525, 0.009315131, 0.014566987, 0.00073222694, 0.0008558599, 0.0049514724, 0.007805023, 0.0006612107, 0.00023989518, 0.0008055712, 0.00043936266, 0.00051602424, 0.0018349843, 0.0007157094, 0.0065858066, 0.0007218686, 0.000928335, 0.0064173765, 0.00052629755, 0.021031132, 0.0015978124, 0.000412346, 0.000530626, 0.05109749, 0.008057284]"
