 Noise_0.0 Noise_0.1 Noise_0.5 Noise_1.0 Noise_3.0
Train 0.0 0.0 0.0 0.0 0.0
Cross 0.007795963978176501 0.008662703890469636 0.014728005183536674 0.030313359814444496 0.43914978730596954
Test 0.00519031141868509 0.00692041522491349 0.01384083044982698 0.03806228373702425 0.4394463667820069
Trees 150 125 100 150 50
Depth 75 50 50 75 90
Class_errors "{'LU': 0.0, 'KI': 0.014814814814814836, 'BC': 0.0, 'OV': 0.0, 'GBM': 0.0, 'U': 0.08333333333333337}" "{'LU': 0.0, 'KI': 0.014814814814814836, 'BC': 0.0, 'OV': 0.0, 'GBM': 0.0, 'U': 0.16666666666666663}" "{'LU': 0.00952380952380949, 'KI': 0.014814814814814836, 'BC': 0.0, 'OV': 0.0, 'GBM': 0.0, 'U': 0.41666666666666663}" "{'LU': 0.02857142857142858, 'KI': 0.03703703703703709, 'BC': 0.0, 'OV': 0.03508771929824561, 'GBM': 0.0, 'U': 1.0}" "{'LU': 0.8285714285714285, 'KI': 0.45925925925925926, 'BC': 0.012765957446808529, 'OV': 0.9824561403508771, 'GBM': 1.0, 'U': 1.0}"
