 Noise_0.0 Noise_0.1 Noise_0.5 Noise_1.0 Noise_3.0
Train 0.0 0.0 0.0 0.0 0.0
Cross 0.007794085885192148 0.007360246405799464 0.012992647265966162 0.03248255721140758 0.4278962541435426
Test 0.01384083044982698 0.01211072664359858 0.01730103806228378 0.02941176470588236 0.44809688581314877
Trees 50 125 150 150 125
Depth 50 50 50 75 75
Class_errors "{'BC': 0.004166666666666652, 'OV': 0.0, 'KI': 0.017094017094017144, 'LU': 0.016393442622950838, 'GBM': 0.0, 'U': 0.4285714285714286}" "{'BC': 0.0, 'OV': 0.0, 'KI': 0.017094017094017144, 'LU': 0.024590163934426257, 'GBM': 0.0, 'U': 0.2857142857142857}" "{'BC': 0.0, 'OV': 0.0, 'KI': 0.017094017094017144, 'LU': 0.024590163934426257, 'GBM': 0.02777777777777779, 'U': 0.5714285714285714}" "{'BC': 0.0, 'OV': 0.0, 'KI': 0.02564102564102566, 'LU': 0.049180327868852514, 'GBM': 0.02777777777777779, 'U': 1.0}" "{'BC': 0.0, 'OV': 1.0, 'KI': 0.46153846153846156, 'LU': 0.8688524590163934, 'GBM': 1.0, 'U': 1.0}"
