 Noise_0 Noise_0.1 Noise_0.3 Noise_0.5 Noise_0.8 Noise_1.0
Train 0.04330879168471202 0.025119099177132953 0.047639670853183214 0.05673451710697275 0.06539627544391513 0.04937202252057171
Cross 0.10870871716858699 0.1164915344958729 0.0983097163140545 0.12168540064418587 0.15980787108769756 0.15546853724727916
std 0.010138617574462019 0.018693495143055752 0.011244585312678647 0.016997737439466566 0.016940109663172744 0.017151706158647424
Test 0.10207612456747406 0.08304498269896199 0.11937716262975784 0.1401384083044983 0.143598615916955 0.11764705882352944
Important_labels "['V8', 'V29', 'V37', 'V51', 'V83', 'V99', 'V120', 'V131', 'V176', 'V200', 'V217', 'V278', 'V282', 'V284', 'V329', 'V335', 'V382', 'V394', 'V416', 'V457', 'V494', 'V501', 'V507', 'V523', 'V535', 'V543', 'V545', 'V609', 'V613', 'V728', 'V735', 'V798', 'V823', 'V844', 'V850', 'V855', 'V858', 'V900', 'V904', 'V907', 'V951', 'V982', 'V1018', 'V1033', 'V1060', 'V1071', 'V1078', 'V1125', 'V1130', 'V1144', 'V1175', 'V1230', 'V1256', 'V1307', 'V1311', 'V1313', 'V1325', 'V1351', 'V1355', 'V1383', 'V1399', 'V1402', 'V1425', 'V1443', 'V1473', 'V1515', 'V1589', 'V1607', 'V1638', 'V1654', 'V1663', 'V1710', 'V1714', 'V1719', 'V1721', 'V1787', 'V1798', 'V1800', 'V1821', 'V1834', 'V1846', 'V1856', 'V1882', 'V1925', 'V1963', 'V1974']" "['V12', 'V18', 'V29', 'V40', 'V62', 'V71', 'V91', 'V127', 'V181', 'V190', 'V194', 'V217', 'V247', 'V343', 'V362', 'V391', 'V473', 'V486', 'V627', 'V643', 'V648', 'V688', 'V691', 'V722', 'V793', 'V795', 'V798', 'V800', 'V807', 'V845', 'V850', 'V865', 'V907', 'V938', 'V973', 'V982', 'V1014', 'V1047', 'V1092', 'V1145', 'V1173', 'V1223', 'V1238', 'V1300', 'V1306', 'V1428', 'V1429', 'V1470', 'V1497', 'V1551', 'V1564', 'V1566', 'V1594', 'V1619', 'V1657', 'V1659', 'V1679', 'V1744', 'V1765', 'V1769', 'V1771', 'V1778', 'V1796', 'V1812', 'V1823', 'V1845', 'V1886', 'V1975']" "['V35', 'V107', 'V112', 'V136', 'V144', 'V146', 'V165', 'V179', 'V189', 'V217', 'V221', 'V258', 'V295', 'V299', 'V364', 'V372', 'V391', 'V423', 'V435', 'V464', 'V494', 'V511', 'V516', 'V565', 'V588', 'V616', 'V627', 'V635', 'V676', 'V678', 'V728', 'V776', 'V789', 'V814', 'V819', 'V852', 'V868', 'V883', 'V940', 'V976', 'V994', 'V995', 'V1028', 'V1096', 'V1101', 'V1129', 'V1183', 'V1213', 'V1223', 'V1231', 'V1234', 'V1236', 'V1241', 'V1268', 'V1287', 'V1293', 'V1368', 'V1383', 'V1420', 'V1424', 'V1432', 'V1438', 'V1468', 'V1470', 'V1471', 'V1476', 'V1488', 'V1497', 'V1510', 'V1530', 'V1554', 'V1575', 'V1636', 'V1672', 'V1678', 'V1684', 'V1699', 'V1725', 'V1744', 'V1780', 'V1787', 'V1815', 'V1829', 'V1850', 'V1862', 'V1875', 'V1882', 'V1897', 'V1911']" "['V3', 'V18', 'V29', 'V30', 'V33', 'V57', 'V142', 'V161', 'V170', 'V193', 'V200', 'V237', 'V265', 'V283', 'V300', 'V301', 'V304', 'V307', 'V324', 'V362', 'V401', 'V433', 'V449', 'V459', 'V501', 'V532', 'V594', 'V612', 'V627', 'V646', 'V657', 'V663', 'V669', 'V707', 'V715', 'V734', 'V759', 'V765', 'V786', 'V809', 'V818', 'V826', 'V858', 'V872', 'V883', 'V893', 'V958', 'V972', 'V973', 'V989', 'V992', 'V997', 'V1012', 'V1028', 'V1048', 'V1078', 'V1086', 'V1095', 'V1099', 'V1101', 'V1102', 'V1126', 'V1128', 'V1152', 'V1160', 'V1183', 'V1184', 'V1211', 'V1222', 'V1229', 'V1234', 'V1278', 'V1290', 'V1306', 'V1307', 'V1333', 'V1386', 'V1407', 'V1450', 'V1480', 'V1491', 'V1513', 'V1524', 'V1534', 'V1536', 'V1541', 'V1547', 'V1551', 'V1561', 'V1600', 'V1609', 'V1615', 'V1646', 'V1653', 'V1671', 'V1698', 'V1712', 'V1716', 'V1722', 'V1735', 'V1787', 'V1809', 'V1876', 'V1896', 'V1924', 'V1941', 'V1944', 'V1952', 'V1998']" "['V5', 'V18', 'V24', 'V53', 'V60', 'V92', 'V94', 'V136', 'V152', 'V172', 'V177', 'V211', 'V227', 'V238', 'V244', 'V266', 'V273', 'V317', 'V326', 'V330', 'V348', 'V361', 'V383', 'V391', 'V392', 'V413', 'V418', 'V430', 'V433', 'V448', 'V462', 'V475', 'V493', 'V494', 'V499', 'V504', 'V505', 'V517', 'V533', 'V534', 'V535', 'V539', 'V565', 'V664', 'V714', 'V719', 'V767', 'V774', 'V811', 'V850', 'V875', 'V883', 'V887', 'V889', 'V903', 'V915', 'V953', 'V955', 'V972', 'V1005', 'V1040', 'V1056', 'V1062', 'V1071', 'V1075', 'V1089', 'V1094', 'V1097', 'V1138', 'V1157', 'V1179', 'V1216', 'V1234', 'V1247', 'V1256', 'V1263', 'V1296', 'V1307', 'V1322', 'V1345', 'V1347', 'V1353', 'V1359', 'V1362', 'V1399', 'V1400', 'V1402', 'V1439', 'V1442', 'V1471', 'V1507', 'V1517', 'V1575', 'V1601', 'V1673', 'V1678', 'V1679', 'V1685', 'V1689', 'V1691', 'V1697', 'V1721', 'V1772', 'V1789', 'V1801', 'V1812', 'V1827', 'V1851', 'V1854', 'V1866', 'V1870', 'V1871', 'V1897', 'V1922', 'V1944', 'V1954', 'V1958', 'V1976']" "['V18', 'V54', 'V55', 'V77', 'V130', 'V139', 'V179', 'V192', 'V209', 'V216', 'V278', 'V283', 'V285', 'V299', 'V301', 'V307', 'V317', 'V375', 'V424', 'V454', 'V507', 'V514', 'V520', 'V539', 'V557', 'V560', 'V629', 'V680', 'V704', 'V730', 'V734', 'V748', 'V768', 'V817', 'V823', 'V851', 'V858', 'V871', 'V879', 'V911', 'V936', 'V938', 'V950', 'V953', 'V969', 'V1005', 'V1014', 'V1073', 'V1129', 'V1135', 'V1147', 'V1152', 'V1184', 'V1190', 'V1226', 'V1233', 'V1235', 'V1251', 'V1256', 'V1293', 'V1443', 'V1499', 'V1512', 'V1529', 'V1531', 'V1562', 'V1580', 'V1597', 'V1619', 'V1651', 'V1658', 'V1677', 'V1679', 'V1687', 'V1709', 'V1744', 'V1762', 'V1777', 'V1783', 'V1786', 'V1829', 'V1832', 'V1841', 'V1846', 'V1871', 'V1882', 'V1896', 'V1954', 'V1966', 'V1971', 'V1974']"
Importance_value "[0.003936421703452823, 0.051582299568686416, 0.0006040012137573113, 0.0786745174827278, 0.012660573427123947, 0.012460726308031876, 0.0015531459782330865, 0.0044120226634304, 0.004195014004133833, 0.0038828649455827148, 0.007238781425514375, 0.0014496029130175471, 0.17681841200666523, 0.008507950514351508, 0.003898776485614598, 0.0006040012137573113, 0.0030342178620514342, 0.0023921890176969774, 0.00406877181267425, 0.01789494147972422, 0.11013835854355575, 0.0012080024275146226, 0.03705160069953248, 0.002617338592948349, 0.0006040012137573113, 0.0010872021847631607, 0.0010872021847631607, 0.00272871470328658, 0.0008053349516764151, 0.005981343919319266, 0.008540789092778825, 0.0052478076470653355, 0.0027180054619079007, 0.0011938612746065554, 0.031092329389070462, 0.0042625228513730245, 0.0008053349516764151, 0.001202652059541766, 0.007151722014047524, 0.0017158047264963414, 0.0012080024275146226, 0.000906001820635967, 0.004895786235734728, 0.031141300611655497, 0.0019328038840233958, 0.005938262517310039, 0.0039871482085948, 0.0010737799355685534, 0.015540226127958695, 0.0008053349516764151, 0.006752224341617156, 0.0035501953007113208, 0.010599169589745275, 0.002423849026636483, 0.0006040012137573113, 0.0016106699033528304, 0.001661003337832606, 0.1249674129401599, 0.0012080024275146226, 0.014901466741107167, 0.002416004855029245, 0.005292057301203641, 0.001191454449055516, 0.0012045608251570388, 0.000906001820635967, 0.0012942883151942388, 0.02861099970323066, 0.000906001820635967, 0.0008053349516764151, 0.0006040012137573113, 0.00258378296996183, 0.001812003641271934, 0.0010872021847631605, 0.0527672050290418, 0.0035302384680020783, 0.0022602635028850975, 0.0015287714336908228, 0.001206210139046502, 0.008795408150808851, 0.005461217694186574, 0.0038930765570962204, 0.0015704031557690092, 0.001202636183078967, 0.0022650045515899176, 0.001976731245023928, 0.002013337379191038]" "[0.0009995016776391088, 0.026492164800865213, 0.002335686021818567, 0.0007996013421112869, 0.0022834769096831947, 0.0011948835491496675, 0.0011941241357665319, 0.005287234069298205, 0.002180730933030783, 0.007099138240438891, 0.0032408115579692855, 0.011799357627960288, 0.0034803650240893412, 0.05113526429621162, 0.027879041870003392, 0.00332788626759385, 0.0015992026842225739, 0.004216079803859513, 0.2657369625861265, 0.0029985050329173263, 0.001599202684222574, 0.0008995515098751978, 0.010371209192159746, 0.002762813441337234, 0.0017991030197503956, 0.12004978556125014, 0.0013993023486947526, 0.0007996013421112869, 0.002366140815965454, 0.0005997010065834651, 0.004414402881165334, 0.0009595216105335441, 0.002289767479682322, 0.0026369066965604743, 0.004217897079637037, 0.009805059299576748, 0.0007996013421112869, 0.0011244393873439972, 0.0005981923248058965, 0.0007996013421112869, 0.0037256598501231065, 0.0011994020131669302, 0.0053026194266327445, 0.0037646931968128346, 0.0011919208230101517, 0.0011967543266036588, 0.01523787387900116, 0.0005997010065834651, 0.007130591236815593, 0.005614473514665501, 0.001189489599834972, 0.004686358237477137, 0.0005997010065834651, 0.0034982558717368806, 0.07259349764148337, 0.008196212116793555, 0.0011918850960778106, 0.25131763938226614, 0.001119441878955802, 0.0014392824158003163, 0.0023666053145709885, 0.0011963027831587542, 0.0011934069455105446, 0.0008995515098751978, 0.001599202684222574, 0.004678506594017578, 0.0007996013421112869, 0.0008995515098751978]" "[0.009542469299800247, 0.0008851432406337352, 0.0031471759666977252, 0.0005900954937558235, 0.0007867939916744313, 0.001180190987511647, 0.005714091364535561, 0.002655429721901206, 0.0015466716519065894, 0.10913047004213151, 0.003428173820867165, 0.00302915686794656, 0.006609073053829827, 0.01185926252171376, 0.0017702864812674704, 0.07605318424598956, 0.001158646276980989, 0.0179974140010608, 0.08952530008863074, 0.05663372160359259, 0.007363677061760024, 0.0011310163630319958, 0.0009441527900093174, 0.0011729505520054397, 0.003266186822581252, 0.002336254611317779, 0.006822137198886944, 0.0011710422201665954, 0.01679781509247717, 0.0022128581015843384, 0.008775022605222815, 0.0011786562788152718, 0.0008851432406337352, 0.0019276452796023569, 0.007718083650049407, 0.0005900954937558235, 0.0036269904560451253, 0.0038302562049241633, 0.0022128581015843384, 0.0029157659691464223, 0.0021636834771046856, 0.014572747257021545, 0.006530390130897781, 0.0032601154888542904, 0.0032094638243719575, 0.0139545267569408, 0.004529491617587806, 0.001177127549503448, 0.0011464712450113142, 0.006510913755038303, 0.007990258863422955, 0.0005900954937558235, 0.003603797479723065, 0.003658592061286106, 0.0035829875440721967, 0.18113464686711955, 0.0005900954937558235, 0.004601732085785808, 0.006175754309650406, 0.0062648471587076595, 0.0019312216159281497, 0.002303852109914734, 0.001327714860950603, 0.002655429721901206, 0.00813610452863357, 0.0008851432406337352, 0.006398321139438144, 0.003357439878265893, 0.001180190987511647, 0.03401134467393844, 0.0013004569527223294, 0.008322089585959987, 0.0007867939916744313, 0.0008851432406337352, 0.0029996520932587694, 0.0025419498192558545, 0.0009441527900093174, 0.0009834924895930392, 0.03786471714244022, 0.0030980013422180733, 0.00490677231220875, 0.033141328389647604, 0.013447913532175927, 0.0010621718887604827, 0.011616213907353718, 0.0008851432406337352, 0.04735158245253247, 0.0023189717649351664, 0.007987593031230535]" "[0.008354508960514626, 0.008264616075541915, 0.009399157508268004, 0.0076750920614664445, 0.006847650000801144, 0.023221884793911567, 0.0014459559105561358, 0.003505347661954268, 0.0019279412140748473, 0.0034140625665908778, 0.18455902362856572, 0.00958340377929848, 0.0009037224440975849, 0.0011955311702957717, 0.002289430191713882, 0.04296398557536285, 0.0006024816293983899, 0.0032132353567914116, 0.004666841827720862, 0.01598450064600032, 0.0024270477313322234, 0.007086331545781061, 0.001757238085745304, 0.0031178424321366676, 0.0025304228434732384, 0.0006024816293983899, 0.0006024816293983899, 0.0034212322872279907, 0.0011475840559969335, 0.09874004426769391, 0.00119927946984019, 0.010418573464160395, 0.0012049632587967799, 0.009593361329651289, 0.0003998063164412411, 0.002994071749575477, 0.028998997780889768, 0.001095421144360709, 0.0014057904685962437, 0.0008033088391978532, 0.020442093586353325, 0.10056114028541106, 0.0014459559105561358, 0.0016735600816621947, 0.0071273625628132135, 0.003146727644455225, 0.006828296159121545, 0.012172890018343117, 0.0011045496538970479, 0.0024300092385735063, 0.0034886555302306777, 0.0009639706070374237, 0.004397793711918729, 0.0011447150958569406, 0.0009639706070374237, 0.0009639706070374237, 0.0010041360489973165, 0.0025002783941321404, 0.0006024816293983899, 0.003483081655463286, 0.014525290596768868, 0.006148607789159622, 0.008698856286571221, 0.008962415250983497, 0.07264396246354314, 0.0016066176783957064, 0.03936002942035821, 0.0016267003993756534, 0.03788061807136816, 0.0014057904685962437, 0.0008033088391978532, 0.0024029146295274873, 0.004565370827832677, 0.0024454601053082166, 0.0008033088391978532, 0.0033036076012011705, 0.0009037224440975849, 0.002650919169352916, 0.0018743872914616577, 0.0018743872914616573, 0.0009037224440975849, 0.006278684279054437, 0.00162046783079567, 0.0030726563099317886, 0.0012910320629965502, 0.00558299643242508, 0.0019623687357547557, 0.00338171530630826, 0.0012002193089590027, 0.003767031601995993, 0.0011827286618239883, 0.0008033088391978532, 0.0037760297240421728, 0.0008033088391978532, 0.0008033088391978532, 0.009318500627485354, 0.0005969599266918859, 0.0014459559105561358, 0.0008033088391978532, 0.0006024816293983899, 0.0011619288566968946, 0.019003381550258148, 0.002391625333958735, 0.007308441727517592, 0.0019279412140748473, 0.0010041360489973165, 0.0018074448881951698, 0.0011994555947196207, 0.004502290811798535]" "[0.0028140977073249007, 0.00498748566878565, 0.0010823452720480384, 0.001954234518975626, 0.00395830201818513, 0.004487817349653054, 0.0015633876151805006, 0.009936353179676456, 0.001465675889231719, 0.00821004857180455, 0.007521297469185678, 0.003229578634336889, 0.003715564895784885, 0.0014070488536624503, 0.001163982020061391, 0.001139039548202936, 0.0011073995607528548, 0.001758811067078063, 0.0013679641632829383, 0.002641812129294972, 0.0011394613254372458, 0.0008794055335390315, 0.0035220635762447067, 0.0011637168188061756, 0.007776462296392985, 0.005349379282357243, 0.0018239522177105835, 0.003063262608494293, 0.004724361949623575, 0.006429627832015645, 0.007052787979647523, 0.011409280941666518, 0.01875426213118402, 0.05034814062937557, 0.06985258958817174, 0.03531116841166396, 0.0011599327467468248, 0.012644339472278856, 0.0005862703556926877, 0.005249442899311271, 0.0012384459810868993, 0.0024872075696053416, 0.0020519462449244074, 0.016733186328983244, 0.0011471127154228271, 0.001108330148619034, 0.002345081422770751, 0.0011474785858683256, 0.0007816938075902503, 0.005053926519235615, 0.0011672055973377645, 0.002207135456725413, 0.0020100697909463576, 0.004427884002205298, 0.0010422584101203336, 0.08468297705438349, 0.002523754293077094, 0.0005862703556926877, 0.0011635900189320492, 0.004691457040587183, 0.03772161033582535, 0.0015633876151805008, 0.009577061622640333, 0.007237432378160116, 0.0025591166319918904, 0.002611746199942007, 0.002313386375058721, 0.03453684187087621, 0.001110828042365093, 0.0011610201700990048, 0.0021105732804936753, 0.0009380325691083001, 0.04885272628329606, 0.003569823002263155, 0.008008978792246128, 0.014935670036149718, 0.003288645205824247, 0.0007816938075902503, 0.0011707587346203353, 0.006118646309911012, 0.001139039548202936, 0.003485888989859584, 0.0025031057774048964, 0.014533506529706383, 0.001459161774168467, 0.0005862703556926877, 0.001005034895473179, 0.0024250273803652087, 0.0011236848484109856, 0.004530235663318632, 0.0007816938075902503, 0.0007816938075902503, 0.037896246007018713, 0.005479789318496225, 0.0023309118440877643, 0.0011686836695716056, 0.03202565991211081, 0.00470041232728438, 0.0007816938075902503, 0.001980290979228634, 0.0023100555924281834, 0.0023146267956538694, 0.012337667572090821, 0.000977117259487813, 0.00596041528287566, 0.1527340332170683, 0.01829458408642955, 0.0025160216346569947, 0.0007816938075902503, 0.003372864170828431, 0.004690162845541502, 0.017859371747605345, 0.0005862703556926877, 0.0005862703556926877, 0.0013679641632829383, 0.008121470014301925, 0.0011725407113853754, 0.0007816938075902503]" "[0.0023685597769257487, 0.001980281915300538, 0.0023346481527753713, 0.14962850800445923, 0.003630516844717653, 0.000891126861885242, 0.002376338298360645, 0.007265627576046503, 0.0005940845745901613, 0.0020209426218401093, 0.000891126861885242, 0.0015842255322404304, 0.0033292919343295797, 0.0005940845745901613, 0.011516164454937337, 0.09098884991825254, 0.0031434206554843257, 0.0045180131897581775, 0.008096211806482892, 0.0007921127661202151, 0.010479938201589522, 0.003441816068006047, 0.003718849249724311, 0.05433523574770455, 0.003168451064480861, 0.0025743664898906994, 0.000990140957650269, 0.0005940845745901613, 0.004890603064396235, 0.022390328481311433, 0.0013861973407103768, 0.0005940845745901613, 0.0028219017293032666, 0.0007921127661202151, 0.000891126861885242, 0.0005940845745901613, 0.000891126861885242, 0.0007921127661202151, 0.0016973844988290322, 0.012054705595982115, 0.0032303348743340024, 0.0020085224573969983, 0.00113866210129781, 0.0024010918223019016, 0.005939465086985238, 0.0017393078509085418, 0.0007921127661202151, 0.0011881691491803226, 0.08906740366821421, 0.0011341614605812175, 0.0068733681709230365, 0.006027600953619541, 0.0017408059627525684, 0.0010871982531037332, 0.0007921127661202151, 0.0011832184443920663, 0.008626321221102138, 0.0011837685227018796, 0.014542119116489682, 0.003182595935304436, 0.008650918682581492, 0.010653821144959922, 0.0010396480055327824, 0.0021453054082422496, 0.0009505353193442579, 0.001089155053415296, 0.005782858419472143, 0.0023414346660623844, 0.0011639207991970513, 0.0016549498863583066, 0.007154036796652908, 0.002269264915731018, 0.0673656840985169, 0.005305000124118039, 0.002376338298360645, 0.04166414714726365, 0.005868835494436139, 0.000891126861885242, 0.0030941904926570897, 0.0013861973407103764, 0.06217733133044099, 0.005463597804314181, 0.0027477146100727923, 0.024650111226132476, 0.08564766852796492, 0.03906497032767811, 0.001782253723770484, 0.000891126861885242, 0.00943321435224235, 0.01259331904624001, 0.001180194859588512]"
