 KNN_PCA_miss_0.2_30_70 KNN_Feat_miss_0.2_30_70 SVC_PCA_miss_0.2_30_70 SVC_Feat_miss_0.2_30_70 LR_PCA_miss_0.2_30_70 LR_Feat_miss_0.2_30_70 KNN_PCA_miss_0.2_20_80 KNN_Feat_miss_0.2_20_80 SVC_PCA_miss_0.2_20_80 SVC_Feat_miss_0.2_20_80 LR_PCA_miss_0.2_20_80 LR_Feat_miss_0.2_20_80 KNN_PCA_miss_0.2_10_90 KNN_Feat_miss_0.2_10_90 SVC_PCA_miss_0.2_10_90 SVC_Feat_miss_0.2_10_90 LR_PCA_miss_0.2_10_90 LR_Feat_miss_0.2_10_90 KNN_PCA_miss_0.5_30_70 KNN_Feat_miss_0.5_30_70 SVC_PCA_miss_0.5_30_70 SVC_Feat_miss_0.5_30_70 LR_PCA_miss_0.5_30_70 LR_Feat_miss_0.5_30_70 KNN_PCA_miss_0.5_20_80 KNN_Feat_miss_0.5_20_80 SVC_PCA_miss_0.5_20_80 SVC_Feat_miss_0.5_20_80 LR_PCA_miss_0.5_20_80 LR_Feat_miss_0.5_20_80 KNN_PCA_miss_0.5_10_90 KNN_Feat_miss_0.5_10_90 SVC_PCA_miss_0.5_10_90 SVC_Feat_miss_0.5_10_90 LR_PCA_miss_0.5_10_90 LR_Feat_miss_0.5_10_90 KNN_PCA_miss_0.9_30_70 KNN_Feat_miss_0.9_30_70 SVC_PCA_miss_0.9_30_70 SVC_Feat_miss_0.9_30_70 LR_PCA_miss_0.9_30_70 LR_Feat_miss_0.9_30_70 KNN_PCA_miss_0.9_20_80 KNN_Feat_miss_0.9_20_80 SVC_PCA_miss_0.9_20_80 SVC_Feat_miss_0.9_20_80 LR_PCA_miss_0.9_20_80 LR_Feat_miss_0.9_20_80 KNN_PCA_miss_0.9_10_90 KNN_Feat_miss_0.9_10_90 SVC_PCA_miss_0.9_10_90 SVC_Feat_miss_0.9_10_90 LR_PCA_miss_0.9_10_90 LR_Feat_miss_0.9_10_90
Train 0.20198019801980194 0.2069306930693069 0.20247524752475243 0.20346534653465342 0.2054455445544554 0.21386138613861383 0.20311823300129928 0.20441749675184062 0.20268514508445212 0.20138588133391078 0.20485058466868777 0.2087483759203118 0.2009237875288684 0.20631254811393385 0.201693610469592 0.19938414164742113 0.20438799076212466 0.20592763664357194 0.46336633663366333 0.4579207920792079 0.5004950495049505 0.49653465346534653 0.5099009900990099 0.5143564356435644 0.45127760935469896 0.4482459939367691 0.5002165439584236 0.49415331312256383 0.5028150714595063 0.5153746210480727 0.45650500384911474 0.4526558891454965 0.5003849114703618 0.49538106235565815 0.5026943802925328 0.5076982294072363 0.5787128712871288 0.5603960396039604 0.7217821782178218 0.5866336633663367 0.7608910891089109 0.7485148514851485 0.570376786487657 0.5729753139887397 0.7431788653096578 0.7488090082286705 0.7990472065829364 0.7605023819835427 0.565050038491147 0.560816012317167 0.7829099307159353 0.710161662817552 0.770977675134719 0.7590454195535027
Cross 0.21237623762376223 0.2168316831683168 0.2049504950495049 0.2074257425742574 0.20792079207920788 0.22326732673267313 0.216976082485844 0.221308843000817 0.20615075452385645 0.20918293564714374 0.2061526326168408 0.21784282239813701 0.21592559656143473 0.2174714688009487 0.20476508077664146 0.20438120646213132 0.20630576552541868 0.2136208685341634 0.598019801980198 0.5925742574257427 0.504950495049505 0.5089108910891089 0.5084158415841584 0.5193069306930693 0.5855292935553239 0.5842268360706538 0.5032378323050775 0.5041026941243861 0.5054023344695795 0.5170981585298289 0.5912361049355269 0.5869949607232844 0.5038661627389951 0.5065584704313029 0.5054031421372462 0.5142544834741367 0.8103960396039604 0.804950495049505 0.806930693069307 0.7930693069306931 0.8084158415841585 0.7950495049504951 0.8150641838277413 0.8185395948953433 0.8228695382708398 0.8220065545445155 0.8124705374163075 0.8094449296184654 0.814476063435601 0.8179279679857714 0.8117815325329776 0.8148547502593745 0.8056173113976582 0.8009908107306951
Test 0.02076124567474047 0.03114186851211076 0.00692041522491349 0.018454440599769306 0.011534025374855816 0.025374855824682796 0.01730103806228378 0.02422145328719727 0.00692041522491349 0.00692041522491349 0.0034602076124568004 0.02422145328719727 0.01730103806228378 0.02422145328719727 0.0 0.0 0.01038062283737029 0.02076124567474047 0.2364475201845444 0.273356401384083 0.014994232987312617 0.028835063437139596 0.028835063437139596 0.05536332179930792 0.24221453287197237 0.22491349480968859 0.00865051903114189 0.01730103806228378 0.01730103806228378 0.05536332179930792 0.22491349480968859 0.2802768166089965 0.01038062283737029 0.03114186851211076 0.02768166089965396 0.03460207612456745 0.8961937716262975 0.889273356401384 0.9907727797001153 0.9896193771626297 0.9792387543252595 0.9700115340253749 0.8927335640138409 0.9359861591695502 1.0 0.9653979238754326 0.9965397923875432 0.972318339100346 0.9204152249134948 0.9204152249134948 0.9930795847750865 1.0 0.9930795847750865 0.9896193771626297
Opt_Feat_or_PCA 11.0 81.0 26.0 52.0 22.0 33.0 17.0 44.0 20.0 97.0 28.0 56.0 11.0 48.0 22.0 97.0 20.0 55.0 27.0 73.0 20.0 96.0 11.0 15.0 6.0 40.0 11.0 81.0 24.0 16.0 8.0 35.0 13.0 91.0 29.0 37.0 17.0 85.0 11.0 83.0 18.0 28.0 12.0 67.0 7.0 6.0 4.0 25.0 2.0 32.0 3.0 25.0 11.0 25.0
