 KNN_PCA_miss_0.2_30_70 KNN_Feat_miss_0.2_30_70 SVC_PCA_miss_0.2_30_70 SVC_Feat_miss_0.2_30_70 LR_PCA_miss_0.2_30_70 LR_Feat_miss_0.2_30_70 KNN_PCA_miss_0.2_20_80 KNN_Feat_miss_0.2_20_80 SVC_PCA_miss_0.2_20_80 SVC_Feat_miss_0.2_20_80 LR_PCA_miss_0.2_20_80 LR_Feat_miss_0.2_20_80 KNN_PCA_miss_0.2_10_90 KNN_Feat_miss_0.2_10_90 SVC_PCA_miss_0.2_10_90 SVC_Feat_miss_0.2_10_90 LR_PCA_miss_0.2_10_90 LR_Feat_miss_0.2_10_90 KNN_PCA_miss_0.5_30_70 KNN_Feat_miss_0.5_30_70 SVC_PCA_miss_0.5_30_70 SVC_Feat_miss_0.5_30_70 LR_PCA_miss_0.5_30_70 LR_Feat_miss_0.5_30_70 KNN_PCA_miss_0.5_20_80 KNN_Feat_miss_0.5_20_80 SVC_PCA_miss_0.5_20_80 SVC_Feat_miss_0.5_20_80 LR_PCA_miss_0.5_20_80 LR_Feat_miss_0.5_20_80 KNN_PCA_miss_0.5_10_90 KNN_Feat_miss_0.5_10_90 SVC_PCA_miss_0.5_10_90 SVC_Feat_miss_0.5_10_90 LR_PCA_miss_0.5_10_90 LR_Feat_miss_0.5_10_90 KNN_PCA_miss_0.9_30_70 KNN_Feat_miss_0.9_30_70 SVC_PCA_miss_0.9_30_70 SVC_Feat_miss_0.9_30_70 LR_PCA_miss_0.9_30_70 LR_Feat_miss_0.9_30_70 KNN_PCA_miss_0.9_20_80 KNN_Feat_miss_0.9_20_80 SVC_PCA_miss_0.9_20_80 SVC_Feat_miss_0.9_20_80 LR_PCA_miss_0.9_20_80 LR_Feat_miss_0.9_20_80 KNN_PCA_miss_0.9_10_90 KNN_Feat_miss_0.9_10_90 SVC_PCA_miss_0.9_10_90 SVC_Feat_miss_0.9_10_90 LR_PCA_miss_0.9_10_90 LR_Feat_miss_0.9_10_90
Train 0.20247524752475243 0.20049504950495045 0.20297029702970293 0.20198019801980194 0.20445544554455441 0.20891089108910887 0.20311823300129928 0.20138588133391078 0.20051970550021658 0.20355132091814643 0.20441749675184062 0.21004763967085316 0.19976905311778292 0.19630484988452657 0.2020785219399538 0.19976905311778292 0.20361816782140107 0.2097767513471901 0.4435643564356435 0.43168316831683173 0.5004950495049505 0.49603960396039604 0.500990099009901 0.5089108910891089 0.4586401039411 0.45647466435686446 0.4989172802078822 0.49501948895625814 0.5045474231268947 0.5132091814638371 0.4530408006158584 0.4595842956120092 0.49769053117782913 0.49576597382602006 0.5034642032332564 0.518860662047729 0.5633663366336634 0.5722772277227723 0.7643564356435644 0.6846534653465346 0.7965346534653466 0.7658415841584159 0.5578172368990906 0.5547856214811606 0.7518406236466002 0.6565612819402339 0.7752273711563448 0.6825465569510611 0.5623556581986143 0.550423402617398 0.7890685142417244 0.7197844495765974 0.7909930715935335 0.7971516551193225
Cross 0.21485148514851482 0.21287128712871284 0.2059405940594059 0.2064356435643564 0.2059405940594059 0.22029702970297027 0.21307434431078687 0.21437867988844128 0.2052793193791025 0.20874533998178246 0.2061451202449034 0.21914058465034603 0.21669927375129683 0.21709055876685934 0.2051548836519934 0.2051548836519934 0.2055380168963984 0.2136238328145843 0.5767326732673268 0.5742574257425742 0.501980198019802 0.503960396039604 0.5034653465346535 0.5178217821782178 0.5816350677522044 0.5872618343334178 0.5023682752533077 0.503235954212093 0.5058314787165112 0.5188353945403837 0.58891359122573 0.590833703868386 0.5034637616718541 0.5034659848821699 0.5030784052171335 0.518859493108048 0.8103960396039604 0.8188118811881188 0.8128712871287129 0.7836633663366337 0.8034653465346535 0.7955445544554456 0.8133438506540459 0.8003512033880797 0.790826454817778 0.7964626118639133 0.7968729751810012 0.7903897981989088 0.8198643841707425 0.8156276863791314 0.8106239810286053 0.7998362235067438 0.8021646657773825 0.7948362235067438
Test 0.014994232987312617 0.023068050749711633 0.009227220299884653 0.014994232987312617 0.008073817762399127 0.026528258362168433 0.02076124567474047 0.02249134948096887 0.0017301038062284002 0.01038062283737029 0.00865051903114189 0.02768166089965396 0.02422145328719727 0.03460207612456745 0.0034602076124568004 0.01038062283737029 0.0034602076124568004 0.02768166089965396 0.23529411764705888 0.20876585928489044 0.014994232987312617 0.018454440599769306 0.018454440599769306 0.07035755478662054 0.23356401384083048 0.24913494809688586 0.00519031141868509 0.01557093425605538 0.01211072664359858 0.05017301038062283 0.23183391003460208 0.26297577854671284 0.00692041522491349 0.01038062283737029 0.01038062283737029 0.04844290657439443 0.903114186851211 0.9158016147635525 0.9965397923875432 0.986159169550173 1.0 0.9757785467128027 0.9065743944636678 0.8927335640138409 0.9982698961937716 0.9982698961937716 1.0 0.9705882352941176 0.9134948096885813 0.8581314878892734 0.9826989619377162 0.9826989619377162 0.9965397923875432 0.9757785467128027
Opt_Feat_or_PCA 30.0 97.0 10.0 90.0 25.0 44.0 31.0 82.0 26.0 51.0 25.0 57.0 11.0 87.0 20.0 99.0 19.0 47.0 26.0 97.0 6.0 96.0 15.0 25.0 5.0 77.0 19.0 84.0 18.0 29.0 15.0 12.0 31.0 98.0 19.0 10.0 11.0 13.0 6.0 19.0 3.0 15.0 9.0 17.0 6.0 68.0 15.0 89.0 8.0 59.0 3.0 16.0 5.0 5.0
