 KNN_PCA_30_70 KNN_Feat_30_70 SVC_PCA_30_70 SVC_Feat_30_70 LR_PCA_30_70 LR_Feat_30_70 KNN_PCA_20_80 KNN_Feat_20_80 SVC_PCA_20_80 SVC_Feat_20_80 LR_PCA_20_80 LR_Feat_20_80 KNN_PCA_10_90 KNN_Feat_10_90 SVC_PCA_10_90 SVC_Feat_10_90 LR_PCA_10_90 LR_Feat_10_90
Train 0.003960396039603964 0.004950495049504955 0.00544554455445545 0.0014851485148514865 0.0 0.0 0.0047639670853183436 0.00822867042009523 0.003031615417929845 0.0017323516673884987 0.0 0.0 0.00500384911470364 0.0065434949961509226 0.004234026173979943 0.0019245573518090753 0.0 0.0
Cross 0.006930693069307048 0.007920792079207928 0.006435643564356441 0.00544554455445545 0.004455445544554459 0.001980198019801982 0.0064972626794752575 0.009964222328647465 0.00563427895315094 0.006500079818951732 0.007797842071160965 0.004765660947873562 0.007312879798428873 0.007698977323254752 0.0061575515043722495 0.006542166888987566 0.005002223210315626 0.004618348895805591
Test 0.009227220299884653 0.01038062283737029 0.01038062283737029 0.011534025374855816 0.01038062283737029 0.01038062283737029 0.01384083044982698 0.00519031141868509 0.01211072664359858 0.00692041522491349 0.00692041522491349 0.0034602076124568004 0.00692041522491349 0.01038062283737029 0.01038062283737029 0.00692041522491349 0.01038062283737029 0.00692041522491349
Opt_Feat_or_PCA 24.0 100.0 10.0 79.0 29.0 90.0 20.0 82.0 19.0 91.0 24.0 96.0 30.0 98.0 10.0 92.0 24.0 93.0
