 KNN_PCA_miss_0.2_30_70 KNN_Feat_miss_0.2_30_70 SVC_PCA_miss_0.2_30_70 SVC_Feat_miss_0.2_30_70 LR_PCA_miss_0.2_30_70 LR_Feat_miss_0.2_30_70 KNN_PCA_miss_0.2_20_80 KNN_Feat_miss_0.2_20_80 SVC_PCA_miss_0.2_20_80 SVC_Feat_miss_0.2_20_80 LR_PCA_miss_0.2_20_80 LR_Feat_miss_0.2_20_80 KNN_PCA_miss_0.2_10_90 KNN_Feat_miss_0.2_10_90 SVC_PCA_miss_0.2_10_90 SVC_Feat_miss_0.2_10_90 LR_PCA_miss_0.2_10_90 LR_Feat_miss_0.2_10_90 KNN_PCA_miss_0.5_30_70 KNN_Feat_miss_0.5_30_70 SVC_PCA_miss_0.5_30_70 SVC_Feat_miss_0.5_30_70 LR_PCA_miss_0.5_30_70 LR_Feat_miss_0.5_30_70 KNN_PCA_miss_0.5_20_80 KNN_Feat_miss_0.5_20_80 SVC_PCA_miss_0.5_20_80 SVC_Feat_miss_0.5_20_80 LR_PCA_miss_0.5_20_80 LR_Feat_miss_0.5_20_80 KNN_PCA_miss_0.5_10_90 KNN_Feat_miss_0.5_10_90 SVC_PCA_miss_0.5_10_90 SVC_Feat_miss_0.5_10_90 LR_PCA_miss_0.5_10_90 LR_Feat_miss_0.5_10_90 KNN_PCA_miss_0.9_30_70 KNN_Feat_miss_0.9_30_70 SVC_PCA_miss_0.9_30_70 SVC_Feat_miss_0.9_30_70 LR_PCA_miss_0.9_30_70 LR_Feat_miss_0.9_30_70 KNN_PCA_miss_0.9_20_80 KNN_Feat_miss_0.9_20_80 SVC_PCA_miss_0.9_20_80 SVC_Feat_miss_0.9_20_80 LR_PCA_miss_0.9_20_80 LR_Feat_miss_0.9_20_80 KNN_PCA_miss_0.9_10_90 KNN_Feat_miss_0.9_10_90 SVC_PCA_miss_0.9_10_90 SVC_Feat_miss_0.9_10_90 LR_PCA_miss_0.9_10_90 LR_Feat_miss_0.9_10_90
Train 0.2054455445544554 0.2069306930693069 0.20445544554455441 0.20247524752475243 0.20445544554455441 0.21188118811881185 0.1961888263317454 0.20528367258553482 0.20355132091814643 0.20051970550021658 0.20571676050238197 0.20311823300129928 0.20400307929176287 0.20477290223248656 0.20323325635103928 0.201693610469592 0.20631254811393385 0.2090069284064665 0.4455445544554455 0.4534653465346534 0.500990099009901 0.499009900990099 0.503960396039604 0.5064356435643564 0.4499783456041576 0.46167171935902984 0.4997834560415765 0.498051104374188 0.505413598960589 0.5132091814638371 0.44803695150115475 0.46227867590454197 0.4988452655889145 0.49499615088529636 0.5030792917628946 0.5061585835257891 0.5470297029702971 0.5663366336633664 0.7841584158415842 0.6995049504950495 0.7871287128712872 0.7643564356435644 0.5647466435686445 0.5734084019055868 0.7951494153313122 0.700303161541793 0.794283239497618 0.8012126461671719 0.5465742879137798 0.5423402617397999 0.6716705157813703 0.6620477290223248 0.7655889145496536 0.7055427251732102
Cross 0.21930693069306917 0.22079207920792077 0.2059405940594059 0.2074257425742574 0.2054455445544554 0.21980198019801978 0.21611309875951956 0.21827196664506854 0.20571879313744823 0.2065836549567568 0.20745039486905004 0.2156764421406503 0.2155506150881874 0.21939602786423607 0.2074640580998962 0.2090054839187787 0.2070824069957018 0.2124707277308433 0.5722772277227722 0.5925742574257427 0.501980198019802 0.5044554455445545 0.5024752475247525 0.5153465346534654 0.5837911184982769 0.5924650909466528 0.501953216703759 0.5071508390380408 0.5049844587805542 0.5175404494276512 0.5843056173113977 0.5873810582481103 0.5023277012005336 0.5061768193271083 0.5050214910330517 0.5173365940417963 0.8173267326732673 0.8064356435643565 0.7945544554455446 0.7762376237623763 0.8 0.7841584158415842 0.818968739142275 0.8046886591355138 0.7960109305011691 0.7955742738823 0.8029495450319746 0.80034275196965 0.7994805098562324 0.8125455758114718 0.8090766266488809 0.8079405661775604 0.8125433526011561 0.7863554172224693
Test 0.029988465974625123 0.02768166089965396 0.01038062283737029 0.02076124567474047 0.01384083044982698 0.035755478662053086 0.01038062283737029 0.01557093425605538 0.0034602076124568004 0.00519031141868509 0.0034602076124568004 0.01211072664359858 0.02076124567474047 0.02422145328719727 0.0034602076124568004 0.00692041522491349 0.01038062283737029 0.02076124567474047 0.23414071510957324 0.25951557093425603 0.01384083044982698 0.016147635524798143 0.021914648212226107 0.04036908881199541 0.24048442906574397 0.22664359861591699 0.00692041522491349 0.01730103806228378 0.01384083044982698 0.02768166089965396 0.25259515570934254 0.273356401384083 0.01038062283737029 0.01384083044982698 0.01730103806228378 0.04498269896193774 0.9054209919261822 0.8742791234140715 0.9988465974625144 0.9953863898500577 0.994232987312572 0.9838523644752019 0.9221453287197232 0.903114186851211 0.9792387543252595 0.9844290657439446 0.9878892733564014 0.9809688581314879 0.8996539792387543 0.8961937716262975 0.9965397923875432 0.9930795847750865 0.9965397923875432 0.9653979238754326
Opt_Feat_or_PCA 23.0 96.0 12.0 73.0 18.0 24.0 10.0 81.0 9.0 97.0 27.0 60.0 16.0 92.0 24.0 93.0 21.0 44.0 15.0 21.0 9.0 86.0 13.0 26.0 30.0 53.0 12.0 65.0 14.0 30.0 5.0 10.0 17.0 88.0 19.0 37.0 4.0 36.0 2.0 17.0 2.0 13.0 6.0 12.0 2.0 13.0 4.0 2.0 21.0 96.0 20.0 35.0 24.0 68.0
