 KNN_PCA_30_70 KNN_Feat_30_70 SVC_PCA_30_70 SVC_Feat_30_70 LR_PCA_30_70 LR_Feat_30_70 KNN_PCA_20_80 KNN_Feat_20_80 SVC_PCA_20_80 SVC_Feat_20_80 LR_PCA_20_80 LR_Feat_20_80 KNN_PCA_10_90 KNN_Feat_10_90 SVC_PCA_10_90 SVC_Feat_10_90 LR_PCA_10_90 LR_Feat_10_90
Train 0.003960396039603964 0.004950495049504955 0.0014851485148514865 0.0014851485148514865 0.0 0.0 0.005630142919012537 0.0047639670853183436 0.002165439584235651 0.0012992637505413462 0.0 0.0 0.005773672055427226 0.0065434949961509226 0.0019245573518090753 0.0015396458814472824 0.0 0.0
Cross 0.008415841584158423 0.00544554455445545 0.006930693069306826 0.004950495049504844 0.0034653465346534684 0.0034653465346533574 0.00865894770450093 0.006926406926406892 0.007360246405799464 0.004761904761904745 0.0043290043290042934 0.0051948051948050855 0.008851341336890473 0.006929746554024008 0.006928264413813556 0.0053890618052466754 0.005004446420631359 0.004618348895805591
Test 0.009227220299884653 0.008073817762399127 0.01038062283737029 0.008073817762399127 0.008073817762399127 0.005767012687427964 0.00865051903114189 0.00865051903114189 0.00692041522491349 0.01038062283737029 0.00692041522491349 0.0034602076124568004 0.00692041522491349 0.00692041522491349 0.0034602076124568004 0.0034602076124568004 0.00692041522491349 0.0034602076124568004
Opt_Feat_or_PCA 26.0 85.0 20.0 43.0 25.0 87.0 19.0 88.0 19.0 75.0 28.0 94.0 24.0 95.0 26.0 79.0 26.0 91.0
