 KNN_PCA_miss_0.2_30_70 KNN_Feat_miss_0.2_30_70 SVC_PCA_miss_0.2_30_70 SVC_Feat_miss_0.2_30_70 LR_PCA_miss_0.2_30_70 LR_Feat_miss_0.2_30_70 KNN_PCA_miss_0.2_20_80 KNN_Feat_miss_0.2_20_80 SVC_PCA_miss_0.2_20_80 SVC_Feat_miss_0.2_20_80 LR_PCA_miss_0.2_20_80 LR_Feat_miss_0.2_20_80 KNN_PCA_miss_0.2_10_90 KNN_Feat_miss_0.2_10_90 SVC_PCA_miss_0.2_10_90 SVC_Feat_miss_0.2_10_90 LR_PCA_miss_0.2_10_90 LR_Feat_miss_0.2_10_90 KNN_PCA_miss_0.5_30_70 KNN_Feat_miss_0.5_30_70 SVC_PCA_miss_0.5_30_70 SVC_Feat_miss_0.5_30_70 LR_PCA_miss_0.5_30_70 LR_Feat_miss_0.5_30_70 KNN_PCA_miss_0.5_20_80 KNN_Feat_miss_0.5_20_80 SVC_PCA_miss_0.5_20_80 SVC_Feat_miss_0.5_20_80 LR_PCA_miss_0.5_20_80 LR_Feat_miss_0.5_20_80 KNN_PCA_miss_0.5_10_90 KNN_Feat_miss_0.5_10_90 SVC_PCA_miss_0.5_10_90 SVC_Feat_miss_0.5_10_90 LR_PCA_miss_0.5_10_90 LR_Feat_miss_0.5_10_90 KNN_PCA_miss_0.9_30_70 KNN_Feat_miss_0.9_30_70 SVC_PCA_miss_0.9_30_70 SVC_Feat_miss_0.9_30_70 LR_PCA_miss_0.9_30_70 LR_Feat_miss_0.9_30_70 KNN_PCA_miss_0.9_20_80 KNN_Feat_miss_0.9_20_80 SVC_PCA_miss_0.9_20_80 SVC_Feat_miss_0.9_20_80 LR_PCA_miss_0.9_20_80 LR_Feat_miss_0.9_20_80 KNN_PCA_miss_0.9_10_90 KNN_Feat_miss_0.9_10_90 SVC_PCA_miss_0.9_10_90 SVC_Feat_miss_0.9_10_90 LR_PCA_miss_0.9_10_90 LR_Feat_miss_0.9_10_90
Train 0.20247524752475243 0.19801980198019797 0.19752475247524748 0.196039603960396 0.2054455445544554 0.20247524752475243 0.20268514508445212 0.20095279341706362 0.19878735383282808 0.19835426591598093 0.20355132091814643 0.20355132091814643 0.201693610469592 0.2028483448806775 0.19707467282525015 0.19861431870669743 0.20323325635103928 0.20515781370284836 0.45099009900990095 0.446039603960396 0.4915841584158416 0.4900990099009901 0.502970297029703 0.5079207920792079 0.4664356864443482 0.4460805543525336 0.49761801645734083 0.4919878735383283 0.5049805110437419 0.5106106539627544 0.4599692070823711 0.44649730561970746 0.49730561970746723 0.4930715935334873 0.5034642032332564 0.5119322555812162 0.5633663366336634 0.553960396039604 0.6049504950495049 0.46386138613861383 0.810891089108911 0.7336633663366336 0.5621481160675617 0.5617150281507146 0.7938501515807709 0.5768731052403637 0.7999133824166306 0.7752273711563448 0.560816012317167 0.5565819861431871 0.7020785219399538 0.7448036951501155 0.7794457274826789 0.7959969207082371
Cross 0.21485148514851482 0.21237623762376234 0.2054455445544553 0.2059405940594059 0.2074257425742574 0.2183168316831683 0.21828793043543582 0.2148275441117089 0.20486426082955378 0.2026988196185593 0.20356649857734455 0.21092862307612847 0.2209419001037498 0.21516970505409816 0.20593152512227664 0.2036208685341634 0.2036201274640581 0.21516599970357198 0.596039603960396 0.5782178217821782 0.502970297029703 0.502970297029703 0.504950495049505 0.5222772277227723 0.5799025269741105 0.5799109783925402 0.5080166399038416 0.5071498999915487 0.5062822210327633 0.5153750082166568 0.5900718838002075 0.5950718838002075 0.5065406847487772 0.5046139024751741 0.5046176078257003 0.5203935082258782 0.8148514851485149 0.7970297029702971 0.810891089108911 0.804950495049505 0.8138613861386139 0.8004950495049505 0.815508352818548 0.8064099313557014 0.8025157055525819 0.7903916762918932 0.8020809270266971 0.7873641904010668 0.8206284274492367 0.8075463168815771 0.8006180524677634 0.7825151919371572 0.8033111012301763 0.7982985030383875
Test 0.02422145328719727 0.019607843137254943 0.011534025374855816 0.0046136101499423265 0.009227220299884653 0.011534025374855816 0.01903114186851207 0.02768166089965396 0.01038062283737029 0.00692041522491349 0.01211072664359858 0.01384083044982698 0.03114186851211076 0.01384083044982698 0.01038062283737029 0.0034602076124568004 0.00692041522491349 0.01038062283737029 0.26758938869665516 0.28489042675893883 0.01038062283737029 0.019607843137254943 0.01038062283737029 0.04036908881199541 0.22664359861591699 0.24567474048442905 0.01038062283737029 0.01730103806228378 0.01557093425605538 0.03979238754325265 0.273356401384083 0.26297577854671284 0.02422145328719727 0.02422145328719727 0.01384083044982698 0.05536332179930792 0.8996539792387543 0.9008073817762399 0.994232987312572 0.9838523644752019 0.9757785467128027 0.9815455594002307 0.889273356401384 0.8581314878892734 0.9878892733564014 0.9948096885813149 0.9792387543252595 0.9653979238754326 0.9169550173010381 0.8858131487889274 0.9965397923875432 0.9965397923875432 1.0 0.9584775086505191
Opt_Feat_or_PCA 27.0 100.0 23.0 98.0 12.0 56.0 29.0 85.0 28.0 83.0 19.0 58.0 11.0 98.0 29.0 95.0 26.0 66.0 11.0 90.0 23.0 71.0 24.0 32.0 22.0 26.0 14.0 59.0 13.0 26.0 7.0 70.0 22.0 99.0 22.0 34.0 2.0 78.0 27.0 82.0 1.0 42.0 2.0 7.0 1.0 39.0 2.0 5.0 16.0 5.0 12.0 4.0 11.0 1.0
