 KNN_PCA_miss_0.2_30_70 KNN_Feat_miss_0.2_30_70 SVC_PCA_miss_0.2_30_70 SVC_Feat_miss_0.2_30_70 LR_PCA_miss_0.2_30_70 LR_Feat_miss_0.2_30_70 KNN_PCA_miss_0.2_20_80 KNN_Feat_miss_0.2_20_80 SVC_PCA_miss_0.2_20_80 SVC_Feat_miss_0.2_20_80 LR_PCA_miss_0.2_20_80 LR_Feat_miss_0.2_20_80 KNN_PCA_miss_0.2_10_90 KNN_Feat_miss_0.2_10_90 SVC_PCA_miss_0.2_10_90 SVC_Feat_miss_0.2_10_90 LR_PCA_miss_0.2_10_90 LR_Feat_miss_0.2_10_90 KNN_PCA_miss_0.5_30_70 KNN_Feat_miss_0.5_30_70 SVC_PCA_miss_0.5_30_70 SVC_Feat_miss_0.5_30_70 LR_PCA_miss_0.5_30_70 LR_Feat_miss_0.5_30_70 KNN_PCA_miss_0.5_20_80 KNN_Feat_miss_0.5_20_80 SVC_PCA_miss_0.5_20_80 SVC_Feat_miss_0.5_20_80 LR_PCA_miss_0.5_20_80 LR_Feat_miss_0.5_20_80 KNN_PCA_miss_0.5_10_90 KNN_Feat_miss_0.5_10_90 SVC_PCA_miss_0.5_10_90 SVC_Feat_miss_0.5_10_90 LR_PCA_miss_0.5_10_90 LR_Feat_miss_0.5_10_90 KNN_PCA_miss_0.9_30_70 KNN_Feat_miss_0.9_30_70 SVC_PCA_miss_0.9_30_70 SVC_Feat_miss_0.9_30_70 LR_PCA_miss_0.9_30_70 LR_Feat_miss_0.9_30_70 KNN_PCA_miss_0.9_20_80 KNN_Feat_miss_0.9_20_80 SVC_PCA_miss_0.9_20_80 SVC_Feat_miss_0.9_20_80 LR_PCA_miss_0.9_20_80 LR_Feat_miss_0.9_20_80 KNN_PCA_miss_0.9_10_90 KNN_Feat_miss_0.9_10_90 SVC_PCA_miss_0.9_10_90 SVC_Feat_miss_0.9_10_90 LR_PCA_miss_0.9_10_90 LR_Feat_miss_0.9_10_90
Train 0.20198019801980194 0.20148514851485144 0.19950495049504946 0.19851485148514847 0.20198019801980194 0.20990099009900987 0.19878735383282808 0.20441749675184062 0.19835426591598093 0.19965352966652228 0.20355132091814643 0.20788220008661762 0.19553502694380287 0.20554272517321015 0.19899923017705923 0.19861431870669743 0.20515781370284836 0.21247113163972287 0.447029702970297 0.43861386138613856 0.49554455445544554 0.4876237623762376 0.501980198019802 0.5044554455445545 0.44478129060199223 0.4569077522737116 0.49328713728886964 0.4928540493720225 0.5045474231268947 0.5132091814638371 0.4534257120862202 0.458044649730562 0.4930715935334873 0.4919168591224018 0.5019245573518091 0.5088529638183218 0.55990099009901 0.555940594059406 0.744059405940594 0.6841584158415841 0.7856435643564357 0.696039603960396 0.5638804677349503 0.5426591598094412 0.7812906019922045 0.5482893027284539 0.7644001732351667 0.758336942399307 0.5812163202463434 0.5665896843725944 0.7809853733641262 0.5531177829099307 0.7675134719014627 0.6828329484218629
Cross 0.21237623762376234 0.20891089108910887 0.2049504950495049 0.20445544554455453 0.20445544554455464 0.21386138613861383 0.21525011503319535 0.21525105407968748 0.20615732784930185 0.20442478707120793 0.20442478707120793 0.21308843000816968 0.21670742552245437 0.215933007262487 0.20631391729657633 0.2078494145546168 0.20631243515636577 0.21824514599081068 0.5910891089108911 0.5861386138613861 0.5054455445544555 0.5044554455445545 0.502970297029703 0.5148514851485149 0.5790254575504032 0.5881276351992187 0.5062718915213493 0.508439210825328 0.5084382717788357 0.5162342357570123 0.5931554765080777 0.5866066399881429 0.5023121387283236 0.5038535645472062 0.5042352156514005 0.5169386393952868 0.8153465346534654 0.8054455445544555 0.7891089108910891 0.7777227722772277 0.7910891089108911 0.7752475247524753 0.818543351081312 0.7999248762806247 0.8081415330873032 0.7925355194335671 0.812453634579448 0.7981697983867182 0.819849562768638 0.8075448347413665 0.8098517859789536 0.7963783903957314 0.7994582777530754 0.7863776493256261
Test 0.03344867358708192 0.019607843137254943 0.01730103806228378 0.011534025374855816 0.019607843137254943 0.03344867358708192 0.02249134948096887 0.01557093425605538 0.01038062283737029 0.00865051903114189 0.00692041522491349 0.02076124567474047 0.01730103806228378 0.02422145328719727 0.00692041522491349 0.00692041522491349 0.01038062283737029 0.02768166089965396 0.24798154555940022 0.25720876585928487 0.025374855824682796 0.01384083044982698 0.018454440599769306 0.06228373702422141 0.22837370242214527 0.2698961937716263 0.01903114186851207 0.01557093425605538 0.01384083044982698 0.04498269896193774 0.25605536332179935 0.23529411764705888 0.01384083044982698 0.00692041522491349 0.01038062283737029 0.04844290657439443 0.8973471741637832 0.9181084198385236 0.9988465974625144 0.9907727797001153 1.0 0.9642445213379469 0.8979238754325259 0.9013840830449827 0.9740484429065744 0.9930795847750865 0.9982698961937716 0.9809688581314879 0.8927335640138409 0.889273356401384 0.9896193771626297 0.9896193771626297 0.9965397923875432 0.9480968858131488
Opt_Feat_or_PCA 27.0 99.0 30.0 64.0 30.0 29.0 25.0 92.0 19.0 66.0 19.0 39.0 16.0 91.0 29.0 97.0 26.0 33.0 9.0 17.0 11.0 80.0 12.0 34.0 25.0 73.0 19.0 71.0 14.0 21.0 30.0 55.0 22.0 71.0 22.0 26.0 27.0 82.0 4.0 10.0 4.0 56.0 16.0 54.0 2.0 60.0 19.0 27.0 3.0 15.0 2.0 27.0 15.0 99.0
