 KNN_PCA_miss_0.2_30_70 KNN_Feat_miss_0.2_30_70 SVC_PCA_miss_0.2_30_70 SVC_Feat_miss_0.2_30_70 LR_PCA_miss_0.2_30_70 LR_Feat_miss_0.2_30_70 KNN_PCA_miss_0.2_20_80 KNN_Feat_miss_0.2_20_80 SVC_PCA_miss_0.2_20_80 SVC_Feat_miss_0.2_20_80 LR_PCA_miss_0.2_20_80 LR_Feat_miss_0.2_20_80 KNN_PCA_miss_0.2_10_90 KNN_Feat_miss_0.2_10_90 SVC_PCA_miss_0.2_10_90 SVC_Feat_miss_0.2_10_90 LR_PCA_miss_0.2_10_90 LR_Feat_miss_0.2_10_90 KNN_PCA_miss_0.5_30_70 KNN_Feat_miss_0.5_30_70 SVC_PCA_miss_0.5_30_70 SVC_Feat_miss_0.5_30_70 LR_PCA_miss_0.5_30_70 LR_Feat_miss_0.5_30_70 KNN_PCA_miss_0.5_20_80 KNN_Feat_miss_0.5_20_80 SVC_PCA_miss_0.5_20_80 SVC_Feat_miss_0.5_20_80 LR_PCA_miss_0.5_20_80 LR_Feat_miss_0.5_20_80 KNN_PCA_miss_0.5_10_90 KNN_Feat_miss_0.5_10_90 SVC_PCA_miss_0.5_10_90 SVC_Feat_miss_0.5_10_90 LR_PCA_miss_0.5_10_90 LR_Feat_miss_0.5_10_90 KNN_PCA_miss_0.9_30_70 KNN_Feat_miss_0.9_30_70 SVC_PCA_miss_0.9_30_70 SVC_Feat_miss_0.9_30_70 LR_PCA_miss_0.9_30_70 LR_Feat_miss_0.9_30_70 KNN_PCA_miss_0.9_20_80 KNN_Feat_miss_0.9_20_80 SVC_PCA_miss_0.9_20_80 SVC_Feat_miss_0.9_20_80 LR_PCA_miss_0.9_20_80 LR_Feat_miss_0.9_20_80 KNN_PCA_miss_0.9_10_90 KNN_Feat_miss_0.9_10_90 SVC_PCA_miss_0.9_10_90 SVC_Feat_miss_0.9_10_90 LR_PCA_miss_0.9_10_90 LR_Feat_miss_0.9_10_90
Train 0.20346534653465342 0.2059405940594059 0.20247524752475243 0.19999999999999996 0.2054455445544554 0.20792079207920788 0.20441749675184062 0.20311823300129928 0.20181896925075793 0.20008661758336943 0.20528367258553482 0.2113469034213945 0.2013086989992302 0.20246343341031559 0.201693610469592 0.19938414164742113 0.20477290223248656 0.20669745958429564 0.4579207920792079 0.4549504950495049 0.4975247524752475 0.49504950495049505 0.502970297029703 0.5138613861386139 0.45387613685578176 0.4569077522737116 0.501948895625812 0.49501948895625814 0.5036812472932005 0.5080121264616717 0.4695919938414165 0.45535026943802925 0.502309468822171 0.49499615088529636 0.5042340261739799 0.5103926096997691 0.549009900990099 0.5594059405940595 0.6826732673267326 0.7029702970297029 0.7782178217821782 0.6702970297029702 0.5660459073191858 0.56994369857081 0.6834127327847552 0.6543958423559983 0.790385448245994 0.790818536162841 0.5700538876058506 0.5577367205542725 0.7132409545804466 0.7047729022324865 0.7794457274826789 0.7371054657428792
Cross 0.21237623762376234 0.2163366336633663 0.20445544554455441 0.2064356435643564 0.2064356435643565 0.22475247524752473 0.21741367815120527 0.21351287902264038 0.2052896488905166 0.20658741114272572 0.2074522729620345 0.22217746100609437 0.2182510745516526 0.22171854157403292 0.20439602786423594 0.20670446124203357 0.20631836371720758 0.2163309619089966 0.5881188118811881 0.5826732673267326 0.5004950495049505 0.503960396039604 0.5034653465346535 0.5232673267326733 0.5907372454010198 0.5842362265355757 0.5028143223370989 0.5045468631151928 0.5036810622493919 0.5171047318552742 0.5927464058099896 0.5789106269453089 0.5050037053505261 0.5050044464206314 0.5050037053505261 0.5165540240106714 0.8054455445544555 0.8103960396039604 0.8054455445544555 0.7950495049504951 0.8094059405940593 0.7891089108910891 0.8189696781887672 0.8025138274595975 0.7990459287639331 0.7903766515480182 0.7994825853828023 0.7986139673775249 0.8175544686527345 0.821396176078257 0.8083088780198606 0.7959989625018526 0.7967681932710834 0.7821365051133837
Test 0.023068050749711633 0.021914648212226107 0.005767012687427964 0.00692041522491349 0.011534025374855816 0.02768166089965396 0.01211072664359858 0.03287197231833905 0.00865051903114189 0.01038062283737029 0.00865051903114189 0.03114186851211076 0.03806228373702425 0.01038062283737029 0.00692041522491349 0.00692041522491349 0.0034602076124568004 0.00692041522491349 0.2295271049596309 0.22376009227220295 0.00692041522491349 0.008073817762399127 0.012687427912341454 0.06113033448673588 0.20069204152249132 0.23183391003460208 0.00692041522491349 0.00865051903114189 0.01038062283737029 0.04325259515570934 0.23529411764705888 0.22837370242214527 0.01384083044982698 0.01730103806228378 0.01730103806228378 0.03114186851211076 0.8927335640138409 0.8788927335640139 0.9976931949250288 0.9757785467128027 0.9976931949250288 0.9573241061130334 0.9186851211072664 0.889273356401384 0.9965397923875432 0.9930795847750865 1.0 0.9826989619377162 0.9065743944636678 0.903114186851211 1.0 0.9965397923875432 1.0 0.9896193771626297
Opt_Feat_or_PCA 26.0 92.0 20.0 86.0 19.0 58.0 11.0 95.0 9.0 97.0 18.0 50.0 22.0 86.0 23.0 84.0 21.0 52.0 21.0 73.0 17.0 87.0 12.0 21.0 29.0 34.0 6.0 86.0 22.0 34.0 14.0 89.0 16.0 82.0 20.0 26.0 22.0 7.0 18.0 13.0 13.0 93.0 16.0 69.0 19.0 67.0 4.0 4.0 2.0 68.0 18.0 20.0 12.0 40.0
