 KNN_PCA_30_70 KNN_Feat_30_70 SVC_PCA_30_70 SVC_Feat_30_70 LR_PCA_30_70 LR_Feat_30_70 KNN_PCA_20_80 KNN_Feat_20_80 SVC_PCA_20_80 SVC_Feat_20_80 LR_PCA_20_80 LR_Feat_20_80 KNN_PCA_10_90 KNN_Feat_10_90 SVC_PCA_10_90 SVC_Feat_10_90 LR_PCA_10_90 LR_Feat_10_90
Train 0.006930693069306937 0.006435643564356441 0.000990099009900991 0.0 0.0 0.0 0.006496318752706842 0.0047639670853183436 0.0017323516673884987 0.0 0.0 0.0 0.006158583525789019 0.004234026173979943 0.0015396458814472824 0.0011547344110854896 0.0 0.0
Cross 0.007425742574257432 0.007425742574257432 0.006435643564356441 0.005940594059405946 0.0034653465346533574 0.0034653465346534684 0.006929224065883366 0.007793146838700027 0.005195744241297318 0.005196683287789439 0.0043290043290042934 0.0025983416438947193 0.008469690232696059 0.007315103008744606 0.007698236253149582 0.005004446420631359 0.005772936119756933 0.004232992441085104
Test 0.011534025374855816 0.009227220299884653 0.01038062283737029 0.005767012687427964 0.008073817762399127 0.0046136101499423265 0.01038062283737029 0.00865051903114189 0.01211072664359858 0.00865051903114189 0.00692041522491349 0.00692041522491349 0.0034602076124568004 0.01038062283737029 0.0034602076124568004 0.0034602076124568004 0.00692041522491349 0.0034602076124568004
Opt_Feat_or_PCA 20.0 68.0 27.0 85.0 25.0 100.0 28.0 78.0 29.0 95.0 18.0 100.0 27.0 40.0 30.0 91.0 26.0 86.0
