 KNN_PCA_30_70 KNN_Feat_30_70 SVC_PCA_30_70 SVC_Feat_30_70 LR_PCA_30_70 LR_Feat_30_70 KNN_PCA_20_80 KNN_Feat_20_80 SVC_PCA_20_80 SVC_Feat_20_80 LR_PCA_20_80 LR_Feat_20_80 KNN_PCA_10_90 KNN_Feat_10_90 SVC_PCA_10_90 SVC_Feat_10_90 LR_PCA_10_90 LR_Feat_10_90
Train 0.006435643564356441 0.00544554455445545 0.000990099009900991 0.000990099009900991 0.0 0.0 0.0047639670853183436 0.004330879168471191 0.0017323516673884987 0.0012992637505413462 0.0 0.0 0.0038491147036181506 0.00500384911470364 0.0015396458814472824 0.00038491147036179285 0.0 0.0
Cross 0.008415841584158423 0.00544554455445545 0.007920792079207928 0.004455445544554459 0.00544554455445545 0.004455445544554459 0.009530382849254893 0.005628644674197658 0.007797842071160965 0.004762843808396866 0.006064362246574695 0.005196683287789439 0.006928264413813445 0.006159033644582812 0.005002964280421018 0.005390543945457238 0.0026945309026233932 0.0030806284274491613
Test 0.012687427912341454 0.005767012687427964 0.008073817762399127 0.0046136101499423265 0.0046136101499423265 0.0046136101499423265 0.0034602076124568004 0.01038062283737029 0.00519031141868509 0.00692041522491349 0.0017301038062284002 0.00519031141868509 0.0034602076124568004 0.00692041522491349 0.0034602076124568004 0.0034602076124568004 0.0034602076124568004 0.0034602076124568004
Opt_Feat_or_PCA 19.0 96.0 29.0 97.0 29.0 91.0 24.0 78.0 20.0 78.0 30.0 86.0 22.0 86.0 25.0 88.0 28.0 94.0
