 KNN_PCA_miss_0.2_30_70 KNN_Feat_miss_0.2_30_70 SVC_PCA_miss_0.2_30_70 SVC_Feat_miss_0.2_30_70 LR_PCA_miss_0.2_30_70 LR_Feat_miss_0.2_30_70 KNN_PCA_miss_0.2_20_80 KNN_Feat_miss_0.2_20_80 SVC_PCA_miss_0.2_20_80 SVC_Feat_miss_0.2_20_80 LR_PCA_miss_0.2_20_80 LR_Feat_miss_0.2_20_80 KNN_PCA_miss_0.2_10_90 KNN_Feat_miss_0.2_10_90 SVC_PCA_miss_0.2_10_90 SVC_Feat_miss_0.2_10_90 LR_PCA_miss_0.2_10_90 LR_Feat_miss_0.2_10_90 KNN_PCA_miss_0.5_30_70 KNN_Feat_miss_0.5_30_70 SVC_PCA_miss_0.5_30_70 SVC_Feat_miss_0.5_30_70 LR_PCA_miss_0.5_30_70 LR_Feat_miss_0.5_30_70 KNN_PCA_miss_0.5_20_80 KNN_Feat_miss_0.5_20_80 SVC_PCA_miss_0.5_20_80 SVC_Feat_miss_0.5_20_80 LR_PCA_miss_0.5_20_80 LR_Feat_miss_0.5_20_80 KNN_PCA_miss_0.5_10_90 KNN_Feat_miss_0.5_10_90 SVC_PCA_miss_0.5_10_90 SVC_Feat_miss_0.5_10_90 LR_PCA_miss_0.5_10_90 LR_Feat_miss_0.5_10_90 KNN_PCA_miss_0.9_30_70 KNN_Feat_miss_0.9_30_70 SVC_PCA_miss_0.9_30_70 SVC_Feat_miss_0.9_30_70 LR_PCA_miss_0.9_30_70 LR_Feat_miss_0.9_30_70 KNN_PCA_miss_0.9_20_80 KNN_Feat_miss_0.9_20_80 SVC_PCA_miss_0.9_20_80 SVC_Feat_miss_0.9_20_80 LR_PCA_miss_0.9_20_80 LR_Feat_miss_0.9_20_80 KNN_PCA_miss_0.9_10_90 KNN_Feat_miss_0.9_10_90 SVC_PCA_miss_0.9_10_90 SVC_Feat_miss_0.9_10_90 LR_PCA_miss_0.9_10_90 LR_Feat_miss_0.9_10_90
Train 0.20049504950495045 0.1955445544554455 0.19752475247524748 0.1965346534653465 0.20445544554455441 0.2069306930693069 0.20181896925075793 0.20095279341706362 0.1953226504980511 0.19792117799913378 0.20311823300129928 0.20311823300129928 0.201693610469592 0.2013086989992302 0.19899923017705923 0.19822940723633564 0.20323325635103928 0.20323325635103928 0.45099009900990095 0.447029702970297 0.4975247524752475 0.4891089108910891 0.503960396039604 0.5148514851485149 0.4629709831095712 0.45560848852317015 0.49761801645734083 0.49328713728886964 0.5049805110437419 0.5140753572975314 0.45688991531947654 0.4688221709006929 0.4942263279445728 0.49730561970746723 0.5057736720554272 0.5142417244033872 0.5594059405940595 0.5653465346534654 0.648019801980198 0.7886138613861386 0.7633663366336634 0.7262376237623762 0.5617150281507146 0.5651797314854916 0.6301429190125596 0.4859246427024686 0.776093546990039 0.7124296232135123 0.565050038491147 0.5434949961508853 0.7240184757505774 0.48691301000769827 0.783679753656659 0.7117013086989992
Cross 0.21435643564356432 0.20792079207920788 0.20346534653465342 0.20346534653465354 0.2049504950495049 0.2173267326732674 0.21394577945554083 0.20961959226601312 0.2048520532251552 0.2026856729676686 0.20442009183874688 0.2135100618831638 0.2186334667259523 0.21439676893434123 0.20516229435304578 0.2047769378983253 0.20362235067437384 0.21363124351563667 0.5787128712871288 0.5836633663366337 0.5054455445544555 0.5044554455445545 0.5074257425742574 0.5183168316831683 0.5833666694838062 0.5825065028969585 0.5023804828577063 0.5049807025945855 0.5054145420739781 0.5175395103811591 0.5877515933007262 0.5950718838002075 0.5046205721061213 0.5080821105676596 0.5042344745812954 0.517702682673781 0.808910891089109 0.8 0.808910891089109 0.7965346534653466 0.810891089108911 0.7861386138613862 0.8154989623536262 0.8068465879745707 0.811166201838653 0.7804180634983238 0.8072757322215023 0.7903813467804791 0.8114050689195198 0.8090936712613013 0.8056202756780791 0.7936957166147918 0.8036971987550022 0.7767504075885578
Test 0.019607843137254943 0.01384083044982698 0.009227220299884653 0.009227220299884653 0.011534025374855816 0.023068050749711633 0.02076124567474047 0.01903114186851207 0.00692041522491349 0.0034602076124568004 0.01038062283737029 0.02249134948096887 0.03114186851211076 0.01730103806228378 0.0034602076124568004 0.0 0.0034602076124568004 0.00692041522491349 0.21914648212226062 0.24567474048442905 0.014994232987312617 0.019607843137254943 0.019607843137254943 0.05536332179930792 0.19550173010380623 0.26297577854671284 0.01557093425605538 0.01384083044982698 0.01384083044982698 0.04498269896193774 0.2145328719723183 0.2698961937716263 0.01038062283737029 0.03114186851211076 0.01730103806228378 0.0692041522491349 0.8985005767012687 0.8835063437139562 0.9907727797001153 0.9561707035755479 0.986159169550173 0.9642445213379469 0.9048442906574394 0.9394463667820069 0.9896193771626297 0.9878892733564014 0.9930795847750865 0.972318339100346 0.8996539792387543 0.9377162629757786 0.9965397923875432 0.9965397923875432 0.9930795847750865 0.9826989619377162
Opt_Feat_or_PCA 19.0 83.0 20.0 81.0 13.0 38.0 18.0 63.0 29.0 98.0 20.0 51.0 15.0 80.0 28.0 82.0 20.0 65.0 21.0 8.0 13.0 56.0 26.0 17.0 11.0 79.0 11.0 81.0 13.0 17.0 15.0 35.0 28.0 53.0 25.0 21.0 3.0 3.0 20.0 2.0 22.0 44.0 12.0 75.0 24.0 93.0 15.0 61.0 26.0 9.0 8.0 58.0 8.0 56.0
